Person,Sentence
Person2,"When we look back over the last couple of years in particular, there are certain markets where certain organizations have banded together to sell the attributes of wood versus wood-alternative products.
"
Person2,"We believe -- and a good example is the West Coast where they promote redwood.
"
Person2,"We believe it's an opportunity for us to counter that argument and drive the sales with a very specific focused ad.
"
Person2,"So our ads will basically focus on the variety of wood from that region that we think is the most susceptible.
"
Person2,"And Redwood would be a great example in the western part of the United States.
"
Person2,"It will be a comparison ad which will show the aging process of a new wood deck versus a Trex board.
"
Person2,"And the optics are, basically, you see all the maintenance required with the board; you see the susceptibility to warping, staining, as well as insects.
"
Person2,"We believe that countering those types of ads are very important, will be meaningful, and will move the needle.
"
Person2,"And in reality, if you think about it, with 84% market share for wood, a single percentage point moving from wood to wood-alternative products yields a fairly substantial opportunity for the industry.
"
Person1,"<UNK>, have you got that.
"
Person2,"On a linear foot, it's 84/16.
"
Person2,"About 30% in dollars.
"
Person1,"About 30%, <UNK> advises.
"
Person1,"You bet.
"
Person1,"Thank you.
"
Person1,"The outstanding performance by the employees of Trex and our business partners has made another record-setting year possible.
"
Person1,"And I want to thank all of them for their contributions.
"
Person1,"Trex continues to lead the outdoor living trend with our powerful global brand reach, extensive product lineup, and design flexibility.
"
Person1,"We remain focused on the opportunities for continued market share growth and delivering increased shareholder value in 2016.
"
Person1,"Thank you for participating in the call today.
"
