Person,Sentence
Person0,"You bet.
"
Person1,"The answer to the question is, for reasons that are historical and strategic in the nature of Saudi Arabia and its special relationship with the United States, they adopted US AAR standards, rather than the European standards.
"
Person1,"Having said that, there are many European ex-Pat executives who helped to run the railroads, and they do it well.
"
Person1,"And there's a lot more harmonization between the US and Europe, in terms of the people who run these large companies.
"
Person1,"For example, our good customer Freightliner, is now owned by Genesee & Wyoming.
"
Person1,"So but the real answer to that is, the base question is, there's always been special relationship between Saudi Arabia and America.
"
Person1,"And while it may appear that the US has pivoted to Iran, that's not really true.
"
Person1,"We have to support Saudi Arabia, and they prefer US products in this particular area.
"
Person1,"They also acquire perfectly fine equipment and services in other areas of their economy.
"
Person1,"The second driver for Saudi, is simply the development of the third pillar of their economic platform, which is mining.
"
Person1,"They have oil, of course, and gas, but they have petrochemicals, and now they are really working on the mining, and looking at construction of new railroads.
"
Person1,"So this is a very thin market, and there are many participants in there, and there are other car suppliers, notably China, that have supplied that market in the past.
"
Person1,"We have a geographic advantage we believe under our model, but it's not just Saudi Arabia.
"
Person1,"It's the other Gulf Cooperative countries, which is essentially a Sunni-based market, and the countries of near Asia that are strategic allies of Saudi Arabia and the West.
"
Person0,"I think, actually there were a few tank cars that were ordered during the quarter.
"
Person0,"They were not for energy.
"
Person0,"And I do, while again, there was some cover hoppers that were ordered, they were not the small cube sand covered hoppers.
"
Person0,"But on the backlog and the [go forward], we can dig into that a little more deeply.
"
Person0,"But there is, we do have customers who are making adjustments.
"
Person0,"I mean, oftentimes, and that's why if you look at some of our disclosure in our 10-Q, we say that our backlog is indicative of what we believe is going to be ordered, because as we've talked about several times, we're very focused on helping our customers solve their problems, as long as it's a win-win for both the customer and (multiple speakers).
"
Person1,"Well, they are orders.
"
Person1,"We've said that they will be ordered, so just to correct that technical misstatement.
"
Person1,"They are orders, but there is --
"
Person1,"Some of those orders is what you're saying, right.
"
Person1,"So we like managing that very actively.
"
Person1,"We have a risk committee that meets, I think once a week now on the portfolio.
"
Person1,"And there are -- they're asking for some of the secret sauce I suppose, but I doubt any of us in this business would want to give you, but we'll give as much granularity as we can.
"
Person1,"Maybe we should post something, just to be fair on that, from what we want to say about that mix, and how we brought it down.
"
Person1,"One of the things that everybody has got to understand though, is there are different qualities of customers.
"
Person1,"Customers have specific operating needs.
"
Person1,"There are two types of energy cars, oil by rail, and other energy cars that are tank cars, and then there is sand cars.
"
Person1,"So one of the real motivations for us to do the WLR deal was to mix, have other product we can mix with sand cars, and make a balanced portfolio.
"
Person1,"So we are doing a lot to manage that exposure.
"
Person1,"And I don't know if that's helpful or not.
"
