Person,Sentence
Person0,"We're trying to be transparent.
"
Person0,"Thanks, <UNK>.
"
Person0,"Sure, <UNK>.
"
Person0,"Thank you so much for the question and, you know, it gives me an opportunity to just compliment Harry Arnett and the Marketing team and what a wonderful job they've done in really creating energy around this brand.
"
Person0,"Both in traditional and in the new age mediums.
"
Person0,"The Callaway Media Productions our digital strategy has been kind of break-through for this industry.
"
Person0,"And it's creating a lot of energy and excitement.
"
Person0,"It reaches a young part of the golf community which is very brand enhancing for us.
"
Person0,"It reaches them in a manner which they enjoy interacting.
"
Person0,"It makes the brand more accessible.
"
Person0,"And, you know, as we look at that going forward, we really do see it as a comparative advantage for ourselves.
"
Person0,"So I'm really proud of what they've done and you're nice to ask about it.
"
Person0,"You see our brand metrics in terms of the brand strength appeal to more younger golfers, veteran players, etc.
"
Person0,", no doubt all of that is related to all elements of our strategy but certainly the Callaway Media Productions is part of that.
"
Person0,"Thank you.
"
Person0,"Thank you very much, everybody for calling in.
"
Person0,"And we look forward to updating you after Q2.
"
Person0,"Have a great season.
"
