Person,Sentence
Person3,"Hello, <UNK>.
"
Person3,"It's <UNK>.
"
Person3,"On the first question, the capacity, there's really no difference than what we said at the time we announced it.
"
Person3,"We said it was going to be a 2016 - 2017 set of actions.
"
Person3,"So I don't know if it's half, half.
"
Person3,"But you'll see some of it come through this year and you'll see a little bit more come through in the first half of next year.
"
Person3,"And then on maintenance, maintenance varies mill by mill and period to period.
"
Person3,"So there's a plan.
"
Person3,"There's a schedule that goes out years.
"
Person3,"And you look at it, piece of equipment by piece of equipment and it just happens that you will hit periods when the things that need to be tended to in an annual outage costs more because of the nature of the work in a given period than in others.
"
Person2,"And I would add to that, <UNK> -- this is <UNK> -- is while you do see the reduction from the last time we forecasted the second quarter down is we know as a Company that we've got headwinds, and so what we've been trying to do, of course, is you've got to find other levers to pull.
"
Person2,"So we're, as <UNK> said, he's looking at his system very hard to make sure he's doing what he needs to do, and if there's an opportunity to trim some things up to get more money to the bottom line, that's what we're attempting to do.
"
Person2,"And we'll continue to disclose that each quarter so you can follow and track those changes.
"
Person1,"<UNK>, this is <UNK> <UNK>.
"
Person1,"Just the question, the first question you asked, just to tie it back to an earlier question around how we run our system, that incremental capacity capability that's coming from these investments, as <UNK> mentioned, is really about making some products differently than we've made before, making our system more flexible, meaning we can make similar products at the same mill or a different mill, so we can improve our supply chain.
"
Person1,"So the issue of capacity coming online is only when and if we need it for the demand environment.
"
Person1,"It's really the driver is really making more of this and less of that for the boxes that we need to make going forward.
"
Person1,"And as an outcome of improving those facilities, we have more capacity if we need more capacity.
"
Person1,"So that's the way to think about that, as opposed to this is coming on at this date and this is coming on at that date.
"
Person1,"It's coming on as a new product, a new basis weight, a new design.
"
Person1,"And net capacity comes on if we have the orders for it and doesn't come on if we don't have the orders for it.
"
Person1,"Thank you.
"
Person3,"I think our forecast is that we could see some modest pressure in OCC pricing as we go through the second quarter.
"
Person3,"We don't expect it, at this point, to be a major factor.
"
Person3,"And yes, in the first quarter inputs were a bit of a tailwind for us, which we're operating in a certain environment and trying to take advantage of the environment that we have.
"
Person3,"Well, I think part of what you've seen, just in what we've seen in terms of our supply chain network is rail and truck availability has improved dramatically in the last part of last year, early this year, compared to where we were, say, a year ago.
"
Person3,"So that's obviously having an impact on the discussions you have with carriers about rate structures.
"
Person3,"It's still a very challenged environment, in some cases, in terms of those discussions, but we think we are having some measure of traction as we have those discussions.
"
Person3,"The bigger impact in the moment is just what it means to how we think about our stocking positions across 200-plus facilities, and it's meaning at the moment that we need less inventory and we can run a much more efficient supply chain.
"
Person3,"So there's benefit in that.
"
Person3,"I think what we worry about is how it changes over time and will there be a snap back of utilization rates around carriers later this year.
"
Person3,"I don't know when it's going to happen or if it will happen.
"
Person3,"I just know that things don't stay static.
"
Person3,"People take actions.
"
Person3,"And so we don't count on anything lasting.
"
Person3,"I think it goes back to the power of the system.
"
Person3,"We have tremendous flexibility, and we're trying to create more flexibility through these investments so that we can pull back when we need to and we can recover quickly when we need to.
"
Person1,"Good morning, <UNK>.
"
Person1,"Hello, <UNK>.
"
Person1,"This is <UNK>.
"
Person1,"No, I think what we're attempting to do there is cash flow is still front and center.
"
Person1,"What we've got is that particular annual plan is focused on the majority of our employees who are running our operations, that's the level and type of job.
"
Person1,"And we all talk in EBITDA in the Company.
"
Person1,"That's what our plans are based on.
"
Person1,"That's what people are measured on.
"
Person1,"And we've had a little bit of slippage in our EBITDA progress over the last couple years.
"
Person1,"So it's just an attempt to refocus.
"
Person1,"In the overall scheme of things, obviously cash from ops starts with good, strong EBITDA and then you go to the cash flow, free cash flow.
"
Person1,"And our capital allocation strategy's clearly understood commitment to the dividend.
"
Person1,"So no message other than focusing the people who are actually on that plan to look at ways we can improve our EBITDA and break through the flat nature of it over the last couple of years.
"
Person1,"So that's one plan for one year for a certain group of employees.
"
Person2,"<UNK>, what I would say is we have no required pension contributions for 2016 and 2017.
"
Person2,"How we go forward, we'll obviously navigate that as we move forward.
"
Person3,"Hello, <UNK>, it's <UNK>.
"
Person3,"We see in certain regions, in certain areas, there's either more or less competition from a certain type of product range.
"
Person3,"I think the way we think about it is we're looking with our customers at best fit and best use for the packaging they need, and it includes a variety of substrates, some virgin, some recycled, fit for use.
"
Person3,"But it also includes capability, geography, service levels.
"
Person3,"And so we're selling them more than just is it recycled or is it virgin.
"
Person3,"We're selling them a total product.
"
Person3,"And we've got the breadth of products to do it like no other.
"
Person3,"So there's always going to be competition.
"
Person3,"It's a very competitive market, but we feel good about the value propositions we have.
"
Person3,"Yes, I don't want to speculate on what we will do or won't do.
"
Person3,"We've got low OCC input cost at the moment.
"
Person3,"It's a moment in time.
"
Person3,"We think there's probably a different trend over time and we'll make decisions.
"
Person3,"It's like I talked about these capacity additions, we're not just adding generic tons.
"
Person3,"We're adding products and grades and basis weights for where we see growth in our channels and the types of products that we need to support that growth.
"
Person3,"And then we run it accordingly, as we've said, to what our demand is.
"
Person3,"So we constantly look at what are those products, what do they need to be, where should we add them.
"
Person3,"And it will be an ongoing evaluation.
"
Person1,"Thanks, <UNK>.
"
Person3,"I would say we run a very tight supply chain year round and we make adjustments as we go.
"
Person3,"So no, I'm not going to break out tons or weeks of supply.
"
Person3,"I'm just going to say that we're constantly looking out four, five months in advance, targeting where we think we need based on our demand signal, and then we make adjustments as we run the system.
"
Person3,"So the downtime that we took in the fourth quarter and first quarter, a very large component of that goes back to supply chain efficiencies and just not needing as much inventory through our chain.
"
Person3,"That could change over time.
"
Person3,"And maybe we're taking a little bit of risk on the downside in terms of how it might change and what we might do to be able to do to respond it.
"
Person3,"But we just like to run a very tight supply chain, and we'll continue to do so.
"
Person3,"No, they're not flat.
"
Person3,"And a lot of things go into targeting inventory levels.
"
Person3,"We run hundreds and hundreds, if not thousands of grades, 200 locations.
"
Person3,"And so we're looking product by product, basis weights, grades, locations and stocking levels across all of those, and then we're adjusting the system quarterly.
"
Person3,"And if it just takes less time to get product from mills to box plant because the velocity has increased, then we obviously don't need as much inventory in the system.
"
Person1,"So <UNK>, on the Ilim, I think, release that you're referencing, they put out a five-year plan and it was a capital plan to improve the business.
"
Person1,"A big portion of that is inclusive of their normal maintenance and regulatory CapEx.
"
Person1,"That's about $325 million annually.
"
Person1,"So the incremental that was in that announcement over that five-year period was about $700 million.
"
Person1,"And it's planned only as the projects are developed and as they have the right returns to improve the current business that they have and to improve the quality of the product and, if necessary, to make more product at a second facility.
"
Person1,"And the plan for that would be to organize the funding the same way the prior development of Ilim was done, which is on the Ilim balance sheet, and we don't see any effect on the dividend changing or going down or anything like that.
"
Person1,"So we think there's some good opportunities for improving Ilim.
"
Person1,"And it goes to that comment I made on my closing statement around making products that are needed in the market, mainly into consumer-oriented end uses, and making them in the right place in the world for your advantage, fiber, cost structure, and workforce.
"
Person1,"And this is a perfect example of that.
"
Person2,"And <UNK>, I'll just add on.
"
Person2,"We actually are going to get a dividend payment, I'm looking at my colleagues who are on the Board, is the Ilim joint venture last week approved the dividend payment for 2016.
"
Person2,"So we'll receive between $50 million, $55 million this year and another recommitment to the dividend flow out of the business, given that it's generating significant cash.
"
Person2,"And also if you look at their debt balance, their debt has actually come down, as well.
"
Person2,"So the financial condition of that business is great and we're counting on dividends out of that business as part of the value creation equation for International Paper.
"
Person1,"Thank you, <UNK>.
"
Person1,"Good morning, <UNK>.
"
Person2,"Yes, those are two discrete items that we called out.
"
Person2,"So that would be the right way to look at it, <UNK>.
"
Person2,"Yes, <UNK>, I think what I called out was $22 million on total outage expense from first to second.
"
Person2,"So I'm not sure where the number that you said.
"
Person2,"What we did call out is Riegelwood was a big driver, but if you add it all up, if you go all the way across the line there and add it all up, it's a $22 million improvement first to second.
"
