Person,Sentence
Person1,"(inaudible).
"
Person1,"So first and foremost, we welcome new entrants into the market, especially at an even higher ESP.
"
Person1,"So that's good.
"
Person1,"So that, again, as you say, it validates our strategy.
"
Person1,"Nothing is better from a flattery standpoint on somebody copying your model.
"
Person1,"We do believe that providing whole home Wi-Fi coverage eliminating dead spots is the way to go.
"
Person1,"And this mesh network concept, we introduced it last year with our Dead Spot Terminator SKU under the joint branding of Best Buy Geek Squad and NETGEAR.
"
Person1,"And it has been very successful.
"
Person1,"I guess that prompted our competition to copycat it.
"
Person1,"And we will welcome any copycat because that validates our strategy.
"
Person1,"So we will continue to do on a single router expanded coverage with the Nighthawk series.
"
Person1,"And then, of course, we will continue to develop our mesh network along the line of the Dead Spot Terminator where you have multiple units to cover the house.
"
Person1,"So as far as competition is concerned, we actually saw our market share ticked up in Q1 both in North America as well as in Europe.
"
Person1,"So I think the new entrants hurt our comp-- the old competitors more than us.
"
Person1,"I'll let <UNK>tine talk about foreign exchange first, because I don't know much about it.
"
Person1,"And for Asia-Pacific, as you can see, the percentage of revenue derived from Asia-Pacific market is perking up year after year.
"
Person1,"And we're very pleased that in Q1 in Q-- [comments] to 17%.
"
Person1,"I remember many years ago I talked about that eventually Asia will represent 20% or 25% of our total sales.
"
Person1,"And we clearly are marching towards that goal.
"
Person1,"Clearly, if you look at the pure economy, Asia is the biggest.
"
Person1,"If you combine Japan and China and India, it's definitely bigger than Europe, bigger than the US.
"
Person1,"And population is not even comparable.
"
Person1,"So naturally that should be a very lucrative market.
"
Person1,"And also, unlike Europe and the US, while the economy is kind of growing at a very snail pace, Asia-Pacific economy, if you look at China and India, they're still growing at 6%, 7%.
"
Person1,"We talk about recession but for 6% and 7%, we'll take it any day.
"
Person1,"So and also, I -- the most important thing both in these market of China, India is that the middle class is growing rapidly.
"
Person1,"And more and more affluent people are servicing.
"
Person1,"As a matter of fact, the last report I read is that there are more billionaires in China than in the US now.
"
Person1,"So that all bodes well for us because we're not selling cheap stuff.
"
Person1,"We're selling the most expensive high-end aspirational products.
"
Person1,"So all those elements benefit us and we believe that our Nighthawk routers, our Dead Spot Terminators, our Arlo security cameras will play really well into the Asian market.
"
Person1,"And we expect that we'll continue to take share away from our competitors both from the US as well as from the local Asian vendors.
"
Person1,"Yes.
"
Person1,"For the service provider, definitely if you have a fixed cost structure and on your existing product line especially on the leading-edge product line, all of a sudden, you get a bluebird order.
"
Person1,"That's very, very highly leveraged because you have no additional costs.
"
Person1,"But it's at the front end of the margin and you get extra revenue.
"
Person1,"I mean, we'll take it any day.
"
Person1,"Now, but those opportunities are far and few in between.
"
Person1,"The reason that we could take care of it is because our competitors just do not have that kind of logistic excellence that we could do.
"
Person1,"Absolutely, if there's such a bluebird coming in every quarter, we'll be more than happy to take it.
"
Person1,"But on the other hand, I'm not going to lower our margin to try to catch this type of business.
"
Person1,"But the good thing is, the products that we're shipping are at the leading edge.
"
Person1,"So the margin is good.
"
Person1,"But you're right, definitely our objective is now after we pare down the product line for service provider and really leave it just to the high value-add, differentiated high margin products, we absolutely will look for opportunities everywhere.
"
Person1,"And if we could grow that business, of course we will do that.
"
Person1,"All right.
"
Person1,"And then in terms of Arlo, yes, clearly Arlo fits right into our channel.
"
Person1,"The strength of our channel.
"
Person1,"We're very strong in retail, we have a fantastic brand around the world.
"
Person1,"We have a very strong VAR base.
"
Person1,"So that's why when we create Arlo Wire-Free and then Arlo Q, we just inject them into the channel and the channel would take it from there.
"
Person1,"As long as our products are differentiated, are leading edge, and provide real value to our customers, our channel will be able to take it as far as we can.
"
Person1,"We'll use that same experience to develop our next category or products in the smart home or in the smart office.
"
Person1,"As I said in the prior two earnings call, we're really focused on a product category that we see already growing.
"
Person1,"But we would be able to provide a highly differentiated product that would add significant value and fulfill a significant unmet need from our customers in that category that we could command a premium and is a high ASP.
"
Person1,"So we're scanning many, many of the categories and there are a few that we're putting our eyes on.
"
Person1,"And we would come out with new products but we cannot disclose what it is until it's out.
"
Person0,"<UNK>, I can answer DSO quickly.
"
Person0,"Two things on that.
"
Person0,"The lower the service provider, usually the better the DSO.
"
Person0,"And secondly, when we look at our retail quarter, we do give holiday payment terms to some of the large retailers.
"
Person0,"And most of that money then comes in in Q1.
"
Person0,"So they get extended terms once a year.
"
