Person,Sentence
Person0,"Sure, I can comment.
"
Person0,"I think you're seeing one of the strategic reasons we have a direct-to-consumer channel, which is we're able to adjust our inventories within our stores very, very quickly.
"
Person0,"Because it's all our inventory.
"
Person0,"I think that's one of the reasons that our DTC business was up 8% in the first quarter versus our wholesale business, which was up low single-digits.
"
Person0,"We are able to react for our wholesale partners, at the same speed.
"
Person0,"But we can't comment about all the inventory they have in their stores.
"
Person0,"They buy based on what they see consumers wanting, with the reality of what their current inventory situation is.
"
Person0,"Not just in our brands but across the total operation.
"
Person0,"So they have an -- we have an advantage quite frankly in that, because all the inventory in The North Face Company is North Face inventory.
"
Person0,"So we can move it back and forth and in and out of our stores.
"
Person0,"It just makes us a little bit more nimble.
"
Person0,"I think that's one reason we are seeing growth.
"
Person0,"It's just a different business model.
"
Person0,"I forgot the second half of your questions, was it on wholesale inventory.
"
Person0,"Yes, it's a different model because they come and place orders with us to buy for fall or for holiday well in advance.
"
Person0,"We flow that into them when they need it.
"
Person0,"There is not a wholesale inventory model.
"
Person0,"Every wholesale partner we have has their own way of doing business.
"
Person0,"So it's really impossible for me to answer that more specifically because we deal with very different models with very different retailers.
"
Person2,"Yes, <UNK> <UNK> here.
"
Person2,"As I mentioned in the script, we believe we have strong elements to believe this is not a brand issue, but it is a category issue.
"
Person2,"We mentioned DTC was up.
"
Person2,"DTC gives us the possibility to merchandise in very short times, the product offering.
"
Person2,"What I did not mention in the script but is very relevant, our reorders were up close to 10% in Q1, which really shows that we don't have a brand issue but we have a product issue.
"
Person2,"Now, the good news is the product issue is related to a few styles, which are relevant in the collection, that's why need a little bit more time.
"
Person2,"But we actually expect the situation to improve in the second half in a significant way.
"
Person2,"No.
"
Person2,"No, no, no, we have many elements of other products we see on the brand which are really doing well.
"
Person2,"Many categories in many styles.
"
Person2,"It is related to a few specific styles which especially in a few areas which are a bit larger markets, UK is a good example, are under pressure in terms of sell-through.
"
Person2,"But even in our own stores in the UK, where we have a better and a faster possibility to merchandise, we see very good results.
"
Person0,"A lot of it.
"
Person0,"<UNK>, we have learned -- if I go back 12 years, we didn't have any full-price retail stores.
"
Person0,"A lot that we learned from having our own retail stores which is a $3.3 billion business for us now, we've learned how to read daily sales and get stuff into the stores.
"
Person0,"Our stores are other people stores.
"
Person0,"The top of that, we run the Company with around 100 days worth of inventory.
"
Person0,"That's a forward-looking assessment of inventory.
"
Person0,"So any day during the year, we've got kind of the next 100 days worth of inventory sitting on the shelves in some capacity in our warehouses.
"
Person0,"So we have the inventory.
"
Person0,"The question is, how do we read it and get it out.
"
Person0,"This hasn't been a change that happened like a light switch change, it is evolving slowly every year with retailers wanted to manage their stores more efficiently.
"
Person0,"That means with less inventory.
"
Person0,"Rather than placing all their orders well in advance of the season, they are placing some of their orders in advance of the season and asking us to be able to respond.
"
Person0,"We are able to do that.
"
Person0,"<UNK>, do you want to add anything to that.
"
Person1,"Yes, <UNK>, I would add to <UNK>'s comment.
"
Person1,"I think the consumer in this -- we can call it buy now wear now, or consumers just being very thoughtful and very prescriptive of what they want when.
"
Person1,"It's in our responsibility to really think about the frequency of flow of new products.
"
Person1,"Historically, you know our businesses well or these industries well, it's a two to four season model.
"
Person1,"I think to really win with the consumer, who I believe, call me the eternal optimist, is very incented to purchase.
"
Person1,"But you have to put very interesting offers in front of them, new products with very compelling stories.
"
