Person,Sentence
Person3,"So we think it's a very, very interesting proposition.
"
Person3,"And so, we're piloting that capability in four markets, and we're going to evaluate how that plays out in those markets.
"
Person3,"But we think it's a very, very intriguing opportunity, and we're definitely looking at that as an alternative to some of the other opportunities we have in the video space.
"
Person1,"Thank you, Sayeed.
"
Person1,"We're confident that CenturyLink is well-positioned to help our customers realize the promise of the digital economy as we've stated is our goal.
"
Person1,"We have a strong set of assets.
"
Person1,"We have dedicated and passionate employees.
"
Person1,"We have the financial strength, to continue to invest in our future, and we have the strategic clarity of how we will grow our business, by connecting our customers to the digital world.
"
Person1,"And we're really inspired by the opportunities we see for our customers, for our employees, and our shareholders in the months and years ahead.
"
Person1,"So thank you for joining our call today, and we look forward to speaking with you in the weeks ahead.
"
