Person,Sentence
Person0,"So <UNK>, on your first question, on the injectables front, we have -- we don't have a lot of injectables that are in a highly competitive area.
"
Person0,"And the ones that we do, we go through normal fluctuation and pricing, but we have not seen any major price changes.
"
Person0,"And we have a small portfolio of products that are generally contracted with the GPO, but the bulk of our product base is either we are single source or we are one of the few that is promoting those products.
"
Person0,"So we haven't seen any major pricing challenges there, as yet.
"
Person0,"You may have to repeat your second question.
"
Person0,"It was quite long.
"
Person0,"Yes, so it's a combination of both.
"
Person0,"So we're going to look at consolidating our position in each of the areas that we currently focus on.
"
Person0,"So it would be either in ophthalmics, injectables or topicals.
"
Person0,"And then I think we are also going to look at some 505(b)(2)s opportunities that are in late stage development, and especially in the hospital injectable area.
"
Person0,"And as well as expanding our dosage forms there are a few areas that we would like to see ourselves getting involved with.
"
Person0,"Some of them through partnerships, obviously, because we don't have the capabilities, for example, dry powder, powder inhalation products or transdermal patches.
"
Person0,"But again, we're going to shy away from run of the mill oral solid business, white pill business.
"
Person0,"So <UNK>, when we gave the guidance, it was the guidance around the entire year and not a given quarter.
"
Person0,"And obviously, we have talked about that.
"
Person0,"We're going to get challenged with new competitors, especially in the second half of this year with some of our bigger products like Ephedrine.
"
Person0,"So that will have an overall effect, in terms of the pricing going forward, and as well as some volume.
"
Person0,"And we do have some products that we had [marked for dealership] and we had factored in that.
"
Person0,"We may lose share as a result of new competitors coming in, which ultimately affects pricing in the marketplace.
"
Person0,"So that is all factored into our forecast for 2016.
"
Person0,"And we obviously don't give guidance on a given quarter, but generally speaking, that's what we meant for the entire year.
"
Person0,"So obviously, we are going to get re-engaged with M&A.
"
Person0,"And what we meant by one-time would be in the absence of any M&A transactions, we would have a one-time number.
"
Person0,"But given that we are going to get acquisitive in the second half of this year, so we will have the need to deploy cash towards acquisitions.
"
Person0,"So at this point, that's where our head is more focused towards.
"
Person0,"And we see the use of capital in terms of not only investing in the infrastructure, but looking at acquisition opportunities.
"
Person0,"So for generic entry, obviously, you have -- it's a controlled substance, you have got to get a DEA quota, that's one.
"
Person0,"And number two, you've got to be careful, given the headline news around the use of injections in executions and so on and so forth, one has to be very careful in building barriers around [the fear] of your product going into the wrong hands or wrong places.
"
Person0,"And -- so that is now available through the wholesalers, but other than that, I don't see any other barriers.
"
Person0,"And a customer relationship is also important.
"
Person0,"We have a one-to-one direct customer relationship with a given hospital where the product is used, so we know who the customers are because we have created a control distribution system, if you may.
"
Person0,"And we bypass the wholesale channel at the moment.
"
Person0,"So we are -- as I mentioned in my prepared remarks, we are now setting up a new -- looking to set up a new R&D facility in the New Jersey area, which is going to quickly come up in the next few months.
"
