Person,Sentence
Person0,"Thank you, <UNK>, and good morning, ladies and gentlemen.
"
Person0,"Thank you very much for joining us on our call.
"
Person0,"At the risk of plagiarizing myself, I don't think you can have too many superlatives to describe the performance of the employees of the family of Universal.
"
Person0,"We set another record in the second quarter for earnings, which is also an all-time record for earnings in a quarter during our entire 61-year history.
"
Person0,"And we do believe in the adage that records are meant to be broken.
"
Person0,"Now, we don't take these terrific results for granted, and we are not taking selfies and saying, look at me.
"
Person0,"We are keeping our head down to focus on finding new ways to add value and to keep our momentum going.
"
Person0,"We remain confident in our people and our plans and believe that with good execution, we can continue to grow both sales and profits at our target rates.
"
Person0,"Now I would like to highlight our focus areas.
"
Person0,"Sales for the quarter were up 4%.
"
Person0,"Retail was up 7.5% due to strong repair and remodel demand.
"
Person0,"Industrial was down 2.9% due to lower volumes from our existing customers, which they attribute in part to the stronger dollar which hurts their export business.
"
Person0,"Construction was up 6.5% as housing starts increased.
"
Person0,"While we know we can immediately add more commodity sales to grow the top-line number, we are more focused on adding value.
"
Person0,"To achieve sales growth and add value, we continue to pursue both our acquisition growth and our organic growth plans.
"
Person0,"Our recently announced acquisitions will drive sales and increase our market penetration.
"
Person0,"We also expect to have several new facility expansions as well as a new greenfield operation in Oklahoma completed in Q4.
"
Person0,"We continue to build the pipeline of other acquisition targets in order to meet our strategic goals in 2017 and beyond.
"
Person0,"Gross profit remained strong and increased over Q2 2015 by 170 basis points.
"
Person0,"Net earnings for the quarter, as I mentioned, were an all-time record $33.4 million, and the EPS was $1.64 a share, well above 2015's EPS of $1.29.
"
Person0,"Our year-to-date EBITDA is $108 million.
"
Person0,"Accounts receivable were $318.5 million, and that is in line with our sales growth.
"
Person0,"Our percent current remains near the 93% mark.
"
Person0,"Inventories were at $298 million, which is about 10% below 2015's level.
"
Person0,"So, overall, our inventories are in very good shape relative to our current sales level.
"
Person0,"The lumber market itself on the SYP Southern yellow pine market rose during April and May and declined in June, finishing the quarter near where it started.
"
Person0,"The STF market, on the other hand, rose slowly throughout the quarter.
"
Person0,"The next area we want to talk about is new products.
"
Person0,"We are very excited about our new products and our new product growth.
"
Person0,"New product sales through Q2 are $160 million versus $135 million in 2015.
"
Person0,"The versicolor-treated products and the Deckorators products, including the Vault decking, continue to grow.
"
Person0,"The feedback from consumers on the vault decking products has been very positive, and we look to continue to grow sales there.
"
Person0,"Our investment in product development efforts is expanding, and we remain on track to open our design, testing and research facility in Q3.
"
Person0,"We need to be faster to market and to increase our throughput on new products.
"
Person0,"This facility will help accelerate prototyping and application testing and help us streamline the new product vetting process.
"
Person0,"International manufacturing growth via acquisition remains a challenge.
"
Person0,"We are having a difficult time finding acceptable companies and an investment value which permits our ROI model to work.
"
Person0,"However, we keep trying and we keep pursuing new targets.
"
Person0,"In the meantime, we plan to dedicate more resources to our international sales and purchasing efforts to build on our existing business.
"
Person0,"Now I would like to turn it over to <UNK> <UNK> for more detail on the financial performance.
"
Person1,"Thanks, <UNK>.
"
Person1,"Before reviewing the financials, I should briefly address the impact of the lumber market this quarter.
"
Person1,"Overall, year-over-year lumber prices were up 8% and Southern yellow pine prices, which represent our highest volume of purchases, were up 4%.
"
Person1,"As a reminder, commodity lumber prices impact not only our cost of inventory but also our selling prices and working capital.
"
Person1,"I will start the financial overview with highlights from our income statement.
"
Person1,"Our overall sales for the quarter increased 4%, resulting from a 3% increase in unit sales and a 1% increase in selling prices.
"
Person1,"Reviewing by market, sales to the retail market increased 8%, driven by a unit increase of 5% and an increase in selling prices of 3%.
"
Person1,"Our unit sales growth rate this quarter was lower than Q1, which we believe was due to a shift in demand due to favorable weather earlier this year.
"
Person1,"Our sales to the industrial market increased -- or decreased 3%, driven by a decline in unit sales.
"
Person1,"We believe this decline is due to a general softening of demand and our operations being more selective in the business that we take, focusing on higher-margin opportunities.
"
Person1,"On a positive note, we believe we continue to take share, and added almost $6 million in sales to new accounts and [formulated] new product sales this quarter.
"
Person1,"Our overall sales to the construction market increased 6% due to a 5% increase in unit sales.
"
Person1,"Within this category, our unit sales to residential construction increased 10%, commercial construction grew by 3% and manufactured housing increased by 4%.
"
Person1,"Moving down the income statement, we are very pleased to report our record second-quarter gross profit increased by 17% and 170 basis points as a percentage of sales.
"
Person1,"The increase on our profitability and margins this quarter was driven by a handful of factors including favorable improvements on our sales mix to higher-margin products, particularly on sales to our retail and industrial markets, organic unit sales growth to our retail and construction markets and leveraging fixed costs, and effective position buying for inventory.
"
Person1,"SG&A expenses increased year over year for the quarter by $9.6 million, or 14%.
"
Person1,"Accrued bonus expense comprised about $14 million of our SG&A this quarter and was up about $3 million due to our improved profitability and return on invested capital.
"
Person1,"Excluding bonus expense, our core SG&A was about $64 million and increased $6 million, or 11% compared to last year.
"
Person1,"The increase in our core SG&A was primarily due to higher compensation costs and increases in sales and other incentive compensation and certain employee benefit costs.
"
