Person,Sentence
Person3,"This is <UNK> <UNK>, I'm the Chief Credit Officer.
"
Person3,"I will comment on that briefly.
"
Person3,"The term commercial real estate growth that we saw in Q2 was driven partly by slower pay downs, some conversion of construction-to-term loan, and other value-add transactions in the income property space, all of which are well underwritten, safe DCRs, well-defined and lower LTBs, equity and transactions.
"
Person3,"It was a little bit unusual but we are very satisfied with the credit quality of that particular portion of the loan growth in CRE.
"
Person2,"Jeff, this is <UNK> I would also note that geographically there was really nice dispersion across California, Arizona, Nevada and Washington, with a small, modest amount of growth in Texas on the term side, but the term has been pretty well-balanced across the portfolio.
"
Person3,"I will comment briefly on that as well.
"
Person3,"The capital markets have backed up a little bit in CMBS.
"
Person3,"Borrowers are finding it a little tougher to place CRE terms so, in response the line bankers and the business units facilitating CRE have upped the pricing of the overall coupon.
"
Person2,"<UNK>, this is <UNK>, and yes, I think our initiatives are showing nice progress.
"
Person2,"Our treasury management activities are still -- it's our largest fee income stream, it's about 30% and it is growing in the mid-to-high single-digit rates, which is really good for that business.
"
Person2,"Our other bank card products, business card, consumer card are growing at high single-digit rates which we've talked about repeatedly over the last couple of years, basically trying to get the same sort of penetration in our other markets that we currently achieve for those products in Zions First National Bank, our bank in Utah.
"
Person2,"And then wealth management, which we've been concentrating on, is growing high single digits.
"
Person2,"Mortgage, the fee income component is not growing even though our volume, origination volume was up 30% last year.
"
Person2,"Our origination volume will be up about 30% this year, but we are keeping more of that on the books and consequently it's not having the fee-income benefit that we thought it would.
"
Person2,"But those would be just some things I would highlight.
"
Person2,"It was a modest purchase with a really strong correspondent that we have a lot of respect for.
"
Person2,"We are, as you know, still significantly under-weighted on exposure to One to Four Family, and even though we are originating really nice volumes with our mortgage initiative, we thought at least having this as an alternate source is a good thing.
"
Person2,"The yields are significantly higher than what we could buy into our investment portfolio, and the credit statistics are on par with our own originations, with yields principally on par with our own originations.
"
Person2,"It is just a real nice relationship and we will probably continue it at a very modest pace, but it's clearly not a key driver of our results.
"
Person1,"We are going to continue to work that down as we invest.
"
Person1,"Obviously deposit ebbs and flows are going to impact that.
"
Person1,"It is hard for me to give you a precise number although I will say that despite the very good loan growth we have had in the first half of the year, we continue to be on track with respect to our investment portfolio targets, which is purchasing another $1.5 billion or so over the next two quarters.
"
Person1,"If the question is about the cash balance I would expect to continue to whittle that down.
"
Person1,"Ultimately as I said in my prepared remarks, I do expect for us to get into a position where we are going to incrementally go out and need to fund loan growth.
"
Person1,"When that happens then you can assume that our cash balance has reached sort of its low point and the point that we are most comfortable with.
"
Person0,"That's been kind of the focus of a very specific campaign to -- that's been focused on home equity lines of credit, so I think you are seeing the results of that kind of marketing push.
"
Person2,"This is <UNK>.
"
Person2,"Basically, what we said was $1.58 billion for this year, slightly increasing in 2017.
"
Person2,"And I think fundamentally we feel we are going to be able to stay fairly close to the $1.58 billion next year as well, so we are continuing to find new ways to reduce expense in light of -- and fund those areas that are growing.
"
Person0,"I expect we'll have a little more to say about it as we get closer towards the end of the year.
"
Person0,"I would agree with what <UNK> just said.
"
Person0,"To the extent that it is north of $1.58 billion, it won't be much in excess of that.
"
Person0,"Maybe better than it, but I think it's a little early still.
"
Person2,"I think it would principally be because we are finding more opportunities to simplify how we do business, and those opportunities we're digging into literally every day.
"
Person2,"We have been.
"
Person2,"The adoption of common practices and back office activities and middle office activities is just continuing to show us opportunities to reduce cost.
"
Person2,"So it will be more related to that than any kind of cresting of previous activities.
"
Person1,"Are you asking about the incremental yield of the bonds we're putting on.
"
Person1,"There are a couple of things there, one is rate and one is volume.
"
Person1,"And I think you can probably look at MBS rates in the marketplace or the 5-year treasury and kind of come up with an estimate of that differential in yield between what we're buying then and what we're buying now.
"
Person1,"The other thing I would point out though, and I am sure you have noticed, is that we bought a lot of bonds in the second half of last year.
"
Person1,"We did okay in the first quarter.
"
Person1,"In the second quarter we really slowed that down.
"
Person1,"And we slowed it down because of the shape of the curve.
"
Person1,"I think we have been pretty clear about telegraphing our intentions, while we need to continue to put money to work we are going to try to be thoughtful around the timing of those purchases, and I think your question points specifically to any incremental value we may have created there.
"
Person1,"So I can't give you a specific dollar amount, <UNK>, but I think it is probably pretty easy to triangulate on when you look at the change in the market and the volume of what we bought over the course of the last year.
"
Person1,"We have a very long and successful history in dealing with municipalities and providing credit to the local markets.
"
Person1,"This is critically important to what we do as a very locally-oriented bank.
"
Person1,"I think we are successful across our footprint, have been for a very long time, decades, and continue to be.
"
Person1,"So I think that what you're seeing there, <UNK>, is just a continuation of the success that we've had as an organization.
"
Person0,"I would add that it is something that we are very focused on trying to step up somewhat and do more of this, particularly with smaller municipalities where we think the risk reward trade-off is quite nice and where, as <UNK> indicates, we have a very long solid track record, so there's some focus there.
"
Person0,"The growth you are seeing isn't primarily a result of that push yet, but I'm hoping over the next couple of years you will start to see more of that.
"
Person0,"I think the first thing I would say is, clearly the world has changed a lot from the days when you had free rein.
"
Person0,"You are posing a hypothetical, I guess I would say clearly we would use everything we've done in building capabilities to stress test in the model to think about risk, particularly in a downturn, to inform how we think about capital.
"
Person0,"There are a lot of things we have built risk management-wise here in the last five or six or seven years that I think are actually really useful tools.
"
Person0,"I think we would agree that we've got more capital, and we are at the north end of where our peers are.
"
Person0,"I would note, that we will always want to be probably, kind of to the strong side so long as we have somewhat higher exposures of commercial real estate and energy.
"
Person0,"We know that those are both segments where you can see maybe a little more cyclicality than some other things.
"
Person0,"If you took all of the limits off, this wouldn't be a race to the bottom, if you will, in terms of draining the capital.
"
Person0,"But we want to thoughtfully try to right-size our capital and grow into it and I think it gives us a lot of flexibility in terms of what we can do.
"
Person0,"I hope that is helpful.
"
Person0,"We know that we have more preferred than we probably need right now.
"
Person0,"That is something we have talked about and that we continue to opportunistically deal with, but on the common equity too we are heavy and that is something that increasingly I think you'll see us working at, it is very much on our minds.
"
Person0,"I would say our goal is over the next couple of years to get it up around 10%, and we think that that is doable.
"
Person0,"There is some additional reduction in preferred that will help, obviously the cost of preferred is a drag on the ROE.
"
Person0,"I would expect that as we continue to see better results through CCAR, that we'll be able to be a little more aggressive in our capital repatriation ask.
"
Person0,"And then there is still a lot of operating leverage.
"
Person0,"I think it is really important to focus on what we are accomplishing.
"
Person0,"If you look at pre-provision net revenue as operating leverage that you see playing out over the last few quarters, it takes not a whole lot of additional work in that area to start to make a real difference.
"
