Person,Sentence
Person0,"Thank you, <UNK>.
"
Person0,"And I want to take just a moment and thank a long-time voice that opened these calls, Larry Spencer, who's here with us today and who will be with us for a few more months.
"
Person0,"But <UNK> has now taken over as our lead introduction for this call, and I just want to acknowledge and welcome him to this process and thank Larry for his many, many years that he took care of us.
"
Person0,"And with that, we had a good second quarter that exceeded our expectations, thanks in part to favorable weather during the last few days of June.
"
Person0,"Above-normal temperatures in the last week of June drove irrigation and air-conditioning loads higher than expected, but the second-quarter financial results were still less than the prior year.
"
Person0,"As a reminder, last year the Company recorded the highest second-quarter energy sales on record, as an early start to the irrigation season combined with a June heat wave in our service area to dramatically benefit sales in 2015.
"
Person0,"Looking ahead, our forward estimates include only normal weather expectations.
"
Person0,"On slide 5 you'll see a reconciliation of the change of net income from second quarter 2015 to second quarter 2016.
"
Person0,"Overall, net income was $9.9 million less than in the same period last year.
"
Person0,"Customer growth in our service area increased operating income by $2.7 million in the second quarter.
"
Person0,"However, decreased usage per customer lowered operating income by $9 million compared with the second quarter of 2015.
"
Person0,"The application of the Idaho Fixed Cost Adjustment mechanism, or FCA, decreased revenues by $5.9 million in the second quarter and needs more explanation.
"
Person0,"Last year the Idaho Public Utilities Commission modified the FCA mechanism to use actual sales rather than weather-normalized sales.
"
Person0,"According to the Idaho Commission's order in the second quarter of last year, the change became effective January 1, 2015.
"
Person0,"The first-quarter impact of the change resulted in a $7.4 million positive income adjustment recorded in the second-quarter 2015 financial results.
"
Person0,"Comparing only the FCA impacts attributable to the second quarter 2015 to the FCA impacts in this year's second quarter, there would have been a $1.5 million increase in FCA revenues.
"
Person0,"Other increases in operating revenue were primarily related to two factors.
"
Person0,"First, a $1.5 million revenue benefit in the second quarter of 2016 was due to higher average rates charged per kilowatt-hour based on levels of irrigation usage.
"
Person0,"The second factor was an approximately $2 million adjustment which lowered revenues in last year's second quarter per the methodology change ordered by the Idaho Commission regarding the power cost adjustment mechanism.
"
Person0,"Overall, Idaho Power's second-quarter operating income decreased $9.4 million year over year.
"
Person0,"The decrease in income tax expense was largely a result of lower pre-tax income.
"
Person0,"Also, Idaho Power did not book any additional ADITC amortization this quarter, leaving $500,000 recorded for the six months ended June 30, 2016.
"
Person0,"Additional ADITC amortization is recorded based on the expected Idaho Power return on year-end equity in the Idaho jurisdictions.
"
Person0,"I will discuss this in greater detail in a moment.
"
Person0,"Moving now to slide 6, we show IDACORP's operating cash flows for the first six months of 2016 and 2015, along with the liquidity positions as of June 30.
"
Person0,"Cash flow from operations for the first six months of 2016 was $137.9 million, a decrease of $33.1 million from the same period in 2015.
"
Person0,"This was primarily driven by timing of and decreases in working capital, lower net income, timing of distributions from an equity method investment, and changes in regulatory assets and liabilities.
"
Person0,"IDACORP and Idaho Power currently have in place credit facilities of $100 million and $300 million, respectively, to meet short-term liquidity and operating requirements.
"
Person0,"The liquidity available under the credit facilities is shown on the bottom of slide 6.
"
Person0,"Although we do not plan to issue equity during the remainder of 2016, we are currently evaluating the renewal of our continuous equity program, which expired in May.
"
Person0,"Turning to slide 7, with the exception of tightening the hydroelectric generation range, each of the financial and operating metrics listed on this slide remain the same, as presented on April 28, the date we reported first-quarter 2016 results.
"
Person0,"Through the first six months of this year, based on our estimate of return on year-end equity in the Idaho jurisdictions for 2016, we have recorded $500,000 of additional ADITC amortization.
"
Person0,"This is included in the income tax reconciliation table in Note 2 of the financial statements in the Form 10-Q filed earlier today.
"
Person0,"As of June 30, we estimated that Idaho Power will record approximately $1 million of additional ADITC amortization for the full year 2016.
"
Person0,"I want to acknowledge that $1 million is at the low end of our stated zero to $5 million range, but with some below-normal temperatures in the early part of July and planning based on normal weather for the remainder of the year, the possibility of additional use of these credits still exists.
"
Person0,"With that said, our efforts have been targeted on preserving credits, and we will continue to be diligent in managing costs and growing revenues with the goal to preserve all credits for future years.
"
Person0,"I will add that this week's temperatures, at least in Boise, have returned to triple digits.
"
Person0,"Finally, as discussed in the Liquidity and Capital Resources section of the Form 10-Q, the early redemption of first mortgage bonds due April 2019 resulted in Idaho Power paying a make-whole premium of $14 million to the holders of the bonds.
"
Person0,"The redeemed 10-year 6.15% bonds were replaced with 30-year 4.05% bonds, resulting in a significant improvement in both tenor and rate.
"
Person0,"The net tax benefit of the make-whole premium is $5.6 million, which was recorded in this year's second quarter.
"
Person0,"This benefit has been taken into consideration in reaffirming the earnings per share guidance range for 2016, along with our active management of costs.
"
Person0,"I will now turn the presentation over to <UNK>.
"
Person1,"Thanks, <UNK>, and good afternoon.
"
Person1,"As you have already heard and read, this quarter's results are fairly straightforward.
"
Person1,"We have continued to focus on Idaho Power's core business of providing reliable, responsible, fair-priced energy services.
"
Person1,"We continued to see customer growth in the second quarter.
"
Person1,"Based on this and recognition of our service area in several publications and reports such as the one shown on slide 8, we continue our optimism about customer and economic growth prospects.
"
Person1,"We are seeing companies enter into and expand in various locations throughout the service area.
"
Person1,"One recent example is Great Western Malting, which is the oldest malting company in the western United States.
"
Person1,"Located in eastern Idaho, Great Western broke ground on a $75 million expansion to its existing malting plant last summer and is expected to be completed in 2017.
"
Person1,"Economic development officials in Pocatello say this expansion will have more than a $300 million economic impact on the region.
"
Person1,"The organic nutrition company, Clif Bar, opened its 275,000-square-foot bakery in Twin Falls in late May of this year.
"
Person1,"Another production line at the plant is already in the works to go online in 2017.
"
Person1,"As we have highlighted previously, southern Idaho has secured a record-setting seven major agricultural-related projects since 2012.
"
Person1,"According to a recent report by the Southern Idaho Economic Development Organization, these projects have generated 5,000 new direct and indirect jobs with a combined investment of over $770 million.
"
Person1,"It is not just the agricultural sector that is driving growth.
"
Person1,"Recently, two California-based manufacturing companies elected to relocate to our service area, bringing with them over 100 new jobs.
"
Person1,"For the 12 months ended June 30, 2016, Idaho Power's customer growth rate was 1.8%.
"
Person1,"Employment statistics remain strong.
"
Person1,"Preliminary data from the Idaho Department of Labor as of June 2016 shows unemployment in the service area was 3.9% compared to 4.9% nationally.
"
Person1,"Compared with last year's second quarter, employment in our service area increased approximately 2.3%, now exceeding 485,000 employed.
"
