Person,Sentence
Person0,"I will let <UNK> address that.
"
Person1,"Yes.
"
Person1,"So I mean, you could really -- it's two things.
"
Person1,"One is we have lower revenues in London because we no longer get a usage bonus.
"
Person1,"That was probably $10 million to $15 million per year.
"
Person1,"And then the other change, of course, is -- what I talked about in the call, is the lower exchange rate.
"
Person1,"So, we've kind of given kind of the headwinds from the lower pound rate, but effectively, the pound is down, say, 10% year-over-year -- 10% to 12%.
"
Person1,"So I don't see any operating changes as far as the subway goes or anything like that because of Brexit.
"
Person0,"This is <UNK>.
"
Person0,"I'll address where the solicitation stands, and <UNK> can talk about the economics.
"
Person0,"So we've turned in our proposal.
"
Person0,"We did a great job on our proposal.
"
Person0,"And as you might have noted, we teamed up exclusively with our customer transport for London.
"
Person0,"They had provided some EMV open payment technology that we believed the New York customer really liked.
"
Person0,"So, we feel very fortunate with the teaming agreement that we have in place.
"
Person0,"As you know, we've been there for a long time and have done a great job there.
"
Person0,"Orals are coming up towards the latter end of this month, and both Cubic and Transport for London will be at the table with our customer in New York.
"
Person0,"We expect that will be down select to a few, post the orals, and then we expect -- the customer has told us to expect an award before the end of the new year.
"
Person0,"Some of our team is a little skeptical that that may slide a little bit.
"
Person0,"I would guess that it will be somewhere in the first quarter of next calendar year.
"
Person1,"Yes, I'll just add, <UNK>, that the contract to do the system would be done over, say, two to three years.
"
Person1,"From what we can determine right now, it's going to be percentage completion accounting, so our revenue would start to show up once we kind of cost on cost.
"
Person1,"So it will have some positive incremental revenue impact in 2017.
"
Person1,"And then we would see full-year benefits in 2018, 2019, and 2020, and then they are also going to procure services as well.
"
Person1,"So this will have a really long-term tail.
"
Person0,"Yes, this is <UNK>.
"
Person0,"We've tended to see change orders over time.
"
Person0,"We have a number of change orders that we are working on, so I would expect modest growth in London in the near-term.
"
Person0,"<UNK> may have more to add.
"
Person1,"Yes, I think we are seeing some expansion on the road work that we've been doing with our ITMS business.
"
