Person,Sentence
Person0,"As to the first question, Jim -- no.
"
Person0,"I would agree that the number of deals is actually roughly on-pace with prior years.
"
Person0,"The amount of spend -- that, I'd say, $75 million -- is less.
"
Person0,"Gawker has nothing to do with that.
"
Person0,"I think as you know, Gawker was something that really materialized in the June timeframe, May-June timeframe.
"
Person0,"And so, obviously, there's been a lot of activity even before Gawker was a possibility.
"
Person0,"And as you can see, we've got more than ample cash balances to fund that transaction and still do much more.
"
Person0,"And if we do not win Gawker, the answer is also no.
"
Person0,"I mean, there's going to be a push to do M&A.
"
Person0,"I would say that if we win Gawker, there might be some things on the media side that we would like to defer.
"
Person0,"Because we're going to spend the time to absorb the Gawker properties.
"
Person0,"So that might change somewhat on the margin, but certainly has no effect on the Cloud business or no effect on j2's general appetite for M&A.
"
Person0,"As to your second question -- I think that all of the other Cloud Services remain under-scaled.
"
Person0,"However, the one that's closest to scale is the Backup business.
"
Person0,"It did tip over 50% EBITDA margins this quarter, which is one of the factors we use in terms of determining scale.
"
Person0,"But it's not solely determinative.
"
Person0,"But it is clearly marching in that direction of being a full-scale business unit that could be standalone.
"
Person0,"That's really more of the internal definition.
"
Person0,"And we expect that when those businesses meet that criteria, as a result of it, they should be at 50% or better EBITDA margins.
"
Person0,"So the Backup is the closest, I think, as <UNK> mentioned.
"
Person0,"Depending upon the pace of M&A over the next six to 12 months, it probably reaches its scale.
"
Person0,"Not necessarily its full potential, but its scale.
"
Person0,"The other units, though, remain small -- the Email Security, the Email Marketing, and the web hosting.
"
Person0,"Web hosting really is very, very tiny; it's about $5 million to $6 million of revs.
"
Person0,"The Email Marketing is about $30 million, and the Email business is right around a little over $50 million.
"
Person0,"So each of those three business units, to varying degrees, have to increase from a pure revenue standpoint fairly dramatically to hit scale.
"
Person1,"I'll try to answer you, too, <UNK>.
"
Person1,"There are two elements, revenue and EBITDA.
"
Person1,"So from a revenue standpoint, the Cloud Connect is growing slow.
"
Person1,"We have potential in voice, both in the US and internationally, but a slow grower.
"
Person1,"EBITDA is very high, mid-50s to 60s.
"
Person1,"On the Backup, we just reach over 50% EBITDA.
"
Person1,"I believe that we can improve the cash flow there.
"
Person1,"As we scale, we have better ways of reducing cost on our [colo storage].
"
Person1,"And also, we keep on introducing services that are very highly valued.
"
Person1,"But we don't really represent, beyond the initial investment cost, those services like disaster recovery.
"
