Person,Sentence
Person1,"<UNK>, this is <UNK>.
"
Person1,"On this one dimension alone, it's certainly the case that scrap values improved year over year.
"
Person1,"I think it's worth noting a couple things.
"
Person1,"One, scrap value most acutely affects our lowest end cars.
"
Person1,"So a car that's likely to be rebuilt, likely to be returned to service for some number of years, export or otherwise, is affected much less by scrap.
"
Person1,"It's the lowest end vehicles that are affected, not literally -- not necessarily the high end cars.
"
Person1,"Part one.
"
Person1,"Part two is there are other contributing forces, so the strength of the US dollar being an important consideration given the number of cars we export out of the US.
"
Person1,"The dollar has clearly strengthened against a lot of our reference currencies, a lot of our export currencies.
"
Person1,"So that's an offsetting consideration.
"
Person1,"But yes, all else equal, scrap improvement year over year would be helpful, yes.
"
Person1,"<UNK>, we've done a fair bit of homework on this question, as you can imagine, ourselves.
"
Person1,"When I look -- I'd say we have seen the historical analogue in the sense that we have seen accident rates decline for a very long period of time.
"
Person1,"So from the mid 1970s to 2011, accident rates declined very steadily, as the last generation of safety -- of accident avoidance technologies spread through the market.
"
Person1,"It took decades for it to do so, which is also going to be true today.
"
Person1,"If the US, for example, will see 15 million or 17 million of new car shipments in a given year, we have a car park of 250 million or 260 million cars.
"
Person1,"It is just decades, but the math is fairly straightforward.
"
Person1,"It will take decades before all cars have these technologies.
"
Person1,"The second note is that over that same period of time from the 1970s, 1980s to 2011, the salvage industry grew well because the decline in accidents was more than offset by the total loss frequency, which is again, a function of repair cost, vehicle age, and so forth.
"
Person1,"So we've seen this movie before.
"
Person1,"I think a lot of that will be true going forward, as well.
"
Person1,"A lot of the technologies that make automobiles safer also make them much more expensive to repair.
"
Person1,"You heard <UNK> talk about computers and sensors and so forth.
"
Person1,"The typical car is much more complex today than it was 10 years ago.
"
Person1,"So the math is decades.
"
Person1,"I think it's an open question as to precisely how many, but I think it's decades away.
"
Person1,"<UNK>, that's an understatement.
"
Person1,"I think we do not historically provide detailed guidance or general guidance, but I think your inquiry is fair.
"
Person1,"The most important driver, you did hear <UNK> talk about, which is the unit growth, and therefore, revenue-growth assumptions.
"
Person1,"I'd say just looking backwards, say, four to eight quarters, big drivers are currency, scrap values, catastrophic events which can cause higher than normalized cost incurrence.
"
Person1,"G&A is largely predictable for us.
"
Person1,"We don't provide forward guidance, except to say that it will continue to increase on an absolute dollar basis given this -- the [indeployed] meaningful capital and land assets.
"
Person1,"So if you went to some other measures of operating performance, returns on invested capital, and so forth, our investments and our infrastructure could, of course, affect those numbers.
"
Person2,"I would say that all our recent experiences have done nothing but make us feel more optimistic about these markets.
"
Person2,"And the timing is somewhat uncertain, but we will be [pursuing] with systems and resources, and I anticipate real estate, as well.
"
Person1,"Good morning.
"
Person2,"Simply growth in volume.
"
Person2,"It's funny, I used to be on the finance side, and I was always arguing that you need to operate yards at 100% capacity.
"
Person2,"And for the six weeks during the time in the year when you have peak, you just operate it efficiently, that doesn't work on the off side.
"
Person2,"You have to have a certain amount of excess capacity.
"
Person2,"And now as we enter an environment where we're having CAT situations more frequently, for whatever reason, it amplifies the need to have excess capacity in terms of land to adequately serve our insurance customers.
"
Person2,"And so because of that, because of the increase in volume, because of the increase in CATs, and because of the growth in our market share, we find ourselves in a position where we really need to expand our network of facilities.
"
Person0,"<UNK>, let me quantify it a little bit for you.
"
Person0,"Copart, from an inventory perspective, grew 20% in the quarter.
"
Person0,"We have over 400,000 cars on the ground.
"
Person0,"If you do that math and you then calculate that you can only store about 100 cars per acre, and you sit back and you think about the fact that Copart added over 60,000 units to inventory year over year, you've got to add 600 acres of land to the Company.
"
Person0,"And that's the kind of growth that we've been seeing in the last year.
"
Person0,"Ad that's, as <UNK> said, we anticipate that growth going forward.
"
Person0,"We are -- when we talk about our 20/20/20 program, that was where we started six months ago.
"
Person0,"We will anticipate opening more than 20 locations at this point and expanding more than 20 locations at this point because of the growth in units and the corresponding growth in inventory, because we have to store those vehicles.
"
Person0,"That market, I went in with a team during that event.
"
Person0,"That market is about one-quarter of the size of hurricane Katrina, off the top of my head.
"
Person0,"So big event.
"
Person0,"We picked up a lot of cars, but still relatively small compared to a Katrina.
"
Person0,"In terms of a hurricane Sandy, Sandy was less than Katrina, probably one-third, off the top of my head, off the size of hurricane Sandy.
"
Person0,"Thank you.
"
Person2,"I'll tell you, it's just extremely difficult to give you a response because of the uncertainties of acquiring this land.
"
Person2,"Not only is it difficult to locate it, it's extremely difficult to get it properly zoned, and the timing of that creates the uncertainty I'm talking about.
"
Person2,"In total, if you look at the total schedule of properties that we're targeting, it's in the many hundreds of acres.
"
Person2,"So over the course of probably two years, we'll be expending a significant amount of capital to obtain those acres.
"
Person2,"And the math is right.
"
Person2,"We've talked about volume growth.
"
Person2,"If you've got three years of volume growth at 8%, you're at a 27% growth in the overall market.
"
Person2,"And if you assume that your market is 4 million cars, you're well over 1 million additional cars.
"
Person2,"It's becoming a real issue, and that's why we're so extremely focused on it.
"
Person2,"We have a lot of resources focused on obtaining this land, because without this land, you can't properly satisfy and service your insurance customers.
"
Person1,"<UNK>, just a sliver of color here.
"
Person1,"The reason, I thin, you hear us reluctant to provide more specific forward-looking guidance on this is because real estate is by nature it is so episodic and unpredictable.
"
