Person,Sentence
Person1,"Sure.
"
Person1,"First of all, we're not ready to talk about what our objectives are for 2017.
"
Person1,"We're very pleased with these wins, but they'll only be a component part of how the whole Company performs.
"
Person1,"And we have to go through a very bottoms-up profit planning process between now and the end of the year, that is traditional in the Company.
"
Person1,"But you would always rather win a client, a new piece of business, because that makes that process easier as you move forward.
"
Person1,"With respect to McDonald's, the McDonald's contract, which I won't go into in detail, will be profitable.
"
Person1,"And whatever a competitor says, they have said.
"
Person1,"Our goals and objectives in that contract, which get us paid, are perfectly aligned with how we can impact the business and with their management's goals and objectives.
"
Person1,"So we have a high degree in confidence about what we'll be able to achieve.
"
Person2,"Yes, I think one other comment on the wins.
"
Person2,"So while we do have some work to do in terms of our planning process, to get a better handle on the actual numbers, in terms of the impact as we look at 2017, certainly we look at the wins as bigger in the perspective that Hearts & Science really has a big strong base now, in addition to P&G.
"
Person2,"And PHD as a network, with the global Volkswagen win, certainly has more heft than many of the markets where they were a smaller player in the past.
"
Person2,"So as far as our media networks go, we feel really good that we've got three very strong platforms to grow off.
"
Person2,"And I think the other comment, <UNK> had touched on this earlier, the investments we made in our data analytics business, you're really seeing them come to bear some fruit, especially when you look at some of these more recent wins.
"
Person2,"So we think the benefits to the foundation for growth in the future are as important, if not more important, than the actual revenues that the first few client wins here that we've had will give us in 2017.
"
Person1,"Just echoing that for a second, during the quarter we didn't speak about it, Hearts & Science, in addition to the US and Canada, they launched in the UK.
"
Person1,"They're currently pitching for business in Germany.
"
Person1,"And with the AT&T win, Hearts & Science was opened in Mexico.
"
Person1,"So there you have a network that really is a year old, that's won the one and two largest -- the first and second largest advertisers in the US, as a base.
"
Person1,"And we're starting to expand and win business in other markets.
"
Person1,"And what <UNK> said about PHD is important.
"
Person1,"We've had PHD for a very long time, and it was pretty much Anglo-based in Northern Europe and the US.
"
Person1,"With the Volkswagen win, that allows us to compete in many more markets and fills out -- that was the one thing that company actually needed.
"
Person1,"And so we're expecting more opportunities to win business through both of those vehicles as we move forward.
"
Person1,"The other thing, which is an intangible but a terribly important one, is the way that we've won businesses, these accounts that we've won.
"
Person1,"The level of collaboration and coordination was second to none.
"
Person1,"And I can't say that enough.
"
Person1,"We work very hard at that, culturally, within Omnicom, and always have.
"
Person1,"But this was, I'd have to say, the first time where I saw it payout in big, tangible, real wins.
"
Person1,"So I'm very bullish with regard to all these positive signs, and what we might expect as we move forward as a result of the strength that we've built.
"
Person1,"Sure.
"
Person1,"Well, the programmatic business, as you know, is continuing to evolve, and has been evolving pretty rapidly for the last, I'd say, two years, maybe a little bit more.
"
Person1,"It's all based upon ROI at the end of the day, and effective targeting of audiences through programmatic.
"
