Person,Sentence
Person2,"About $3.5 million.
"
Person2,"I think some of the largest firms, that is certainly the direction they want to head.
"
Person2,"And I think we are seeing on the outsourcing side, we are seeing larger firms than historically we have sold to.
"
Person2,"So I think Regions is an example of a larger firm.
"
Person2,"A couple of years ago we moved SunTrust from ASP to BSP.
"
Person2,"So we see in that what we call large or regional space a real powerful business model with outsourcing.
"
Person2,"But the very, very largest wealth managers I think both here in the US and globally are looking to really run the operations themselves.
"
Person2,"And so we think there is a pretty big market there.
"
Person2,"We think there is opportunity to go to new segments within the wealth management space with that model and we are actively talking to both current clients and prospects in that space.
"
Person2,"Not that much from a lower sales perspective.
"
Person2,"It is really mostly any expense increase is really mostly tied to really two things, continued development as well as some of this infrastructure build for these two very large and important clients.
"
Person2,"So the one time I think as we certainly sell more clients one time will increase and so we still have a ways to go to install Wells and there is one time associated with again large conversions particularly in the ASP space where we work on data conversion as well as integration to other systems inside the bank.
"
Person2,"And again as we would announce additional large clients, I think there is an opportunity for that one time to continue to grow.
"
Person2,"Dependent on how much we can sign in the coming quarters.
"
Person2,"But yes, it is an increasingly important part of our revenue because there is a lot of work to be done and then an opportunity for us to drive revenue there.
"
Person2,"Again, we have a decent amount of activity associated with the current pipeline, the current backlog and then it will depend as we sign bigger deals.
"
Person2,"You know, it is hard to predict that.
"
Person2,"We are spending a lot of time with our clients, we are talking to them about the future and the wealth platform.
"
Person2,"I think that there are some smaller firms that may not necessarily have a growth strategy when it comes to wealth management and so we are seeing some of our competitors come in at fairly substantial price discounts.
"
Person2,"But honestly where there is a growth agenda and a strategy to build out wealth management, I think we are in pretty good shape.
"
Person2,"I think we have evolved our pricing model.
"
Person2,"When we first started talking about the platform, we talked about a bundled model.
"
Person2,"We have evolved that I think over time that there is pricing for sort of core functionality and then more a la carte pricing as clients would take advantage of some of particularly the front end.
"
Person2,"We have also seen opportunities in the space around disaster recovery and data security where some of the larger banks want to significantly upgrade that.
"
Person2,"So the pricing model has evolved but it remains still largely assets under administration based which I think is a win-win for everybody and I think our clients generally prefer that over the account-based model.
"
Person0,"Our next segment is investment advisors.
"
Person0,"<UNK> <UNK> will cover this segment.
"
Person0,"<UNK>.
"
Person3,"Thanks, <UNK>.
"
Person3,"During the third quarter, we posted good growth in our traditional business.
"
Person3,"At the same time, we continued significant progress toward the transformation of our business, one supported by the SEI wealth platform and the growth opportunities it holds for us in the future.
"
Person3,"Assets under management were $55.1 billion at September 30, a 2.7% increase from June 30.
"
Person3,"During the quarter, we had $690 million of positive net cash flow.
"
Person3,"Revenues for the quarter were $85.3 million.
"
Person3,"This compares to $81.9 million for the second quarter, a 4.2% increase.
"
