Person,Sentence
Person1,"The ATR side has actually performed fine, and we're going to continue to see things like A350 pick up, so that's going to be a benefit to us.
"
Person1,"The biz jet side and commercial helos should I would suspect are going to continue to be a market drag for us next year.
"
Person1,"When we put all that together, aerospace is still going to be an important performer for us overall.
"
Person1,"You saw a fair amount of the restructuring also occur there, and we think it's going to be a good performer for us in the long term.
"
Person1,"But 2017 is still going to be little bit tougher overall, I think when you put all that together.
"
Person1,"Are you talking about growth in the business overall.
"
Person1,"For 2017 we want to go through the AOP planning to make sure that we understand all the pieces, but at this point I think we're probably going to plan this more conservatively than less.
"
Person1,"So I'd say overall probably lower sales next year than this year will be the way that we'll plan for it.
"
Person1,"We haven't -- we really haven't gone through all our planning process yet.
"
Person2,"Yes, in rough order of magnitude we're probably a $400 million or so business currently, and that continues to grow nicely as we've said.
"
Person2,"I mean it's more right now mobile air conditioning, which is a brand new segment for us, but as we continue to progress through it, we get into buildings and blowing agents and other things.
"
Person2,"So it's -- it becomes a broader application for us.
"
Person2,"As far as the new regulation, it remains to be seen how that agreement will impact us, but our forecasts are not dependent upon anything that happened this past week.
"
Person2,"We do see it as potential opportunity, but we need to sort through and fully understand those impacts close to 2020.
"
Person1,"I would say though, <UNK>, it's clearly a good development, and world's focus on low global warming potential products makes a difference.
"
Person1,"If you take a look at the HFCs that our product replaces, HFCs are up over 1,300 times worse than a single-molecule CO2.
"
Person1,"If you take a look at HFOs, our invention, it's actually 0.8 molecules of CO2, so like 1,500 times better than what you would see from HFCs.
"
Person1,"So it's a significant new product.
"
Person1,"There's a recognition that HFCs do have a big impact, negative impact on global warming potential, and Solstice, our HFO is just a tremendous solution for it.
"
Person1,"And the faster it gets adapted, the more quickly governments will actually be working to stem the tide of global warming.
"
Person1,"So we think it's going to be quite important.
"
Person2,"So <UNK> let me clarify that.
"
Person2,"The incentives become due and are recorded and recognized in our financials when the milestones that govern that incentive are reached.
"
Person2,"The milestones are generally development or performance-related milestones.
"
Person2,"They vary by customer.
"
Person2,"So for example, if you hit the first test flight or entry into service or other types of engineering milestones, those could trigger an incentive being owed and due and it's recognized in our financials.
"
Person2,"When you look at 2016, our P&L has been significantly burdened by, to the tune of $0.25 as I said earlier of EPS, by incremental OEM incentives.
"
Person2,"Next year -- this is the peak year and it starts to tail off next year.
"
Person2,"We get a modest tailwind, and then it really accelerates into 2018 and 2019 in terms of the tail wind, yes.
"
Person2,"It's not a direct connection because, I mean the incentives for us are largely based on the development process and bringing the aircraft to production.
"
Person2,"And so while you might incrementally get to faster production, you still have to have orders, you still have to have selling, and those cycle times generally are unaffected by -- or incentives are generally unaffected by those activities.
"
Person1,"<UNK>, I should add these are good investments for us to be making.
"
Person1,"We expense everything as incurred.
"
Person1,"We don't put it on the balance sheet, so we take our hits as they're occurring, unlike others who put it on the balance sheet and you see it over time.
"
Person1,"So for us while it's painful in the short term, it sure as heck helps where you're going in the long term.
"
Person1,"And these were decisions that we made several years ago to make sure that we were on the right platforms with the right kinds of products and services going forward.
"
Person1,"So this is pretty smart money.
"
Person1,"It's painful in the short term, but it's smart money and positions us extremely well for the future.
"
Person1,"Well, this is one that's always kind of interesting when you look at aftermarket versus flight hours, because while flight hours develop pretty consistently over time and they tend to go up 3% or 4% a year; even in a bad time, they'll go down for a single year and then pop back up again.
"
Person1,"So that trend is always relatively smooth.
"
Person1,"The aftermarket stream associated with it, though, bounces around in sometimes crazy directions.
"
Person1,"If you recall the recession, for example, where flight hours were down 3% or 4%, aftermarket was down something like 20% or 30% in that same year.
"
Person1,"So the long-term trend is generally consistent with what those flight hours are.
"
Person1,"In the short term it can bounce around quite a bit, so being able to explain the difference between say 3% and 1% is easily within the realm of typical variability.
"
Person2,"The other thing I'd add to that, <UNK>, is that you've got a combination of both air transport and business jets in that 1%.
"
Person2,"We talked a little bit about the slowdown on the business jet RNO activity.
"
Person2,"I was going through the slides, and that has contributed to this.
"
Person1,"Yes, it will.
"
Person1,"Wow, that's a level of specificity, <UNK>, I'd have to say we'll have to get back to you on that one.
"
Person1,"Yes, it's one I always kind of wonder so what date are they looking at when it comes to -- I assume this is the market share question, <UNK>.
"
Person1,"Yes.
"
Person1,"Because if you look at the dater, it actually looks very good for us.
"
Person1,"And to your point, we are selective on the platforms that we pick.
"
Person1,"I've always been shocked at the investor reception when one of our competitors says that they've won 32 of the last 25 competitions, and when you say, geez, now they're winning over 100% of all the competitions out there, how is that possible.
"
Person1,"And I think they're getting a little carried away with what do they count and what do they not count.
"
Person1,"If you take a look at our avionics performance, it's quite good and there's future stuff that we'll end up talking about at some point.
"
Person1,"If you take a look at the concessions that we're paying right now, for example, that you would look at that and say, oh, that yielded a bunch of good platforms also.
"
Person1,"When you look at the amount of R&D that we spend in aerospace it's kind of -- I don't know what the heck they're pointing to when they say it.
"
Person1,"It's one thing to be able to say some of this stuff.
"
Person1,"It's a little different when you actually have to back it up.
"
Person1,"I just have a tough time seeing it.
"
Person1,"I don't know where they're getting it from.
"
Person1,"Well, it's always tough to predict, as we've said before, and we're going to continue to do both the divestitures and acquisitions in a way that causes us to improve the overall growth profile of the company.
"
Person1,"The problem of course is you can't predict them.
"
Person1,"You can't say it's $2 billion a year, $5 billion a year.
"
Person1,"It's going to be 0 one year, $6 billion another.
"
Person1,"You just don't know.
"
Person1,"So we have to take our opportunities as they arise, and we'll continue to do that.
"
Person1,"We do have a good balance sheet, like having that.
"
Person1,"We think that gives us the opportunity to be smart when it comes time to doing a deal or when it comes time to having the capability to repurchase, and we'll continue to be opportunistic on both.
"
Person1,"Are you saying from an acquisition perspective, <UNK>.
"
Person1,"Yes, there's -- well the nice thing about having so many opportunities and so many places for us to go, all the stuff you talked about is interesting, whether it's technology, software, stuff that does a better job of connecting the digital physical world.
"
