Person,Sentence
Person1,"<UNK>, there is no specific number that I can give you on this.
"
Person1,"I would say this.
"
Person1,"You've got a firm right now that's 90% Search and 10% the Consulting practices really dominated by Culture Shaping.
"
Person1,"We would like to see that balance over time in the -- we are going to do it in stages, but we are going to do it incrementally at -- get to 80/20, get to 70/30.
"
Person1,"I think when you start to get into the 60/40 range, we're going to hit the mix that we think makes sense.
"
Person1,"You have to remember that Heidrick continues to be a very strong search firm and that gives us the right to have the conversation with client, the right to have the access to the top.
"
Person1,"And we want that to continue to be a very, very important part of what we do.
"
Person1,"When I give you those numbers, I am giving you that over a very healthy period of time.
"
Person1,"We are not going to see that for a healthy period of time.
"
Person1,"And if we can get into that 80/20 mix as the first place to stop, we'll be happy with that.
"
Person1,"We are seeing right now, as you know, the investment in Culture Shaping and the impact that's had on margins as we invest this year.
"
Person1,"We have flagged in this, in our conversation today, what kind of margin we think we can get back to with respect to Culture as those investments concluded and we move forward.
"
Person1,"And we have indicated in my comments that the best way to think about Leadership Consulting is that that margin over time, when we get to the right scale, we believe those margins will be no less than Search.
"
Person1,"We would look for those to be more than Search.
"
Person1,"But I'm saying what I think we think is a relatively balanced way to describe it, which is to knit your two questions together, get to a 80% Search/20% Consulting business where the margins on the Consulting side are at least as good as Search.
"
Person1,"And we believe when we get to scale have the right to be better.
"
Person2,"Yes, the organic growth -- the growth was relatively flat on an organic basis in the quarter.
"
Person2,"The inclusion of the acquisitions made up the majority of the growth on the revenue side, <UNK>.
"
Person2,"I think as we go forward into the fourth quarter that will reverse a little bit in that we'll have contributions from both.
"
Person2,"I think as we noted in the comments, I think we would have expected the America segment to be a little bit stronger in the quarter.
"
Person2,"And I think because the momentum came at the last half of the quarter, last part of the quarter and October looks relatively good that I think we should see some organic growth in the business.
"
Person2,"So it should account for a portion of the growth implied by the guidance.
"
Person2,"That's also including some of the new people that aren't acquisition-related as well.
"
Person2,"I'm not -- from a standpoint of just confirmations, there's a number of things that drive the revenue.
"
Person2,"Our confirmation trend has been a reasonable trend over time.
"
Person2,"It hasn't been -- it certainly has bounced up and down a little bit.
"
Person2,"So it certainly would show that -- I think if we have strength it'll come from Europe and Americas more than it will Asia Pac.
"
Person2,"It has been consistently a little bit off of this year compared to last year for some of the reasons mentioned.
"
Person2,"I think from a standpoint of that.
"
Person2,"But the other things that really drive some of our growth right now, candidly, and we've talked about this before, is that we get -- it's the contribution of upticks, and as we have seen the assignments bill and complete, and in some cases fee revenue come in at the end, they have become an increasingly a larger part of our quarterly revenue.
"
Person2,"And so that's across all three regions.
"
Person2,"Yes.
"
Person2,"Spendable cash is relatively small right now from the standpoint that if you know our accruals through year to date on the balance sheet are down year over year.
"
Person2,"I would say our variable compensation accruals, I noted in my remarks, are lower.
"
Person2,"So accrued expenses are $128 million at September.
"
Person2,"And so that's down year over year.
"
Person2,"The cash, we have spent a lot of the free cash on the acquisitions.
"
Person2,"I've chosen not to draw on the revolver at this time.
"
Person2,"We are -- still have plenty of cash because of the accrued bonuses.
"
Person2,"As we finish, whether or not and how much we withdraw on the revolver at bonus time will depend upon how we finish the fourth quarter.
"
Person1,"<UNK>, I would just add one more comment to your opening question about percentage, which is the most important governor that we are going to look at on that is frankly what's driving it from the client side.
"
Person1,"And so I think the right way to think about this is, our first stop is to get to 80/20 between Search and the non-search Consulting businesses.
"
Person1,"And it's going to be highly determinative from there about what kind of demand do we build from the client.
"
Person1,"We are obviously building this accelerating performance platform out of LC because we do think it does have scalability.
"
Person1,"But we are going to pay really close attention to what our clients are telling us about the demand.
"
Person1,"And that will have a big impact on how much it changes from there.
"
Person2,"Yes.
"
Person2,"No, that's a great question, <UNK>.
"
Person2,"There's some potential that we will see some squeeze on the margin as we build bonus accrual.
"
Person2,"There are a lot of moving parts.
"
Person2,"This year because of the large increase in consultant hiring that we did, our fixed compensation is higher year over -year.
"
Person2,"And as a result some of that will actually flip maybe in the fourth quarter, depending upon how we finish the year.
"
Person2,"So it's really hard to predict how much.
"
Person2,"And so I'm hopeful that if our earnings are more towards the high end of the guidance that that will give us a lot more cover to mitigate that margin pressure as the accruals flip.
"
Person2,"But right now that's the big variable.
"
Person2,"I'm not sure we would point to any one geography.
"
Person2,"I think the kind of experienced all across all of ours, at least in our case.
"
Person2,"We've pulled this a lot because we can't really point to one thing.
"
Person2,"Because as we saw, July and August kind of soft, we really did worry a little bit about was it a sign of some kind of a cyclical trend or a movement.
"
Person2,"September bounced back pretty well.
"
Person2,"And so -- and as we talked to our folks and see what's out there and see how October is progressing, there's nothing we can really point to that says that there's one driving factor.
"
Person2,"So whether or not it could have been client decisions caused by things like Brexit, (inaudible) is certainly one of the factors that would've fallen into play.
"
Person2,"But there isn't any one thing that we can point to.
"
Person2,"And I don't know if you want to elaborate.
"
Person1,"I would just add, as we described, September was a strong month.
"
Person1,"October is a darn good month.
"
Person1,"It's hard to understand why it evolved the way it did, to your question, <UNK>, other than vertical.
"
Person1,"I will just say this.
"
Person1,"The dialogue with clients across that four months has remained strong.
"
Person1,"So why clients decided to pull back in July and August, we don't have as much precision around that as we would like, let alone to answer your question.
"
Person2,"The one thing I pointed to even in my G&A commentary is that we were surprised a little bit by the level of business development expense that we incurred at the end of the quarter.
"
Person2,"So that will match up against some of what we saw in September and October coming through because, as <UNK> noted, the level of activity hasn't slowed down at all.
"
Person2,"Certainly there seems to be some intensity in conversations around clients.
"
Person2,"So we take that as a good sign.
"
Person1,"Certainly, the lack of capital markets activity relatively speaking to previous time periods in Asia has impacted financial services activity in that region of the world.
"
Person1,"Here there is, certainly as we see on a weekly basis, the regulatory overlay with respect to financial services, which creates an impact on overall demand for talent.
"
Person1,"I don't want to overly accentuate those themes beyond what we are seeing right now.
"
Person1,"I would just note them as two dimensions that flow through, and certainly impacting those numbers right now.
"
Person2,"Thank you, <UNK>.
"
Person1,"First of all, <UNK>, I would say that some of this hiring, if you go back to where we were a couple years ago, as I entered the business here at Heidrick, one of the big themes we had was really to stabilize and rebuild as part of that stabilization.
"
Person1,"And so, some of this that you see is where we see pockets of opportunity to build a footprint consistent with the overall Heidrick brand.
"
Person1,"A great example of that is, obviously, JCA in London where we have a solid business in London, a good business in London, but we saw an opportunity there really to jumpstart in one move the access to the top which we had lacked.
"
Person1,"And we could've done that one by one, but we decided it was advantageous to do it with a full team.
"
Person1,"And for reasons that we are comfortable with JCA and ourselves, we decided to come together in that acquisition.
"
Person1,"So that's probably an example where we advanced that count of consultants probably faster than you would normally see.
"
Person1,"And other places where we are adding talent is really adding talent both at the senior basis, but also adding it at the principal basis where we can get leverage into our model.
"
Person1,"That is additional to what we've seen in the past where we have principles supporting clients, supporting client teams that we think allow us to position ourselves even more strongly with the client.
"
Person1,"All those numbers add up into the count.
"
Person1,"So that gives you an overall perspective.
"
Person1,"I would say on the capital allocation, look, we continue to look at probably the most difficult equation that any business has, whether it be ours or anyone in the world right now, which is balancing short term and long term.
"
Person1,"We know that there is a mathematical pop that can come from buying back stock.
"
Person1,"And we certainly look at that and we use that as one metric to measure against the acquisitions that we are making.
"
Person1,"But we are not looking to do acquisitions just to do them.
"
Person1,"We're looking to do them to align with a client strategy.
"
Person1,"And where we see an acquisition that can accelerate what we believe is the right client strategy, we will do them.
"
Person1,"Clearly when we do these acquisitions, we're making investments that, at least in our case to date, are going to take longer to show that return versus the quick mathematical pop that can come from buying back shares.
"
Person1,"But we think is the more enduring return over time and complementary to our business that really, again, starts with search and starts with the access and the permission that search has in the board room and in the C-Suite.
"
Person1,"I'll stop there and see if that addresses your thoughts.
"
Person1,"Tough question for us to ask.
"
Person1,"I would just say this.
"
Person1,"As challenging as it is to have two slow months like July and August, we had a whole lot -- before I prefer having this conversation with you with September and October with positive momentum and July and August strong and September and October weak.
"
Person1,"Where that continues, we've given -- the best we can tell you is the forecast that <UNK> described with regard to revenues.
"
Person1,"Beyond that into 2017, we are right in the middle of our planning process right now as it relates to 2017 for the balance of this year.
"
Person1,"It's obviously something we are very, very focused on.
"
Person1,"Overall economic headlines are not the most positive and robust.
"
Person1,"That said, what you see happening in the capital markets is generally asymmetric with that.
"
Person1,"And so we are like everyone else, trying to figure out how to balance those big macro headlines with the conversations that we are having with our companies, where we see them investing, how they are investing.
"
Person1,"You only have to look at what's happening in the market in the last month or so, whether you look this week to AT&T/<UNK>e Warner, whether you look to Bayer and Monsanto.
"
Person1,"There is a lot of interest out there in trying to figure out how to grow businesses.
"
Person1,"And if they decide that doing it organically is going to take too long, there's some robustness in that merger marker right now which is quite interesting.
"
Person1,"And that obviously speaks to confidence.
"
Person2,"There's a couple of things.
"
Person2,"We've got a couple of initiatives going on inside the Company, number one, where we needed some temporary help, which is we are implementing new HR information system across the business, which was badly needed.
"
Person2,"The system that we had is outdated and couldn't even be upgraded anymore.
"
Person2,"And we are a people company.
"
Person2,"And so we are going to a cloud-based system.
"
Person2,"We needed some outside expertise with people with specific skills that needed to come in and help us with that implementation.
"
Person2,"That expense hit this quarter and may hit another quarter or two, just as we finish that implementation.
"
Person2,"That hit us both in the professional services line as well as in the temporary help line.
"
Person2,"In addition we have some hiring fees of just people that we've been adding to the mix in specialty areas, especially that are outside the core of our normal search business, where we actually have to use recruiters, et cetera, to fill out the specialties, as well.
"
Person2,"So these were small items individually.
"
Person2,"In the aggregate I'm talking about probably close to somewhere around $400,000 to $500,000.
"
Person2,"Again, small numbers move our needle a lot.
"
Person2,"Those are pretax.
"
Person2,"Sure.
"
Person1,"I'd say <UNK>, we are a big step up from where we were two years ago, number one.
"
Person1,"Two is, in the spirit of the questions that have been asked, we -- just about overall economic environment, we don't want to get ahead of ourselves with regard to that and we want to balance that with where we see opportunities to hire talent that are attracted to what Heidrick is building right now.
"
Person1,"There are definitely pockets in each industry where we can selectively hire.
"
