Person,Sentence
Person0,"It's <UNK>.
"
Person1,"Let me start.
"
Person1,"It's very difficult for us to give you a precise forecast on how these incentive programs are going to play out in the future.
"
Person1,"And as you've seen our results this quarter, these GPUs are very much a function of what is happening with these sales targets and incentive programs.
"
Person1,"Some of them -- we've seen some of the manufacturers -- certainly one of the manufacturers has made some production cuts.
"
Person1,"I think that helps.
"
Person1,"We've seen some modifications to some of the incentive programs.
"
Person1,"We think that helps.
"
Person1,"But I think it would be unrealistic for us to say that we can give you a hard forecast where this goes certainly next quarter or the quarter thereafter.
"
Person3,"The only comment I would add to that is one of our domestic partners recently stopped their stairstep program.
"
Person3,"So, going into the fourth quarter, we don't have those incentives, and when you look at the fourth quarter of 2015, those incentives certainly existed if you hit the targets.
"
Person3,"That's correct.
"
Person3,"It's too early to tell.
"
Person3,"I would tell you it's a combination of a few things that our F&I team got in the quarter.
"
Person3,"It's a combination of chargebacks, some turnover in folks, and in some cases, in some locations, just poor performance in product sales.
"
Person3,"We think this quarter was a small setback for us when it comes to F&I, and we are pretty positive about the fourth quarter as it relates to (multiple speakers)
"
Person2,"This is <UNK>.
"
Person2,"Our tax was moving around a little bit with some discrete items during the quarter, maybe a $0.01, $0.02 pickup on tax rate from discrete items.
"
Person2,"For planning purposes, we should be looking at 38% to 38.5% into the fourth quarter and into next year.
"
Person1,"They are all factors that we take into account as well.
"
Person1,"Again, I come back to it's -- we think we can do better in use; we think we can do better with CPO.
"
Person1,"It's an area where, quite frankly, we did not live up to our own internal expectations, and it's going to get a tremendous amount of focus from us as we move forward.
"
Person2,"Some of the best stores we have run a little bit over 1 to 1, which is well above, obviously, the industry average.
"
Person2,"When we -- we're trying to look at used vehicles in a holistic approach, and understanding what it generates for parts and service in that internal growth and how we benefit from that.
"
Person2,"As far as margin pressure going forward, I think it will look similar to what it looks like right now, but our opportunity is within the volume aspect.
"
Person2,"Again, I've said it, I'll say it again.
"
Person2,"We are very happy with that CPO increase.
"
Person2,"We think there's more opportunity there, and we think some things that we've been working on within the last -- within this past quarter will tend to come to fruition, plus the benefit of these stop-sale vehicles actually freeing up.
"
Person1,"That's a big question.
"
Person1,"Let me take a shot at it and maybe <UNK> and <UNK> have more to add.
"
Person1,"Markets are different, just as you would imagine, I think based in part on the strength of the local economy.
"
Person1,"Clearly, our stores in Texas are more challenged than the stores we see in Florida, as an example, just the kind of thing you would expect.
"
Person1,"But I think brand is also important.
"
Person1,"And if we were to sit down together and go through a list of stores and markets, I think brand might jump out at us more here this quarter than markets.
"
Person1,"And you see it here in these GPUs.
"
Person1,"It's hard for us to absorb this type of a GPU movement and not have a material impact on the bottom line at the store.
"
Person1,"If I could just continue, with that in mind, the way we are thinking about the business is let's attack the things that we can control.
"
Person1,"As we mentioned earlier, we think there's opportunities for us to do better in F&I.
"
Person1,"It's a 100% margin business for us, so it's an area that we continue to focus on.
"
Person1,"There's clearly opportunity to grow our used vehicle business.
"
Person1,"As I mentioned earlier, I think it's -- we didn't live up to our expectations in the quarter.
"
Person1,"We think there's a lot of growth opportunity there, and in many ways, that's a key driver across the entire stores, as <UNK> mentioned, because it brings us incremental F&I benefits as well as benefits in parts and service.
"
