Person,Sentence
Person4,"To Pat's conversation or his comments on where we are in Q3 from a demand standpoint going into Q4, there were three major issues for us.
"
Person4,"One is oil and gas and the oil and gas market.
"
Person4,"We're confident that we're maintaining our share of that market, but we're seeing less demand in things like umbilicals and those kind of things, Q3, Q4.
"
Person4,"We're also seeing the -- what has been called destocking in our distribution community as they head into year end.
"
Person4,"Nickel prices have been relatively stable here over the last few months, but they're into their year-end inventory reduction.
"
Person4,"The third thing we saw was push out on some major capital projects.
"
Person4,"Now that said, in the last few weeks heading into Q1, we're seeing an uptick in quoting activity, lead time activity, lots of questions from customers as they prepare for what they see as a stronger first half in capital projects in oil and gas.
"
Person1,"<UNK>, we're not changing our guidance on capital.
"
Person1,"The $20 million of essentially carry over is being pushed out from 2016 into 2017.
"
Person1,"We don't have any significant capital investments being considered for 2017.
"
Person1,"The biggest strategic project we have is the completion of the nickel superalloy powder facility, the new greenfield facility down in North Carolina, and that by the way is progressing very, very well, and is on schedule and will be started up here in 2017.
"
Person1,"So capital remains on track.
"
Person1,"I think in addition to the comments that Pat and <UNK> made on flat rolled products, the market situations are the market situations.
"
Person1,"We don't control those.
"
Person1,"We do have strong views and take a lot of input, and we did think the fourth quarter was going to be a stronger demand and a stronger operating rate in the fourth quarter, especially for some of the differentiated projects -- differentiated products that touch on some of the big global projects that <UNK> touched on.
"
Person1,"And they have been -- we thought that some of those awards were going to be made here in the third quarter and we'd be producing in the fourth quarter, and it looks like it's flipping by about a quarter.
"
Person1,"So that hurts us.
"
Person1,"And quite frankly, we have to do better.
"
Person1,"Some of it was within our control, and <UNK> and his team know that and acknowledge that, and we know what the -- we see the pathway, right.
"
Person1,"We know what has to be done in order to achieve what we said.
"
Person1,"We don't take lightly what we said.
"
Person1,"That is our commitment first to ourselves and then to our shareholders.
"
Person1,"We will continue to focus on pulling all the levers and taking all the actions within our control on turning around flat rolled, and we do think that we will begin to see some benefit from the market, which is always critical in these businesses which have relatively high fixed costs.
"
Person1,"Over a long period of time, there is no such thing as a fixed cost.
"
Person1,"Over a shorter period of time, there is and absorption does matter.
"
Person1,"So no excuses.
"
Person1,"We have to do better.
"
Person1,"Yes, I think every one of our competitors is different.
"
Person1,"They have different product mix profiles.
"
Person1,"We make some things that some of our competitors don't make, and they make things that we don't make so it's really hard to compare.
"
Person1,"I think from a macro basis, as I kind of look through some of the comments that were being made, especially as it pertains to an alloy system that we don't make, which is aluminum, I think there are some comparables between what two of the aluminum -- the flat-rolled aluminum producers have said about inventory correction that I'm sure has an impact on their operations that doesn't impact us.
"
