Person,Sentence
Person1,"Sure.
"
Person1,"<UNK>, <UNK>.
"
Person1,"I will respond first on that.
"
Person1,"A really good question.
"
Person1,"As to conversations, I would say that has been pretty light.
"
Person1,"We would have not gotten a lot of specific items from the customers on what they are thinking there.
"
Person1,"I think on general trends what you say is probably about right.
"
Person1,"The pack in the US broadly was a pretty good pack.
"
Person1,"We had a couple of customer-specific things that made it a little less than we had been expecting, but there was nothing about the growing season in the US that was anything other than what we would call normal.
"
Person1,"I think generally customers have the inventory that they want on the US side.
"
Person1,"I think you're absolutely right on Europe, which of course is much smaller to us, so it will have less impact when you think about 2017.
"
Person1,"But it was pretty soundly a bad pack in Europe everywhere.
"
Person1,"And certainly when I speak to the markets we serve I'll say everywhere, it was just off across the board.
"
Person1,"I do think inventories are low for our customers.
"
Person1,"I would expect that they would be planning on more pack next year.
"
Person1,"Definitely in Europe I grew the completely, US I think a little bit more to be seen.
"
Person1,"But your question, it's very possible the answer to that is yes.
"
Person1,"That you'd see a little bit less on the plan for next year in the US because of inventory.
"
Person3,"<UNK>, it's <UNK>.
"
Person3,"Good question.
"
Person3,"I think that the 6% unit volume decline versus prior year is about where we expected, and is very similar to what we saw in Q3.
"
Person3,"I would say we are essentially at the bottom point of our balancing of the portfolio, our rebalancing of the portfolio activities.
"
Person3,"As we talked previously as well, we had pulled back a little bit on our sales effort as we were going through some of the operational challenges.
"
Person3,"We are now out in the market actively selling and winning business today.
"
Person3,"I think that we're just cycling over a period of time where we did decide to walk away from some business, and as we go forward you will start to see some growth in our plastics business.
"
Person3,"It's almost entirely attributable to the balancing of the portfolio.
"
Person3,"Again, as we've talked about on the previous calls, we have spent a great deal of time and energy this year insulating our customers from some of the challenges that we faced.
"
Person3,"Those customers have stayed with us.
"
Person3,"We've done a nice job on the customer service side maintaining our relationships and in some cases strengthening them.
"
Person3,"Really it's about the rebalancing of the portfolio and the balance of the business is in fairly good shape at this point.
"
Person1,"I'm going to assume that question goes to all parts of the business.
"
Person1,"So I think I'll start on the can side and say that the -- certainly in Europe because the pack was shorter than we thought the inventory was a little high, so we probably need to work some inventory off.
"
Person1,"That's part of what we're thinking about in our fourth quarter numbers for Europe.
"
Person1,"In the US inventories are high.
"
Person1,"These, you'll recall as we were getting ready for Burlington plant, we had to drive up inventory a fair amount.
"
Person1,"That will be a little bit longer process for us to work off those inventories, and probably into and through all of next year we'll be slowly working inventories down in that business.
"
Person1,"In the closures side because volumes have been so strong, inventories are actually quite light.
"
Person1,"We'll need to work on inventory balance, particularly on the plastics side of our closures business.
"
Person1,"And then on plastics I would say there's really no significant shift around that.
"
Person1,"As we had to move lines we did built some inventory for those lines moves.
"
Person1,"That's a pretty select part of the market.
"
Person1,"I don't know that there's a big inventory story there; perhaps a little bit of work off as we get that ramping back up.
"
Person1,"Okay, we'll take that one and then we'll move on.
"
Person1,"On steel price we are definitely everywhere all markets we are hearing a fair amount of effort towards inflation of the cost.
"
Person1,"A lot of the underlying costs have inflated.
"
Person1,"I will say this is very early.
"
Person1,"We are not through our negotiations, so we really don't know the answer, but I think there's no question that steel is going to be up.
"
Person1,"It's going to vary a bit by region.
"
Person1,"Beyond that I would just say if you take what we know right now it would sound sizable numbers, mid-single digit all the way up to perhaps double digit, again depending on region.
"
Person1,"That is what we're up against at this stage, and we're working that as we can.
"
Person1,"I'll let <UNK> on the resin side
"
Person3,"Sure, and just starting with Q4 on resins, there are price increases that are in the market right now for our primary resins.
"
Person3,"We'll see how that plays out through the fourth quarter.
"
Person3,"So it could be a slight headwind for Q4, but as we look out into 2017, the expectations are that our primary resins will be essentially flat.
"
Person3,"There is additional capacity that is slated to come on board in 2017, and we will see how that is on boarded and participates in the market for next year.
"
Person3,"But at this point we're assuming essentially a flat resin impact for 2017.
"
Person1,"Sure.
"
Person1,"Although I wouldn't read too much into that.
"
Person1,"I think basically there is narrow windows of time that work for us.
"
Person1,"We have to have a pretty good sense around earnings so there are no surprises on that.
"
Person1,"We have to have a pretty good sense around free cash availability.
"
Person1,"In this particular case because our leverage is to the low end of our range, there is little bit more room in any case to do it.
"
Person1,"So it seemed to us it was the right time.
"
Person1,"The leverage was low, the cost of capital is pretty cheap.
"
Person1,"It seemed like the right decision for us to do to return some cash back to shareholders.
"
Person1,"Again, it should not be read as anything more than that about what do we view of acquisition opportunities, et cetera.
"
