Person,Sentence
Person0,"Well, I think what -- just on the order trends, we have good confidence in the full-year.
"
Person0,"We just happened to see some of the activities from various customers that's a little soft in first quarter.
"
Person0,"I don't want to over-react to any of that, it's just kind of normal activity but we just wanted to call out that we expect a soft first quarter in our planning followed by a much stronger second through fourth quarter
"
Person0,"Yes, it was actually both.
"
Person0,"We did have strong Military.
"
Person0,"We started to see some initial provisioning for the narrow-body programs, as anticipated.
"
Person0,"Those would start to come in.
"
Person0,"So we had good across-the-board activity in segments minus the bizjet market.
"
Person0,"But the rest were all healthy and a lot of the work we've been doing on our margins has been coming through.
"
Person0,"So, a strong, healthy quarter.
"
Person0,"I think you're -- the ramp that you're referring to the initial provisioning, right.
"
Person0,"Yes.
"
Person0,"On the initial provisioning, it's little more complex than just a ratio of how many aircraft are out there.
"
Person0,"The initial provisioning is usually tied to the number of new operators, the number of routes those operators are doing, the location of the routes.
"
Person0,"So we have good formula that we use to estimate initial provisioning sales and then we work it hard with the airline customers so there's a number of factors that go in.
"
Person0,"But, definitely, that they are starting and as they produce more per year that's going to translate to more operators, more new routes and that will be a positive for initial provisioning.
"
Person0,"As I said earlier, it has started and as we move into 2017 and 2018, that will continue to grow.
"
Person1,"No surprises.
"
Person1,"I would not call them one-time charges.
"
Person1,"I would made the comment that through the year, we were taking actions.
"
Person1,"There were some of those in the quarter.
"
Person1,"They weren't significant enough to call out separately but there was also costs related, predominantly, the costs were related to the start up associated with the new Fort Collins industrial facility.
"
Person1,"So the combination of those two things.
"
Person1,"Both were planned and so no surprises but they did bring down the earnings little more then you saw.
"
Person1,"If you would put those back we were pretty much on the full-year rate.
"
Person0,"Yes.
"
Person0,"Well, as we saw, Oil and Gas was down vary significantly.
"
Person0,"Transportation, which we lump in with CNG, and you also have Rail and Marine, was down again fairly substantially.
"
Person0,"Our Renewables business was up, flat and Power Gen -- [did I say something] about Power Jet.
"
Person0,"No.
"
Person0,"Power Gen was also down but was improving as we hit the fourth quarter.
"
Person0,"As you saw overall, the last two years have been tough on the top line for our Industrial segment.
"
Person0,"No.
"
Person0,"It really hasn't impacted us.
"
Person0,"Hello.
"
Person0,"We are still seeing some slight improvement.
"
Person0,"And in terms -- one of our larger activities in China is the CNG truck market.
"
Person0,"There has been a number of quarters, improvement in the spread between diesel and natural gas.
"
Person0,"That seems to be taking hold.
"
Person0,"We're seeing some initial signs and some order volume going in the right direction.
"
Person0,"We're not sure how fast that will ramp but that has -- it looks like -- it looks promising that, that could be turning the corner.
"
Person0,"A lot of our Other Equipment sales are still fairly flat.
"
Person0,"We are seeing some aftermarket, so utilization is going on.
"
Person0,"So we always looked at if equipment is being utilized after a period of time they start buying new as well.
"
Person0,"So we're seeing utilization, aftermarket sales but we're still not seeing large improvements in the sales outlook at this time.
"
Person0,"No.
"
Person0,"That would not be the case.
"
Person0,"What I would say -- we've try to highlight this for a while and hopefully you can see with the numbers that we put in the slide deck.
"
Person0,"We have very good fleet dynamics or if you want to say the demographic of our fleet is quite good.
"
Person0,"In terms of the installed base and the maintenance cycles that are going on, in particular around the A320, 777 and some of the other legacy products.
"
Person0,"The second part of that is, I would say, is our aircraft turbine system group, and when you're on the engine that's a very good aftermarket part of the markets.
"
Person0,"Meaning it generates a lot more demand for maintenance.
"
Person0,"So the good fleet dynamics, the high intellectual property, proprietary products we have on the turbine side and the shop-visit rates that are going on, that's all activity we anticipated.
"
Person0,"It's strong.
"
Person0,"And as we launch these new platforms, including the small wide-bodies that are going out still in volume today, as well as the narrow-bodies, both those with initial provisioning, those dynamics is very good and we could see that continuing and we have a strong, healthy aftermarket.
"
Person0,"Thank you.
"
Person1,"No.
"
Person1,"I think we've said for some time that the 20% was our long-term target.
"
Person1,"We happened to achieve that here this year and we had an extremely strong fourth quarter.
"
Person1,"And so I think some normal volatility.
"
Person1,"And saying -- what we did say is we would either maintain those healthy margins or grow them slightly.
"
Person1,"So I don't think there's anything new underlying any of that.
"
Person1,"We continue to see very strong Aftermarket.
"
Person1,"That will continue to grow and it's really nothing more than that.
"
Person1,"Could be.
"
Person1,"Yes.
"
Person1,"That's what we're -- in terms of order volumes, you never know until you get through the quarter but the way it looks at the moment we could be down a little bit.
"
Person1,"Yes.
"
Person1,"25% on average.
"
Person1,"Well, and I think if I recall, <UNK> was going back to 2015 because, perhaps, of the charge that we had in 2016.
"
Person1,"So it would not be lower than the reported amount.
"
Person1,"But when you look, $0.66 a year ago in 2015 and it was $0.40 this quarter because of the charge and we had an extremely low tax rate in the first quarter this year as well, because of the R&E credit.
"
Person1,"It's too early to tell.
"
Person1,"I don't believe it would be significantly lower than that.
"
Person1,"All we're targeting is that current order volumes are showing a little bit different pattern that we saw last year this time.
"
Person0,"The [H] (multiple speakers) -- the H is continuing to track the sales and orders that GE has announced and we're tracking with them.
"
Person0,"It's progressing well.
"
Person0,"Yes.
"
Person0,"We definitely see it moving up as these new narrow-body programs start to ramp.
"
Person0,"So if you look at the Airbus volume ramp rates that starts to -- as you get into 2018, 2019, FY18 FY19, you're going to start seeing those ramp up and that starts to help with that growth rate number.
"
Person0,"Well, if the infrastructure investments take hold, that would be a positive if you go through where our control systems end up.
"
Person0,"That's like our end Construction Equipment, Mining, Transportation, Power, Oil and Gas, all those have the potential to be markets that will benefit from the new administration's policies.
"
Person0,"At this point we haven't taken a stance or an opinion on the growth rate associated with those but there's no doubt that those are favorable to our industrial segment and we're going to wait and see the policies and then once we know that we may have a better idea of the growth that could come from that.
"
Person0,"No.
"
Person0,"None.
"
Person0,"I really can't comment on the rest of the supply chain.
"
