Person,Sentence
Person1,"Thanks, <UNK>.
"
Person1,"I'm sorry, <UNK>, you broke up there.
"
Person1,"We didn't hear that question.
"
Person2,"About $1 million for the year, for the full year.
"
Person2,"It'll take final for that program to ramp up and be as fully productive as we expect it to be in 2018 and even going forward, but we got, call it, $1 million addition in 2017.
"
Person1,"Broadly speaking, it seems like the economists generally are gathering around an expectation of 150,000, 200,000 jobs added a month.
"
Person1,"We continue to believe that our markets in the Southeast, Southwest regions will get a good healthy component of that, so on a macro basis we think that the employment trends in 2017 are pretty consistent to what we've been seeing in 2016.
"
Person1,"I also talked about the fact we're trying to create a balanced earnings profile and that the DC market has dynamics associated with it that are different and offer some diversification for us.
"
Person1,"So we're going to continue to evaluate that market and meanwhile harvest the opportunity that both those assets that have some redevelopment associated with it and the recovery in that market have to offer, harvest that opportunity for capital over the next couple of years and then we'll evaluate from there.
"
Person1,"I would generally tell you that once you get above 10% of the portfolio in a given market, it starts to create some nervousness, at least on my part.
"
Person1,"There's no magic to that.
"
Person1,"To some degree a 10% or 12% allocation in a given market, you have to also look at how you diversify from a price-point perspective, you have to look at how you're diversified from a sub-market perspective, you have to look at what is the redevelopment opportunity that may or may not exist in that portfolio.
"
Person1,"So there's a number of factors that we think about, but once you get to 10%, I really start to challenge our thinking a little bit in terms of why do any more in that market and we have to have enough diversification there to support it.
"
Person1,"I would think that for us it's probably a couple years or so to make that transition in Atlanta.
"
Person1,"<UNK>most every one of them are a retrade and we still see -- there's not as many people in the process as there was, say, a year or two ago, whereas when a product would come to market there would be 12 people in the tent, now there's five or seven.
"
Person1,"I can't think of a deal that we've bought for the last two years that wasn't a rebound transaction where the deal had been on a contract before.
"
Person1,"We would.
"
Person1,"We believe in the merits of Houston long term.
"
Person1,"It's a much more diversified market than it has been historically.
"
Person1,"Obviously still a lot of oil and gas there, but, yes, we've got capacity to do more in Houston should the opportunities present themselves.
"
Person1,"Thanks.
"
Person0,"Thanks, <UNK>.
"
Person2,"Hey, <UNK>, this is <UNK>.
"
Person2,"We really want to protect the strength of our balance sheet, for sure.
"
Person2,"We like where are.
"
Person2,"It's a big part of our -- cost of capital is very important to producing the returns that we need for our investors, so we like that.
"
Person2,"So no significant change there.
"
Person2,"I will tell you, though, this year if you take the amount of investment from the acquisitions we plan to make, funded with dispositions and with internal capital, we are leveraging up a little bit, call it between 50 and 100 basis points, still well below 35% debt to assets, so it's really a very safe place to be.
"
Person2,"I'll tell you as you move into 2018 with development funding likely to decline some, that will probably trickle back down a bit as our internal cash flow and earnings growth, internal cash flow picks up and even grows from there.
"
Person2,"Summary of that is, we like where we are.
"
Person2,"It may fluctuate a little bit around where we are as we execute our business plan, but no significant changes in that.
"
