Person,Sentence
Person1,"Good morning, <UNK>.
"
Person2,"Terribly disappointed.
"
Person2,"We got 4 inches of sunshine this morning here in Florida, so, sorry.
"
Person1,"I think that just because it is historically a little light in the first quarter, and then it's really strong in the second quarter and the rest of the year.
"
Person1,"So I think organic is -- Q1 and Q4 would be 3% to 4%, and Q2 and Q3 would be 4% to 5% or 6% or something like that.
"
Person1,"So for the year we're at 3% to 5% with maybe a little hope for upside.
"
Person1,"Our focus will be to continue to compound the cash.
"
Person1,"So the more we can grow in the software and network businesses, the happier we are because they just inherently are going to throw off more cash that we can reinvest for further compounding in the future than the products businesses.
"
Person1,"But our products businesses are about half of the EBITDA.
"
Person1,"Now, a chunk of that, a notable chunk of that is our medical products businesses.
"
Person1,"And then you have got the instrumentation businesses and you have got the oil and gas-related stuff.
"
Person1,"We may enjoy a little bit of a cyclical spike on oil and gas, but it won't materially affect the balance of the Company's EBITDA profile.
"
Person1,"Our businesses -- as I said, you look at the OP alone in the fourth quarter, between energy and industrial, it is 30.5%.
"
Person1,"So we love the businesses.
"
Person1,"They are positive cash; they do not have much amortization in them.
"
Person1,"But moving the needle on compounding cash will come from software and networks.
"
Person1,"We will let <UNK> comment on that.
"
Person4,"Good morning, <UNK>.
"
Person4,"So the short answer is we're not expecting much headwind at all, just like we did not expect much tailwind when it came in.
"
Person4,"The majority of what we do is not procedure or patient driven; it is more elements that help the totality of the healthcare system do what they do.
"
Person4,"And so if we had a lot of things that were consumed in a procedure, then we would have then benefited and we might have some headwinds, but that is not the nature of what we do.
"
Person1,"Good morning.
"
Person1,"So let's deal with the border tax side first.
"
Person1,"There is not much there.
"
Person1,"We do have some assembly operations in Mexico that we get subcomponents from, for one, two of our businesses, but it is not a lot.
"
Person1,"Most of our international businesses are selling globally, and our domestic businesses don't export -- they're really not domestic businesses, they're global businesses.
"
Person1,"The locus might be here in the US, but they have manufacturing operations outside the US and they could ship from any of them.
"
Person1,"So I don't think the border tax would be a lot; if we did a back-of-the-napkin assessment about that would be, probably 75% to 80% of our operating profit would be generated in the United States.
"
Person1,"So if we are telling you about a 30% blended tax rate, the US tax rate, of course, it's 35% and above.
"
Person1,"So you can do the math on our net earnings number, and look at 80% of it, and then take a 20% reduction of that or a 10% reduction or whatever you think, and then add back the increased costs to the border tax.
"
Person1,"And net-net, it would be quite a material increase in our cash.
"
Person2,"<UNK>, of course, there is no proposal yet.
"
Person2,"As soon as we see a proposal, we can give you a much better answer.
"
Person2,"But the elements of exactly whatever tax change, all of this is headlines in the newspaper so far.
"
Person1,"Well, I think that all of our professional services businesses, including these last two acquisitions, ConstructConnect and Deltek, would be dramatically benefited by the number of seats and the number of users that would want to get access to those technologies.
"
Person1,"Particularly at Deltek with the Costpoint technology, which is ubiquitous for people that supply the government; that would be very helpful.
"
Person1,"In the tolling area, it is interesting, there's actually -- we've gone through this huge technology transformation to our sticker tags away from what other people get stuck with, with the plastic box from Austria, and that had a huge rollout in all of the big tolling states.
"
Person1,"So that is behind us, that rollout.
"
Person1,"So you just have the maintenance.
"
Person1,"The maintenance is huge, the number of reorders.
"
Person1,"We're always amazed where all these tags go.
"
Person1,"So it is good, but the project growth and infrastructure could well be in our TransSuite software and traffic management arena.
"
Person1,"That is really what the Saudi project is.
"
Person1,"And the electronic tolling project in New York for instance does not have -- it is all electronic, so there's no tags.
"
Person1,"So it would definitely help us, particularly in revenue.
"
Person1,"It will probably not help us as much as it would have historically in the margin where people are also using the tags.
"
Person1,"But it would be favorable to us.
"
Person1,"Then I think if you get -- you've got the various elements that appear to be going through that would get us back into production around shale.
"
Person1,"We came down $265 million in two years in Energy and Industrial; we won't go back up $265 million but we won't be going down.
"
Person1,"We might go up more than we think.
"
Person1,"So that is a little bit of a question mark for us.
"
Person1,"Well, I think you just have the situation around -- you have got all of the interest cost in Q1 for Deltek, and its contribution doesn't come in as much until Q2 and beyond.
"
Person1,"So it's timing.
"
Person1,"But in reality, first-quarter guidance is about 22% of the full-year guidance, and that is not that unusual.
"
Person1,"Q1 -- it would be rare if Q1 was 25% of the full year.
"
Person1,"I think it is just an out-of-the-box situation.
"
Person1,"Q2 will be critical for us.
"
