Person,Sentence
Person0,"Thanks, <UNK>, and thanks, everyone, for joining us this morning.
"
Person0,"First, I would like to discuss the properties we acquired over the course of the fourth quarter.
"
Person0,"I'm very pleased to report the acquisition of the fourth and final property we had previously announced as part of Easterly's first portfolio acquisition since the IPO.
"
Person0,"This property, an FBI field office in Albany, New York, serves an incredibly important mission for the US federal government.
"
Person0,"This field office is one of 56 field offices throughout the entire country and we are delighted Easterly now owns 6 of these facilities.
"
Person0,"These field offices service as central hubs throughout the United States and help keep Americans safe from threats, both foreign and domestic.
"
Person0,"We also acquired a federal bankruptcy courthouse located in South Bend, Indiana in the fourth-quarter of 2016.
"
Person0,"This courthouse serves the northern district of Indiana and is responsible for handling bankruptcy cases throughout 11 counties.
"
Person0,"Courts such as these act as specialists within the US district courts and have subject matter jurisdiction over all bankruptcy cases throughout the United States.
"
Person0,"Both of these buildings meet Easterly's target criteria of owning Class A build-to-suit properties with enduring missions that are critical to the lawful operation of our country.
"
Person0,"Turning to development, we are pleased with the strong progress being made at the previously announced FDA laboratory in Alameda, California.
"
Person0,"Easterly has been working hand-in-hand with the General Services Administration and the US Food and Drug Administration through the design process and we continue to expect this approximately 66,000 square foot building to be completed and delivered by mid-2018.
"
Person0,"I would like to reiterate that when we engage in federal development opportunities, there is all ready a signed lease in place that typically guarantees an initial lease term of at least 15 to 20 years.
"
Person0,"Easterly is not engaged in speculative development.
"
Person0,"Further, we enter into a design build contract with experienced general contractors so as to insulate ourselves from any risk of cost overruns.
"
Person0,"These risk-mitigating factors, coupled with the opportunity for premium returns, make the opportunities for federal government development quite appealing.
"
Person0,"Development remains an attractive source of growth for Easterly.
"
Person0,"One major opportunity where we expect to see the strong potential for build-to-suit development and acquisition activity is with the Department of Veterans Affairs, or the VA.
"
Person0,"The VA is the second-largest department in terms of total appropriations and staffing, employing nearly 350,000 people, which in turn provides vital services to the approximately 22 million US military veterans living today.
"
Person0,"In order to provide health coverage for these 22 million deserving veterans, the VA has over 1,700 healthcare sites, which include both hospitals and outpatient clinics.
"
Person0,"In recent years, the VA has begun to undertake a transformation in their healthcare facilities that serve these veterans.
"
Person0,"Rather than providing healthcare to veterans in hospital-centered inpatient care facilities, the VA has taken on a roughly estimated $63 billion project to provide new state-of-the-art outpatient care facilities located throughout the country.
"
Person0,"These facilities are typically located near major hospital centers and offer a wide range of outpatient services ranging from primary care, specialized care, mental health care and related medical and social support services for veterans in need.
"
Person0,"There is now greater alliance on the private sector to develop and own the VA facilities on behalf of the US government.
"
Person0,"Leases on these new facilities are very attractive.
"
