Person,Sentence
Person0,"<UNK>, this is <UNK>.
"
Person1,"The RPO is growing a little bit faster than the search.
"
Person1,"One of the things we saw in the quarter was the projects component of search dropped a little bit than what we have been experiencing.
"
Person1,"But the RPO is growing upwards of probably 15%, 20%, single search is probably in 10% to 15% range.
"
Person0,"I think regardless of whether the economy, we would be investing.
"
Person0,"We absolutely have to create an organization that looks to scale, that looks to have impact in the world, that looks to be $1 billion, $2 billion bigger.
"
Person0,"We have to have an organization that can grow from within, where we are developing people along the way.
"
Person0,"In the meantime, we are also -- we're not only laying the plans and the groundwork for that kind of core mobility in talent development, we have to go to the outside.
"
Person0,"And so we have been very aggressive in bringing in talent across the entire business, that can help us broaden the conversation, that can help us elevate the conversation with clients.
"
Person0,"That is something we would be doing, really regardless of the economic climate right now, given where we are with our business.
"
Person0,"Look, we've been stepping on the accelerator.
"
Person0,"You can see that we're paying as you go.
"
Person0,"We're not going to bring the plane down to 18,000 feet.
"
Person0,"So, I don't really -- I don't see that.
"
Person0,"Obviously, we're doing this within a band of reason, right, and we'll continue to run that game plan.
"
Person1,"I think, <UNK>, if you look at our guidance for the fourth quarter, in order to get to those numbers, you won't see any significant deterioration in the margins.
"
Person0,"Animal spirits -- (laughter) are more evident.
"
Person0,"That's a great line.
"
Person0,"Well, look, you've got certainly, with an equity market that's at an all-time high, you have CEO confidence that probably goes hand-in-hand with that.
"
Person0,"But, I think there has been more intent, but less action.
"
Person0,"So I can't say that the CEO confidence has really translated into something we can put our fingers on.
"
Person0,"With multinational companies, it continues to be -- what we've seen for example, in China, is there's a big desire on the part of that economy to go to privately owned and locally-based companies.
"
Person0,"I think multinationals are struggling with that.
"
Person0,"I think that people are wondering about the vote in France and what that means.
"
Person0,"And we still haven't seen, really, anything with regard to Brexit.
"
Person0,"And so those are the three or four things that are on CEOs' minds.
"
Person1,"And Toby, this is <UNK>.
"
Person1,"I would say if you look at the new business activity in North America search, in the quarter, November was down year-over-year, December was down year-over-year, and January came on back for us, to the point where we ended the quarter flat year-over-year.
"
Person1,"So we saw a really strong January, and February is strong for us for as well.
"
Person0,"No, look, when you really look at our Hay Group business, it's essentially flat.
"
Person0,"So that's the reality.
"
Person0,"But the other reality is we're only 14 months into this and we had to go through and we've combined 100 offices, we've combined systems and I could go on and on.
"
Person0,"We ask a lot of talented people to leave the Company.
"
Person0,"So there's a phase of this that's really tough stuff.
"
Person0,"But when I speak to 2 times, that's certainly not next quarter, but that kind of opportunity is certainly there.
"
Person0,"And that's how we're trying to orient this firm and develop talent and bring in talent and go to market and all that.
"
Person0,"So, no, we're not at all on that kind of pace, but that's where we have to be headed.
"
Person0,"Yes, we are.
"
Person0,"We are bringing in consultants in a pretty broad fashion across the three business lines.
"
Person0,"We certainly have a greater interest in financial services and technology on the search side, given our footprint.
"
Person0,"As you know, our industrial is spectacular, it's 30% of the firm.
"
Person0,"In the Hay Group business, we are bringing people in in essentially three to five big areas.
"
Person0,"One would be people that can do org design and strategy execution.
"
Person0,"That would be number one.
"
Person0,"Number two would be people who can do leadership development.
"
Person0,"Number three would be people that can do rewards and benefits.
"
Person0,"So, those three areas in our Hay Group consulting business are certainly areas of focus for us.
"
Person0,"And again, we have to over time, shift the orientation of this Company so that we're not in the emergency room business, but we're in the business outcome business.
"
Person0,"So we have to move the focus from geographies and lines of business to solutions in business outcomes, and so we have to bring in people that have that solution capability.
"
Person0,"We have to bring in people that have account management kinds of skills.
"
Person0,"We have to bring in people that have solution architect.
"
Person0,"We have to bring in people that can compete in the boardroom and not just compete in the sense of Futurestep or search, but in the sense of enterprise-wide solutions.
"
Person1,"Sure.
"
Person1,"Let me take the first question on the cash flow.
"
Person1,"It will normalize, Toby, as we exit this year.
"
Person1,"We've got all of the integration, structuring type activities will essentially be behind us.
"
Person1,"We have three more offices to deal with in terms of the co-location.
"
Person1,"Those will happen -- two will happen in Q1 next year, one will happen in Q2.
"
Person1,"And so that will be it.
"
Person1,"But the one will be more of a non-cash charge.
"
Person1,"So we would expect our conversion ratio to be somewhere in the 70% to 75% of EBITDA.
"
Person1,"The tax rate, right now we're looking at an effective rate for this year of about 28%.
"
Person1,"We're starting to see -- as we talked when we first did the Hay Group transaction, bringing so much more of our operations outside of the US where the rates are lower that we would see some downward pressure on our rate, and I think you're seeing that in the rate that we have in place today.
"
Person1,"I'm sorry, <UNK> remind me of CapEx.
"
Person1,"CapEx, I would think that that would normalize down to a number that's in the $21 million to $23 million range.
"
Person0,"Yes, I would think about the investment exactly as we have operated the business, <UNK>, over the last several years.
"
Person0,"There is nothing that is, oh wow, these guys are committing to things.
"
Person0,"That is not -- we are staying within the operating principles and the commitments that we've made to shareholders.
"
Person0,"So we're not going outside the operating boundaries.
"
Person0,"I think we're being pretty smart.
"
Person0,"Those businesses have more leverage than, say, a search business does.
"
Person0,"Which is one of the interesting things about getting into these other markets.
"
Person0,"So, there are two kinds of people -- let me just step back, <UNK>.
"
Person0,"One thing that is interesting, since you when I first met many years ago, today about 55% of the Company is millennials, which wasn't the case when we met.
"
Person0,"So that's changed dramatically and it looks like the workforce looks like the demographic of say a big four, consulting firm look.
"
Person0,"So you've got, in terms of the profile of the people it will be two camps.
"
Person0,"There will be those that are younger in their career, that you would classically think of, whether it was investment banking or consulting, that are more professionals, that are early stage in their career.
"
Person0,"We're bringing those types of people on and as importantly, we are bringing on what would be more senior partner types of profiles that have probably been in business for 20 years.
"
Person0,"They probably are coming out of some global consulting firm generally, they probably have advanced degrees.
"
Person0,"That would be the profile.
"
Person0,"Well, I would certainly think that -- look, we only guide out a quarter.
"
Person0,"So the fourth quarter should definitely be better than the third quarter.
"
Person0,"There's no question about that, and that growth rate should look pretty good.
"
