Person,Sentence
Person0,"Thank you, sir, and good afternoon.
"
Person0,"Thanks for all for joining us here today to discuss our third-quarter 2017 results.
"
Person0,"We're pleased with the growth coming from our inventory program's activity supporting commercial airlines, and during the quarter we captured several important new contracts.
"
Person0,"Let me start with Allegiant.
"
Person0,"Allegiant has a fleet of A320 aircraft, currently 36, with a plan to expand up to 100, and we signed a contract with them to provide Power-by-the-Hour component support in support of that fleet.
"
Person0,"Also SkyWest we built on our relationship that dates back to the 90s, whereby we signed a three-year agreement to provide landing gear overhaul and exchange services for SkyWest.
"
Person0,"The agreement covers landing gear assemblies and sub-assemblies its fleet of more than 400 Bombardier CRJ aircraft.
"
Person0,"It is a contract that has an option to expand up to five years.
"
Person0,"Subsequent to the end of the quarter, we signed an agreement with India's largest airline, IndiGo, to provide landing gear overhaul services on their fleet of A320s which is 49.
"
Person0,"These will be for full ship sets.
"
Person0,"The agreement expands both our footprint in the Asia Pacific region and our relationship with IndiGo.
"
Person0,"These contract awards build on the momentum from earlier in the year, as we were successful winning work across a broad geographic footprint in addition to expanding our customer base and the aircraft capabilities.
"
Person0,"Last quarter, we announced a new five-year contract valued at $125 million with South African Airways to provide Power-by-the-Hour component inventory management repair services across their fleet of aircraft.
"
Person0,"We also previously announced a new long-term contract with Air New Zealand to provide nose-to-tail, cost-per-flight-hour rotable inventory support for 15 of their fleet of B777s.
"
Person0,"We have started providing services under these contracts, and are excited about the opportunity that these wins provide to the Company.
"
Person0,"Our geographic reach expanded during the quarter, as we opened a parts warehouse at Dubai World Central Airport.
"
Person0,"The supply chain hub closed the gap between essential aircraft components and a growing list of commercial and regional carriers operating in the growing Gulf States region.
"
Person0,"The warehouse enables us to leverage our partnerships with industry-leading OEMs such as Eaton, Unison, UTAS, Meggitt and Lord to stock the warehouse with a wide array of factory new aircraft components.
"
Person0,"So when an operator has an aircraft that is grounded, we can get them the needed part to the aircraft quickly.
"
Person0,"We're starting to see an uptick in activity around our businesses that are impacted by the government's operational tempo.
"
Person0,"We've had a pick-up in business in our pallets throughout the whole fiscal year and that work continues, and we are getting noise coming out of the commanders in the Middle East about need for support in the regions there as well.
"
Person0,"Before we begin our financial recap of the quarter, I would like to give an update on the INL/A contract that awards AAR airlift by the US State Department.
"
Person0,"The incumbent contractor continues to protest the award.
"
Person0,"It is currently being heard by the US Court of Federal Claims for final resolution, and we expect the final decision from the court no later than August 2017.
"
Person0,"We're highly confident that the court will dismiss the claims made by DynCorp, and will stand by the state department's decision to award AAR the contract.
"
Person0,"You may recall, we were originally selected by state on September 1.
"
Person0,"We cleared the first protest with a ruling by the GAO in December.
"
Person0,"The lawyers in the COFC case remanded the decision back to the state department contracting officer who then reaffirmed his decision once again in the selection of AAR as the contractor for this contract.
"
Person0,"And as I indicated, the ruling is now in front of the COFC and we do expect a ruling before August is out.
"
Person0,"Now back to Q3 results.
"
Person0,"We had another solid quarter, as diluted earnings per share from continuing operations increased 31% from $0.29 last year to $0.38 in the current period.
"
Person0,"Revenue was up 8.4% or $34.6 million for the quarter, primarily as a result of increased sales in our Aviation Services segment.
"
Person0,"We had considerable strength in our supply chain businesses to commercial airlines, partially offset by the downsizing of our Lake Charles facility and the reduction in sales from our phase out of the KC-10 program.
"
Person0,"So as we sit here today, overall, we're very pleased with the progress during the quarter.
"
Person0,"And we have strong momentum coming into our fourth quarter, and feel really good about our overall positioning in the market.
"
Person0,"With that, I'd like to turn it over to <UNK> for a little bit more detail.
"
Person1,"Thanks a lot, <UNK>, so I will give a little bit more detail on the quarter.
"
Person1,"As <UNK> mentioned, we had a strong quarter with earnings per share of $0.38 compared to $0.29 last year, which is a 31% increase.
"
Person1,"Good sales growth, 9.6% growth in Aviation Services.
"
Person1,"Income from continuing operations was up by $3.2 million in the quarter.
"
Person1,"The gross profit increased $4.8 million at Aviation Services segment due to the increased sales volumes.
"
Person1,"And gross profit in Expeditionary Services increased $4.9 million, with improved profitability across our businesses there.
"
Person1,"SG&A expenses increased $4.3 million in the quarter.
"
