Person,Sentence
Person0,"Thanks, <UNK>, and welcome, everyone.
"
Person0,"We had a strong start to 2017.
"
Person0,"Our solid Q1 performance was driven by the continued growth of the SPS Commerce network and demand for our comprehensive cloud-based platform.
"
Person0,"For the first quarter, revenue grew 14% to $51.9 million.
"
Person0,"Recurring revenue grew 15%, and adjusted EBITDA grew 43% to $8.5 million.
"
Person0,"Today's retail economy is driven by a generation of consumers who expect a consistent personalized omnichannel experience and retailers are being challenged to continuously address their ever-changing demands.
"
Person0,"The retail environment is more complex than ever, and retailers need to exceed that merchandising and operations across a growing number of channels.
"
Person0,"Consumers continue to shop both in-store and online.
"
Person0,"They don't see the difference between online or in-store channels, but they do expect an engaging shopping experience, whenever and however they shop.
"
Person0,"For further context, last year, total retail sales in the U.S. grew 4% to $3.5 trillion.
"
Person0,"In-store sales grew 3% and represented 89% of total sales.
"
Person0,"Online sales grew nearly 16% and represented 11% of total sales.
"
Person0,"Drop-ship represented about 10% of online sales.
"
Person0,"Consumer shopping habits are increasingly complex.
"
Person0,"While all retail channels continue to grow, services such as Amazon Prime have led consumers to expect fast and free fulfillment with an endless selection of goods, and the in-store experience must equal or exceed the digital experience for retailers to remain relevant.
"
Person0,"In 2016, 53% of in-store sales were web-influenced.
"
Person0,"It is no longer sufficient to have an online strategy or a drop-ship strategy or an in-store strategy.
"
Person0,"It is imperative that retailers and suppliers have a truly omnichannel strategy and achieve real-time collaboration to be able to adapt to the always-on retail environment.
"
Person0,"Omnichannel and retailer is working.
"
Person0,"A recent HBR studying found that within 6 months of an omnichannel experience, customers logged 23% more repeat shopping.
"
Person0,"As the importance of having an omnichannel business strategy continues to increase for the retail ecosystem, the need for retailers and suppliers to partner with world-class technology providers is becoming even more significant, and this continues to drive demand for our platform.
"
Person0,"Red Wing Shoes is an example of a company which developed an omnichannel strategy to be able to address consumer demands now and into the future.
"
Person0,"Founded over 100 years ago with just one store, Red Wing now has 500 of its own retail stores and also sells its shoes at over 4,000 stores.
"
Person0,"Best known as a maker of work boots, Red Wing has worked to continually evolve its brand beyond industrial footwear to tap into the consumer market and engage more shoppers.
"
Person0,"To keep pace with the rising expectations of today's consumers, Red Wing needed to grow their online business and align their strategy with their brick-and-mortar stores while continuing to support their retail partners.
"
Person0,"They were quickly outgrowing their legacy EDI system and turned to SPS for both fulfillment and analytics to draw their operations online and in-store.
"
Person0,"Through our fulfillment solution, Red Wing can now onboard a training partner in weeks rather than months.
"
Person0,"They are also using our analytics solution to make fact-based decisions about product performance and inventory, ensuring that the right inventory is in the right place at the right time.
"
Person0,"Retailers are increasingly adopting omnichannel strategies to remain competitive, and suppliers must follow suit to grow their businesses.
"
Person0,"Legacy processes are no longer sufficient to achieve the agility that is needed to address ever-changing consumer demands.
"
Person0,"The need to have an end-to-end solution that enables real-time collaboration between trading partners is more important than ever before.
"
Person0,"Fulfillment enables retailers and suppliers to communicate quickly and efficiently, while analytics provides the visibility necessary to optimize inventory at the store level.
"
Person0,"Additionally, analytics allows trading partners to collaborate to track product performance and identify opportunities to grow sales while enhancing fulfillment performance.
"
Person0,"Due to our broad-based solutions, retail expertise and leadership position, we continue to grow our network.
"
Person0,"A recent example is Reinhart, one of the largest Tier 1 food service distributors in the U.S. With $7 billion in annual revenue, they deliver more than 170 million cases of food and products.
"
Person0,"They recently hired a new CIO, whose ultimate goal was to move away from legacy EDI software and automate their supply chain across the entire enterprise, enabling real-time communication with their suppliers.
"
Person0,"In partnership with SPS, Reinhart ran a successful community enablement program.
"
Person0,"Holiday Stationstores is a recent retailer addition stemming from the ToolBox acquisition.
"
Person0,"One of the largest convenience store chains in the U.S. with over 500 locations, Holiday prides themselves in utilizing data to optimize their performance, but much of their internal solutions they developed were resource-intensive and couldn't easily integrate multiple data sources and be shared in real-time across the organization or with strategic partners.
"
Person0,"In their continuing effort to improve insight and collaboration with their strategic partners, they selected our analytics solution with its robust capabilities such as item performance, assortment and promotion opportunities to deliver sales growth while improving efficiency.
"
Person0,"Comprehensive cloud-based platform and broad-based retail network enable thousands of trading partners to communicate real-time and adapt quickly to ever-changing consumer demands in the complex retail environment.
"
Person0,"SPS sits at the center of the retail ecosystem, which allows us to act as a strategic adviser to retailers and suppliers on their omnichannel strategies, and we continue to grow our market leadership.
"
Person0,"We had a successful first quarter, and we continue to believe we have a multibillion-dollar opportunity in front of us.
"
Person0,"With that, I'll turn it over to Kim to discuss our financial results.
"
Person1,"Thanks, <UNK>.
"
Person1,"We had a great first quarter.
"
Person1,"Revenue for the quarter was $51.9 million, a 14% increase over Q1 of last year and represented our 65th consecutive quarter of revenue growth.
"
Person1,"Recurring revenue this quarter grew 15% year-over-year.
"
Person1,"The total number of recurring revenue customers increased 5% year-over-year to approximately 25,000.
"
Person1,"For Q1, wallet share increased 9% year-over-year to approximately $7,700.
"
Person1,"For the quarter, adjusted EBITDA was $8.5 million compared to $6 million in Q1 of last year.
"
Person1,"We ended the quarter with total cash and marketable securities of approximately $157 million.
"
Person1,"We ended the quarter with approximately 275 quota-carrying sales headcount, in line with our expectations.
"
Person1,"As we mentioned last quarter, due to the increased sales force productivity we expect to realize in 2017, we anticipate adding approximately 15 salespeople by the end of the year.
"
Person1,"Now turning to guidance.
"
Person1,"For the second quarter of 2017, we expect revenue to be in the range of $53.4 million to $53.9 million.
"
Person1,"We expect adjusted EBITDA to be in the range of $7.3 million to $7.8 million.
"
Person1,"We expect fully diluted earnings per share to be approximately $0.06 to $0.07, with fully diluted weighted average shares outstanding of approximately 17.7 million shares.
"
