Person,Sentence
Person0,"Thank you very much.
"
Person0,"I would like to welcome everyone to Mercury's first quarter conference call.
"
Person0,"I'm Gabe <UNK>, President and CEO.
"
Person0,"In the room with me is Mr.
"
Person0,"George Joseph, Chairman; Ted <UNK>, Senior Vice President and CFO; <UNK> <UNK>, Vice President and Chief Product Officer; and Chris <UNK>, Vice President and Chief Investment Officer.
"
Person0,"Before we take questions, we will make a few comments regarding the quarter.
"
Person0,"Our first quarter operating earnings were $0.20 per share compared to $0.13 per share in the first quarter of 2016.
"
Person0,"The improvement in operating earnings was primarily due to an improvement in the combined ratio from 103.9% in the first quarter of 2016 to 103.1% in the first quarter of 2017.
"
Person0,"Our results in the quarter were negatively impacted by $30 million of catastrophe losses and $4 million of unfavorable reserve development, the majority of which was attributable to higher-than-estimated development of property losses from storms in December 2016.
"
Person0,"This compares to the first quarter of 2016, which had $8 million of catastrophe losses and $40 million of adverse reserve development.
"
Person0,"Rainstorms in California accounted for $23 million of the $30 million of catastrophe losses in the quarter.
"
Person0,"Storms in Georgia and Texas made up the majority of the remainder of the catastrophe losses in the quarter.
"
Person0,"Excluding the impact of catastrophe losses and unfavorable reserve development, the combined ratio was 98.8% in the quarter.
"
Person0,"Our homeowners results were significantly impacted by the record rainfall in California during the quarter.
"
Person0,"Our calendar year homeowners combined ratio was 129.6% in the quarter compared to 99.8% in the first quarter of 2016.
"
Person0,"Our calendar year auto combined ratio was 98.5% in the quarter compared to 105% in the first quarter of 2016.
"
Person0,"To help offset increasing loss trends, we have been increasing rates.
"
Person0,"In California, we received approval for a 6.9% personal auto rate increase in California Automobile Insurance Company effective in May and a 6.9% rate increase in our homeowners line effective in August.
"
Person0,"In addition, a 5% rate increase is pending approval with the Department of Insurance for Mercury Insurance Company.
"
Person0,"Personal auto premiums in Mercury Insurance Company represents about half of our company-wide premiums earned, and California Automobile Insurance Company represents about 14% of our company-wide premiums earned.
"
Person0,"California homeowners premiums represent about 11% of our company-wide premiums earned.
"
Person0,"Premiums written grew 1.7% in the quarter, primarily due to higher average premiums per policy.
"
Person0,"Company-wide private passenger auto new business applications submitted to the company decreased approximately 16% in the quarter as we focused on improving profitability in our private passenger auto line.
"
Person0,"Company-wide homeowners applications increased about 2% in the quarter.
"
Person0,"With that brief background, we will now take questions.
"
Person0,"Ted, do you want to handle that.
"
Person1,"Yes, the overall frequency was obviously elevated due to the cat losses, but when you strip out the cat losses, the trends vary a lot by state.
"
Person1,"We try to sort of focus on California because that's our largest state.
"
Person1,"So California personal auto, frequency's up slightly in the quarter, and we're seeing severity increases in the mid- to upper single digits, so pure premium kind of the mid-upper single digits.
"
Person1,"I think the latest Fast Track had annual pure premium at about 10% for California.
"
Person1,"And that's reasonably comparable to the trend we've been seeing for the last few quarters.
"
Person0,"Yes, they've been getting many of them, and from what we can tell, many are getting increases, including us, so the department had been approving rate increases.
"
Person0,"We've been seeing that in the marketplace.
"
Person0,"And I will note that in this quarter, our private passenger auto results actually were -- in California, we booked a 97.2% combined ratio in the quarter with pretty heavy weather, as Ted was mentioning.
"
Person0,"So we feel that with a 6.9% rate increase that we got coming here in Cal Auto, that's going to continue to improve the results we have of 5% pending that will probably come later in the year, and we have a 6.9% in our homeowners book that we got approved that is going to go into effect in August.
"
Person0,"So obviously, the heavy rains in California definitely had a very big impact on our homeowners line this quarter.
"
Person0,"Yes, outside of California is definitely having a much bigger impact than California.
"
Person0,"If you take a look at our new business volume this quarter, our app counts for California, they were down 3% -- 3.4%, but outside of California, they were down like 38%.
"
Person0,"And that is a result of us just taking aggressive action in some of these states outside of California to improve the combined ratio, which we are seeing quite a bit of an improvement in the combined ratio in some of these states outside of California as a result.
"
Person0,"But it's obviously having an impact on our top line.
"
Person0,"In our case, and I think we said at the end of last quarter, at the end of the fourth quarter, we basically told everyone that we thought that the growth was going to be relatively flat, we felt, in 2017.
"
Person1,"So we refinanced all of our short-term bank loans, and we closed that transaction at the early part of March with a 10-year senior debt offering.
"
Person1,"And the short-term loans were a spread over LIBOR, so we're being priced off of short-term rates.
"
Person1,"We were in the process of renegotiating that debt.
"
Person1,"Those rates were going to go up due to higher spreads required by the banks as well as LIBOR rates have been going up as well.
"
Person1,"So we thought that we would lock in some long-term rates over a 10-year period with these senior notes.
"
Person1,"And because of that, you are going to see higher interest expense.
"
Person1,"It's fairly easy to calculate now.
"
Person1,"It's 4.4% times $375 million of outstanding debt.
"
Person2,"Yes, Greg.
"
Person2,"Last year was one of those periods where there was -- we were at kind of at a pivot point.
"
Person2,"And where rates started the year, it certainly was at a rate or at a level that would be accretive, but we've -- rates have come back down.
"
Person2,"So I'm kind of tempering my excitement for the year, but I think that we'll definitely grow income over last year.
"
