Person,Sentence
Person0,"Well, thank you, <UNK>, and good morning and thank you, everybody, for joining us this morning.
"
Person0,"Our third quarter fiscal 2017 sales increased 4.1% to $184.7 million from a year ago, with organic sales increasing 2.9%.
"
Person0,"We saw demand increase across most of our businesses while growth laneway initiatives in Electronics, Engraving and Engineering Technologies delivered top line sales increases.
"
Person0,"As we anticipated, orders and backlog increased in Refrigeration.
"
Person0,"Unfortunately, sales declined in that business as our Wisconsin plant experienced operational difficulties, changing over production to a new foam formulation.
"
Person0,"GAAP operating income was down 33.4% while adjusted operating income was up 3.3% on the higher sales and adjusted EPS grew 6.8%.
"
Person0,"We ended the third quarter with a net debt position of $127 million, reflecting the OKI Sensor Device acquisition, which we completed in the quarter.
"
Person0,"We have renamed this business Standex Electronics Japan.
"
Person0,"The integration is proceeding according to plan and we are excited by the potential of this business to accelerate our global growth plans in Electronics.
"
Person0,"Our investment in growth laneways is beginning to deliver sales growth in Electronics, Engraving and Engineering Technologies.
"
Person0,"As anticipated, Refrigeration demand increased as seen in the orders and backlog, which should deliver solid sales growth in Q4.
"
Person0,"Finally, Horizon Scientific, acquired in October 2016, continues to outperform our expectations.
"
Person0,"I'll touch more on our achievements in each business when I go through our segment review.
"
Person0,"First, Tom will review our third quarter results.
"
Person0,"Tom.
"
Person1,"Good morning.
"
Person1,"Slide 4 shows our historical trend of adjusted earnings per share and sales on a GAAP basis as well as an adjusted basis without the U.S. Roll, Plate and Machinery business or RPM business.
"
Person1,"On a trailing 12-month adjusted basis, earnings per share were $4.42 through March 31, 2017 versus $4.58 in the 12 months ended March 31, 2016, which is a 3.5% decrease.
"
Person1,"Looking at sales on a trailing 12-month basis, adjusted sales were $728 million versus $739 million in the prior year period.
"
Person1,"Please turn to Slide 5, which details our revenue changes by segment.
"
Person1,"Overall, organic growth was 2.9%.
"
Person1,"The acquisition of Horizon Scientific contributed 4.3% to our sales growth while the divestiture of RPM and foreign exchange had negative impacts of 2.3% and 0.9%, respectively.
"
Person1,"During the quarter, Engraving, Engineering Technologies and Electronics reported positive organic sales growth.
"
Person1,"We anticipate these businesses to continue to grow in the fourth quarter.
"
Person1,"Slide 6 summarizes our third quarter results on a GAAP and adjusted basis.
"
Person1,"Sales growth was 4.1% on a GAAP and 6.5% on an adjusted basis.
"
Person1,"Operating income was down 350 basis points and 30 basis points on a GAAP and non-GAAP basis, respectively.
"
Person1,"GAAP income from operations was impacted by $6.5 million of acquisition-related and restructuring costs.
"
