Person,Sentence
Person0,"Good morning, everyone, and thanks for joining us today.
"
Person0,"With me are ALLETE's Senior Vice President and Chief Financial Officer, Bob <UNK>; and ALLETE's Vice President, Controller and Chief Accounting Officer, Steve <UNK>.
"
Person0,"This morning, we reported first quarter 2017 financial result of $0.97 per share on net income of $49 million.
"
Person0,"We are pleased to start 2017 with solid financial performance.
"
Person0,"And along with several noteworthy strategic initiatives underway, we feel we are well-positioned for another year of success.
"
Person0,"Our results for the quarter support our previous earnings guidance range of $3.10 to $3.50 per share.
"
Person0,"Before Steve and Bob go through the financial details of the quarter, I wish to share several key accomplishments that have us excited here at ALLETE.
"
Person0,"Starting on the clean energy front and those expanding horizons, ALLETE Clean Energy continues to fire on all cylinders.
"
Person0,"We formed ACE in 2011 with a mission to establish a growing renewable generation business with sustainable financial characteristics, this, while answering our nation's call for cleaner energy forms.
"
Person0,"As we signaled this past February, ALLETE Clean Energy strategically invested $100 million in wind turbines at the end of 2016, effectively capturing the full breadth and opportunity of federal renewable energy production tax credits for Safe Harbor provisions.
"
Person0,"More importantly, the ACE Safe Harbor carbon strategy has improved an already strong deal flow pipeline and further connected ACE with many new industry partners nationwide.
"
Person0,"This investment provides ACE significant optionality for future multifaceted growth over the next several years.
"
Person0,"Evidence of this has already materialized via 2 projects announced this past quarter.
"
Person0,"First, a project expansion of up to 50 megawatts for Montana-Dakota Utilities at the Thunder Spirit site, a site the ACE team created several years ago.
"
Person0,"Second, a new 100-megawatt wind energy facility to be built, owned and operated by ACE.
"
Person0,"This, to service a long-term power sales agreements with Northern States Power, a subsidiary of Xcel Energy.
"
Person0,"The ACE NSP project is subject to regulatory approval.
"
Person0,"And upon completion, ALLETE Clean Energy will own and operate approximately 640 megawatts of wind generation across the United States.
"
Person0,"Minnesota Power continues to advance its Energy Forward strategy with significant investments that will deliver on goals designed to meet societal expectations and regulatory standards, while further diversifying its fleet.
"
Person0,"Energy Forward targets a combination of 2/3 renewable energy and renewable enabling natural gas and 1/3 environmentally-compliant baseload coal.
"
Person0,"Meanwhile, on the organic growth front, trends in the mineral district for Minnesota Power's taconite customers remain on track and, at this time, support full production levels.
"
Person0,"We continue to be pleased with the Trump administration and the federal government's overall aggressive approach to the many unfair trade practices that have hurt the domestic steel producers recently.
"
Person0,"We applaud the administration's latest decision to conduct additional investigations focusing on how imported steel impacts our national security.
"
Person0,"We agree with the view that we must have a strong domestic steel sector to ensure our country has the quality steel it needs for military infrastructure, logistical support and timely crisis response.
"
Person0,"I will provide additional details on thoughts about our outlook for the remainder of 2017 in a moment.
"
Person0,"But first, I will ask Steve and Bob to go through the financial details.
"
Person0,"Steve.
"
Person1,"Thanks, Al, and good morning, everyone.
"
Person1,"I would like to remind you that we filed our 10-Q this morning and encourage you to refer to it for more details on the quarter.
"
Person1,"For the first quarter of 2017, ALLETE reported earnings of $0.97 per share on net income of $49 million and operating revenue of $365.6 million, compared to $0.93 per share on net income of $45.9 million and operating revenue of $333.8 million for the first quarter of 2016.
"
Person1,"Earnings were diluted by $0.02 for the first quarter of 2017 due to additional shares of common stock outstanding as of March 31, 2017.
"
Person1,"Operating revenue from ALLETE's Regulated Operations segment, which includes Minnesota Power, Superior Water, Light and Power and the company's investment in the American Transmission Company, increased $29.3 million or 12% from 2016, primarily due to the commencement of interim retail rates in January 2017, higher kilowatt-hour sales and fuel adjustment clause recoveries.
"
Person1,"Fuel adjustment clause recoveries increased $10.2 million due to higher fuel and purchased power costs, attributable to retail and municipal customers.
"
Person1,"Interim retail rates for Minnesota Power, which are subject to refund, were approved by the Minnesota Public Utilities Commission in the December 2016 order and became effective January 1, 2017, resulting in revenue of $8.8 million in the first quarter of 2017.
"
Person1,"Higher kilowatt-hour sales resulted in increased revenue of $7.5 million from 2016, primarily due to higher sales to industrial customers.
"
Person1,"Sales to industrial customers increased 10.5% due to increased taconite production and the commencement of a long-term power supply agreement with Silver Bay Power in the second quarter of 2016.
"
Person1,"Sales to other power suppliers decreased 7.9% from 2016 as a result of increased sales to industrial customers.
"
Person1,"On the expense side, fuel and purchased power expense increased $16.1 million or 21% from 2016, primarily due to increased kilowatt-hour sales as well as higher purchased power prices and fuel costs.
"
Person1,"Fuel and purchased power expense related to our retail and municipal customers is recovered through the fuel adjustment clause.
"
Person1,"Operating and maintenance expense increased $4.4 million or 9% from 2016, primarily due to a $3.6 million sales tax refund received in 2016.
"
Person1,"Equity earnings in ATC increased $1.3 million or 27% from 2016, primarily due to additional investments in ATC and period-over-period changes in ATC's estimate of a refund liability relating to MISO return on equity complaints.
"
Person1,"Net income at ALLETE Clean Energy increased $600,000, primarily due to the absence of a noncontrolling interest, which was acquired in April of 2016.
"
Person1,"Revenue and expenses for ALLETE Clean Energy in 2017 were similar to 2016.
"
Person1,"U.S. Water Services recorded a net loss of $300,000 for the first quarter of 2017 versus a $500,000 net loss for the first quarter of 2016.
"
Person1,"The decrease in net loss was primarily due to lower amortization expense related to purchase price accounting adjustment from the 2015 acquisition and lower operating expenses in 2017.
"
Person1,"U.S. Water Services saw certain products that are seasonal in nature with higher demand typically realized in the warmer months, generally, lower sales occur in the first quarter of each year.
"
Person1,"Our corporate and other segment, which includes BNI Energy and ALLETE Properties, posted a net loss of $900,000 for the first quarter of 2017 compared to a net loss of $2.1 million for the first quarter of 2016.
"
Person1,"The net loss in 2017 decreased, primarily due to lower accretion expense resulting from the contingent consideration liability.
"
Person1,"Net income at BNI Energy was $1.8 million in the first quarter of 2017 compared to $2 million for the same period in 2016.
"
Person1,"ALLETE Properties recorded a net loss of $1.2 million in the first quarter of '17 compared to a net loss of $1.1 million for the same period in 2016.
"
Person1,"ALLETE's effective tax rate for the first quarter of this year was 21.1% compared to 16.7% for the same period in 2016.
"
Person1,"We expect our annual effective tax rate in 2017 to be higher than 2016 due to higher pretax income.
"
Person1,"ALLETE's financial position is supported by increased cash flow and a strong balance sheet.
"
Person1,"Cash from operating activities was $98.7 million and our debt-to-capital ratio was 44% as of March 31, 2017.
"
Person1,"We remain committed to financial discipline as we execute and deliver value to our shareholders.
"
Person1,"I'll now hand it off to Bob <UNK> for additional highlights on our 2017 earnings guidance and outlook.
"
Person1,"Bob.
"
Person2,"Thanks, Steve, and good morning, everyone.
"
Person2,"Last December, we'd initiated our 2017 earnings guidance at a range of $3.10 to $3.50 per share.
"
Person2,"The midpoint of our guidance range represents 5% growth over 2016's earnings per share of $3.14.
"
Person2,"As Al mentioned earlier, we are pleased with our results for the quarter, and we reaffirm our 2017 guidance range of $3.10 to $3.50 per share.
"
Person2,"There are 2 significant points I want to emphasize related to our guidance.
"
Person2,"With respect to our Regulated Operations, our 2017 guidance includes the reduced Minnesota Power interim rate request of $34.7 million that went into effect January 1, 2017, which was further reduced to $32.2 million effective May 2017, due to improved economic conditions in our service territory.
"
Person2,"In addition, guidance includes a partial year for Superior Water, Light and Power Wisconsin rate request.
"
Person2,"The high end of our guidance range assumes the positive impact on depreciation expense for the Boswell Energy Center life extension request.
"
Person2,"Both rate cases are proceeding as planned, and we are providing requested information that is customary in any general rate case proceeding.
"
Person2,"Several key dates upcoming on the Minnesota Power rate case are intervenor direct testimony towards the end of May, public hearings in June, followed by a settlement conference in late July.
"
Person2,"An administrative live judge report and recommendation are due at the end of November.
"
Person2,"We continue to expect industrial sales of approximately 7 million to 7.5 million megawatt hours, and we expect additional rider revenue as we continue to make capital investments in the Great Northern Transmission Line throughout the year.
"
Person2,"At our Energy Infrastructure and Related Services businesses, we expect higher earnings at both the U.S. Water Services and at ALLETE Clean Energy, excluding the $3.3 million after-tax goodwill impairment charge taken at ALLETE Clean Energy in 2016.
"
Person2,"Our guidance excludes the impact, if any, of possible acquisitions or development projects.
"
Person2,"Overall, our deal pipelines remain very robust for both of these growth segments, and we remain bullish on our ability to consummate value-adding transactions that meet our investment criteria and return expectations.
"
Person2,"A few quick thoughts on tax reform.
"
Person2,"Obviously, there is a lot in motion with this priority of the Trump administration, and we will continue to monitor developments as details emerge.
"
Person2,"We expect lower corporate tax rates would be beneficial to our regulated customers and to the bottom lines of our nonregulated businesses.
"
Person2,"As disclosed previously, ALLETE does not have any significant unallocated corporate debt.
"
Person2,"And currently, ALLETE Clean Energy does not have any projects with tax equity partners.
"
Person2,"The tax equity partner market remains robust, and there is ample capacity out there to optimize the economics of any new ALLETE Clean Energy projects.
"
Person2,"We remain engaged with EEI on the regulated front to ensure the interest of our customers, the industry and our shareholders are fairly represented.
"
Person2,"And our views are consistent with EEI's with which in we support federal income tax deduction for interest expense; the federal deductibility of state and local taxes; consistent tax normalization methodologies; and finally, continued low tax rates on dividends.
"
Person2,"I remain excited about the future for ALLETE Clean Energy and U.S. Water Services.
"
Person2,"We are well-positioned with these businesses that will further contribute to ALLETE's growth.
"
Person2,"We have confidence that the overall long-term, these businesses will continue to broaden our respective base of customers and will provide long-term earnings and cash flow growth as well as provide complementary earnings through our regulated businesses.
"
Person2,"Al.
"
Person0,"Steve and Bob, thank you for the financial update.
"
Person0,"ALLETE is a growing energy company, complete with a multifaceted strategy, designed to capture the many opportunities being spun from rapidly-changing energy and industrial water treatment sectors.
"
Person0,"Our significant and stable foundation of regulated businesses is complemented nicely by our Energy Infrastructure and Related Services businesses.
"
Person0,"This synergistic business mix has ALLETE well-positioned for a sustainable growth as North America transforms its energy and water landscapes.
"
Person0,"And I would like to share a few details on our latest initiatives in that regard.
"
Person0,"Minnesota Power's Energy Forward strategy is making significant progress on its plan to move carbon-free hydrogeneration from Canada into Minnesota and the upper Midwest.
"
Person0,"Construction is currently underway on Minnesota Power's Great Northern Transmission Line, and we expect cost recovery rider revenue will increase as MP spends approximately $120 million this year.
"
Person0,"As disclosed previously, we estimate our total investment in the 224-mile line will be approximately $350 million upon completion in 2020.
"
Person0,"Minnesota Power has also been quite busy analyzing future industrial load prospects as well as data points from power markets and RFPs as it refines plans for adding renewable-enabling natural gas generation and additional wind and solar generation.
"
Person0,"We continue to believe the optimal generation mix for the future includes a combination of 2/3 renewable energy and renewable-enabling natural gas and 1/3 environmentally-compliant baseload coal generation.
"
Person0,"We expect to share more details on this strategy towards the end of the second quarter of this year.
"
Person0,"Minnesota Power anticipates its taconite mining customers will operate at full production levels for the remainder of 2017.
"
Person0,"President Trump continues to promote the use of American-made steel, and just last week, signed a Section 232 Presidential Memorandum initiating a Department of Commerce investigation into the effects of steel imports on our national security.
"
Person0,"We applaud this action.
"
Person0,"Along with import tariffs and fair trade cases, which call attention to and helps to resolve the many unfair dumping challenges our domestic steel industry, and by extension, the mineral mining industry has contended with over the past several years.
"
Person0,"We view these efforts as supportive for the industry and should provide greater stability and encourage investment in the domestic steel industry.
"
Person0,"A good example of this here in northeastern Minnesota is the $65 million investment Cliffs Resources is making at their United Taconite facility.
"
Person0,"This investment in next-generation iron ore products is nearing completion and is expected to be fully operational this summer.
"
Person0,"An equally good piece of news was the restart by United States Steel of their Keetac facility in Keewatin, Minnesota this past March.
"
Person0,"Next, a few highlights on the new customer growth front.
"
Person0,"As expressed to you all many times in this forum, the Essar site and ore body is highly valuable.
"
Person0,"And it is only a matter of when and not if, a new vision for next-generation iron ore products emerges from the western Mesabi Range.
"
Person0,"More clarity on that matter came just last week as federal bankruptcy judge, Brendan Shannon, issued a ruling in favor of Chippewa Capital Partners as the winning bid in the auction for the Essar Steel Minnesota assets.
"
Person0,"Chippewa Capital Partners is comprised of ERP Iron Ore LLC and the GFG Alliance.
"
Person0,"Many of you will recognize ERP Iron Ore LLC as the company that recently purchased the assets of Magnetation LLC in bankruptcy court late last year.
"
Person0,"The GFG Enterprise is an alliance between Liberty House and SIMEC, both established companies that have strong global connections in steel manufacturing, steel products and shipping facilities.
"
Person0,"The heft and financial backing that GFG provides lends real credibility and lift to the Chippewa Capital Partners' vision near Nashwauk.
"
Person0,"Chippewa Capital Partners' stated vision for this site includes finishing the construction over a 3-year period with key progress milestones assured.
"
Person0,"Concentrates from the mill are designed to feed a next-generation direct-reduced iron or hot briquetted iron facility to be built at the Nashwauk site.
"
Person0,"Liberty House has recently agreed to purchase an electric arc steelmaking facility located in South Carolina from ArcelorMittal.
"
Person0,"Tom Clarke, owner/agent for Chippewa Capital Partners and the CEO of ERP Iron Ore LLC, has stated that his goal for the Nashwauk facility is to enter into the raw material supply market for electric arc furnaces and steel mini mills and not to compete directly with Minnesota's existing taconite producers.
"
Person0,"There is much to do, of course, as key stakeholders in the preceding have until the May 22 hearing to evaluate the Chippewa Capital Partners' initiative and to agree to modify claims and work constructively to bring the project to production by 2020.
"
Person0,"Chippewa Capital Partners would be a retail customer of the Nashwauk Public Utilities Commission, which, in turn, has a wholesale supply agreement with Minnesota Power for electric service to the city of Nashwauk through mid-2028.
"
Person0,"Meanwhile, PolyMet's proposed copper, nickel and precious metal mining operation in northeastern Minnesota continues with its final permit applications and processing with state and federal regulatory agencies.
"
Person0,"PolyMet recently stated it believes the permit application review process is proceeding well.
"
Person0,"Minnesota Power could begin to supply 45 to 50 megawatts of new load under a 10-year power supply contract upon startup of the mining operation.
"
Person0,"In addition to adding a significant new customer to Minnesota Power's service territory, the project would create hundreds of good paying jobs.
"
Person0,"I mentioned ALLETE's Energy Infrastructure and Related Services businesses in my opening remarks.
"
Person0,"ALLETE Clean Energy's strategy is already in motion as it has become an established and respected project developer and operator of renewable energy facilities across the nation.
"
Person0,"ALLETE Clean Energy is actively engaging, and has participated in over 1,000 megawatts of renewable RFPs in Q1 of this year alone.
"
Person0,"I believe adding -- I believe additional investment opportunities will emerge for ACE as it continues to optimize and execute its Safe Harbor strategy.
"
Person0,"While these processes sort themselves out, ACE is currently evaluating the PTC-related refurbishment opportunities across its entire fleet of facilities.
"
Person0,"More as we have it on the ACE refurbishment component.
"
Person0,"But the recent MDU and NSP, Xcel announcements are harbingers of more good things to come.
"
Person0,"And it is reasonable to expect further announcements as ALLETE Clean Energy seeks out additional opportunities to optimize tax incentives and its strategic investment in qualified production tax credit turbines.
"
Person0,"Our U.S. Water Services business provides integrated water management for industry by combining chemicals, equipment and engineering for customized solutions to industrial and commercial customers in North America.
"
Person0,"To ensure a solid platform for future growth and scale, we have invested considerable resources in back office systems and support since the acquisition of U.S. Water Services in 2015.
"
Person0,"We believe water scarcity and a growing emphasis on conservation will continue to drive significant growth in the industrial, commercial and governmental sectors.
"
Person0,"This will provide U.S. Water Services with ample organic revenue growth as well as opportunities for strategic tuck-in acquisitions.
"
Person0,"U.S. Water Services customer base has grown over 30% since acquisition, and the recurring nature of their business will play a key role in sustaining ALLETE's financial performance.
"
Person0,"We are excited and optimistic about the value proposition ALLETE offers to investors.
"
Person0,"Thank you for your confidence and your investment with us.
"
Person0,"At this time, I will ask the operator to open up your lines for your questions.
"
Person0,"Well, this is Al.
"
Person0,"I'll speak at the higher level, the strategic level.
"
Person0,"Firstly, ACE has been involved or has submitted a bid to about 1,000 megawatts, not 2,000-megawatts, 1,000-megawatts of RFPs here in Q1 alone.
"
Person0,"The strategy right now, of course, is to play those out a bit and try to understand where they can play and where they'll be competitive, and we'll know that over the next several years here.
"
Person0,"And so we've got a strategy that can sprinkle those turbines out in projects along the way here with quality off-taker as good partners or can be more narrow if necessary to close off risk that way so we don't have an open position.
"
Person0,"So it's a very fluid and effective strategy.
"
Person0,"And right now, we're very actively engaged in these RFP markets.
"
Person0,"We certainly have a track record or ACE has a track record of execution, being able to work with big players like Montana-Dakota Utilities and Xcel Energy.
"
Person0,"And so we've become an industry player with heft in size and credibility.
"
Person0,"And so we do think, at the end of the day, as I said, it's reasonable to expect more opportunities for ACE in that regard.
"
Person0,"And we will let you know as those materialize how we, in a sense, sprinkle all the production tax-related turbines.
"
Person0,"I'm going to turn it over to Bob for commentary on terms of tax equity and how we think about that.
"
Person2,"Sure.
"
Person2,"Well, a couple of things I would say, too.
"
Person2,"With regard to the clean energy one project, we don't have to dedicate those turbines, if you will, to the project.
"
Person2,"We don't have to make that decision until the end of 2018.
"
Person2,"So we have a significant period of time, if you will, to continue to work on RFPs.
"
Person2,"Undoubtedly, there's a lot going on in the wind market right now in terms of interest and need.
"
Person2,"And so we'll be continuing to bid and participate as we go.
"
Person2,"Shar as we talked when we met as well, I mean, we're a disciplined as company as well.
"
Person2,"We have returned thresholds, et cetera.
"
Person2,"We've seen -- we've been pleased with regard to the nature of the market in terms of the returns we were able to achieve.
"
Person2,"We will be bringing in tax equity partners as we go for those projects.
"
Person2,"We do not have tax appetite.
"
Person2,"But at the same time, the yields that we're seeing in the tax equity market have not changed even despite some of the positioning on the Trump administration on lower corporate rates, so we feel good about that as well.
"
Person0,"No.
"
Person0,"I believe, right now, we've accounted for the RFP activity that we were involved with.
"
Person0,"Last year we have 1,000-megawatts in the Q1 here that we have been engaging on at this point in time.
"
Person0,"And there may be future RFPs that come out again.
"
Person0,"As you know, the PTC extension here to 2020 has set up an opportunity like this.
"
Person0,"And not all the sort of RFPs, if you will, we believe are out there just yet from all companies.
"
Person2,"Yes, Shar, this is Bob again.
"
Person2,"Yes, we are -- we will be evolving that.
"
Person2,"As you note, and as you have stated, these businesses, even ALLETE Clean Energy, were smaller in nature, less material to ALLETE's overall earnings contribution, et cetera.
"
Person2,"So as these businesses are evolving, are growing, we will be evolving those disclosures.
"
Person2,"As you know, they both do operate in competitive industries, though, so there's a limit on how far we can go.
"
Person2,"But we are disclosing, for example, more information in our IR pack about the size of the marketplace that we're targeting.
"
Person2,"You've seen disclosures around the mix of the business.
"
Person2,"So equipment versus sort of core chemicals.
"
Person2,"And we're going to be evolving towards EBITDA measures as well as we go.
"
Person2,"So yes, a long answer.
"
Person2,"But to your question, yes, we will be.
"
Person0,"In the long-term financial forecast.
"
Person0,"Yes, that's the way to think about it.
"
Person0,"Yes.
"
Person3,"Could you give an update on the Minnesota Power RFP or is -- Al, is that what you alluded to when you gave an update on the 2Q call.
"
Person0,"Yes, that's the update.
"
Person0,"I said we'd give an update, <UNK>, later in Q2.
"
Person0,"Right now, we're evaluating the industrial load growth prospects, as I said, Chippewa Capital Partners, PolyMet, kind of timing around those things, plus the power markets, plus the RFPs enabled.
"
Person0,"So we're still kind of in that process of sorting that out.
"
Person0,"More to come.
"
Person3,"Okay.
"
Person3,"And then I think Magnetation was going to start up in June.
"
Person3,"Any clarity around what that could look like.
"
Person0,"We've not heard more from Tom Clarke at this point, <UNK>.
"
Person0,"I know he's out recruiting talent and bringing talent back in.
"
Person0,"He\u2019s continued to suggest that they're going to start up in the summer months.
"
Person0,"We, of course, have a nomination from him for power, of course.
"
Person0,"So we fully expect him to do something with that as to whether or not it\u2019s precisely on June 1, I can't give you that answer right now.
"
Person0,"But we're excited about that plant for likely starting back up.
"
Person3,"Is that take or pay.
"
Person0,"I believe that contract right now, in terms of its renewal, is aligned along the way the taconite contracts are aligned so, by the quarter.
"
Person0,"And then, of course, they nominate and continue to nominate by the quarter, if you will.
"
Person3,"And then the RFPs that ACE has bid into.
"
Person3,"What's kind of the time line of when we kind of see when those bids are awarded.
"
Person0,"Well, each company has their own sort of processes.
"
Person0,"As you can imagine, Minnesota Power has been going on about 1.5 years now evaluating its RFPs.
"
Person0,"So each company has its own sort of process, <UNK>, as you know, IOUs, cooperatives, others that we\u2019re involved with here in terms of bidding projects.
"
Person0,"And so I don't know that I can give you sort of a specific concrete time line.
"
Person0,"We'll just have to play those out as they come to us.
"
Person0,"As Bob said earlier, we're very disciplined in our processes in the way we come at it.
"
Person0,"And when we have something more to say about it, we certainly will as you've seen with both Montana-Dakota and with Xcel.
"
Person3,"And then, lastly, are you booking any reserves against the interim rates.
"
Person1,"Steve -- <UNK>, this is Steve.
"
Person1,"We are not right now.
"
Person1,"As we've talked about and Bob mentioned the time line here, we're in the process of answering IRs.
"
Person1,"We won't know until at least the end of May, the intervenors direct testimony.
"
Person1,"And so we'll have an indication at that.
"
Person1,"That would be the first time we have an indication.
"
Person1,"And as Bob mentioned, possible settlement conferences in July with the live judge report in November.
"
Person1,"So as we evaluate those time lines, we'll consider appropriate reserves.
"
Person0,"No, we don't see any pullback.
"
