Person,Sentence
Person0,"Thank you.
"
Person0,"I would like to welcome everybody here today.
"
Person0,"Before I turn the call over to Mendo <UNK>, our President and Chief Executive Officer, I would like to remind everyone that the first portion of this conference call will be listen only until the question-and-answer session, which will be later in the call.
"
Person0,"Also, certain information that will be included in this press conference may include forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995 or the Securities and Exchange Commission that may involve a number of risks and uncertainties.
"
Person0,"These statements are based on our beliefs as well as assumptions we have used based upon information currently available to us.
"
Person0,"Because these statements reflect our current views concerning future events, these statements involve risks, uncertainties and assumptions.
"
Person0,"Actual future results may vary significantly based on a number of factors that may cause the actual results or events to be materially different from future results, performance or achievements expressed or implied by these statements.
"
Person0,"We have identified various risk factors associated with our operations in our most recent annual report and other filings with the Securities and Exchange Commission.
"
Person0,"Now let me introduce today's speaker, Mendo <UNK>, our President and Chief Executive Officer of 1-800-PetMeds.
"
Person0,"Mendo.
"
Person1,"Thank you, <UNK>.
"
Person1,"Welcome, everyone, and thank you for joining us.
"
Person1,"Today, we will review the highlights of our financial results.
"
Person1,"We'll compare our third fiscal quarter and 9 months ended on December 31, 2017, to last year's quarter and 9 months ended on December 31, 2016.
"
Person1,"For the third fiscal quarter ended on December 31, 2017, our sales were $60.1 million compared to sales of $52.9 million for the same period the prior year, an increase of 13.7%.
"
Person1,"For the 9 months ended on December 31, 2017, sales were $206.5 million compared to sales of $186.1 million for the 9 months the last year, an increase of 10.9%.
"
Person1,"The increases in sales were due to increases in new order and reorder sales.
"
Person1,"The average order value for the quarter was approximately $86 compared to $81 for the same quarter the prior year.
"
Person1,"For the third fiscal quarter, net income was $9.1 million or $0.44 diluted per share compared to $4.8 million or $0.24 diluted per share for the same quarter the prior year, an increase to net income of 88%.
"
Person1,"For the 9 months, net income was $27.1 million or $1.33 diluted per share compared to $16.3 million or $0.80 diluted per share a year ago, an increase to net income of 66%.
"
Person1,"The accelerated increase in net income was mainly due to higher gross profit margins.
"
Person1,"In addition, the new tax law helped boost our earnings for the quarter by approximately $1.7 million or $0.08 diluted per share.
"
Person1,"New order sales increased by 15.5% to $9.2 million for the quarter compared to $7.9 million for the same period the prior year.
"
Person1,"For the 9 months, the new order sales increased by 12.7% to $36 million compared to $31.9 million for the same period last year.
"
Person1,"Reorder sales increased by 13.4% to $50.9 million for the quarter compared to reorder sales of $44.9 million for the same quarter the prior year.
"
Person1,"For the 9 months, the reorder sales increased by 10.6% to $170.5 million compared to $154.2 million for the same period a year ago.
"
Person1,"We acquired approximately 106,000 new customers in our third fiscal quarter compared to 99,000 for the same period the prior year.
"
Person1,"And we acquired approximately 408,000 new customers in the 9 months compared to 388,000 for the same period a year ago.
"
Person1,"For the quarter, approximately 84% of our sales were generated on our website compared to 83% for the same quarter last year, which resulted in a 15% increase in online sales.
"
Person1,"The seasonality in our business is due to the proportion of flea, tick and heartworm medications in our product mix.
"
Person1,"Spring and summer are considered peak seasons, with fall and winter being the off-seasons.
"
Person1,"For the third fiscal quarter, our gross profit as a percent of sales was 36.5% compared to 31.5% for the same period a year ago.
"
Person1,"For the 9 months, our gross profit as a percent of sales was 35.3% compared to 30.7% for the 9 months a year ago.
"
