Person,Sentence
Person0,"Thank you, Shaun.
"
Person0,"Good afternoon.
"
Person0,"Welcome to our third quarter earnings call.
"
Person0,"Certain statements made today are forward-looking within the meaning of the 1995 Private Securities Litigation Reform Act.
"
Person0,"These statements are subject to risks and uncertainties and could cause the actual results to differ from those suggested.
"
Person0,"We issued our earnings release this morning.
"
Person0,"Please refer to it for more detail on those factors that could cause actual results to differ materially.
"
Person0,"We are recording this call, and it will be made available later on our website.
"
Person0,"On our call today, President and COO, <UNK> <UNK>; and Executive Vice President and CFO, Andy <UNK>.
"
Person0,"Andy will start things off.
"
Person1,"Thanks, Cathy, and good afternoon, everyone.
"
Person1,"The company delivered another solid quarter with earnings per share of $0.61, excluding restructuring and the impact of the new tax law, up $0.04 or 7% from the prior year.
"
Person1,"We saw improvement in Steel Processing and Pressure Cylinders and modest declines in Engineered Cabs and the joint ventures.
"
Person1,"Strength in agriculture and heavy truck helped steel, while Cylinders benefited from the colder winter and hurricane relief efforts.
"
Person1,"Unique items in the third quarter were as follows.
"
Person1,"Inventory holding gains were $800,000 or $0.01 per share as compared to a loss of $3 million or $0.03 per share in the prior year quarter.
"
Person1,"Pressure Cylinders had one-time charges of $3.6 million during the quarter, primarily in our Oil and Gas and Alt Fuels businesses from obsolete inventory and a legal settlement from a prior acquisition.
"
Person1,"While our tax rate for the quarter was negative, our current expected annual effective tax rate for the year is 10.3%.
"
Person1,"We had several one-time charges that impacted our tax rate this quarter that totaled $41.2 million or $0.66 per share.
"
Person1,"$40.6 million was the reduction in our deferred tax liability, and $7.3 million was the impact of the lower tax rate on current year-to-date earnings.
"
Person1,"These 2 benefits were partially offset by a $6.7 million transition tax on foreign earnings.
"
Person1,"As we mentioned previously, our annual tax rate for fiscal 2019 is expected to be 24%.
"
Person1,"Cylinders operating income, excluding restructuring, was up $6.4 million or 58% to $17.5 million.
"
Person1,"Strength in Consumer and Industrial Products was offset by the previously mentioned issues in Oil and Gas.
"
Person1,"Revenue and margins continue to improve in Oil and Gas overall.
"
Person1,"The integration of Amtrol is largely complete, and while we still continue to focus on extracting synergies, the business contributed $7.3 million during the quarter.
"
Person1,"Steel Processing operating income was up $4.9 million, excluding restructuring from the prior year quarter to $31.1 million.
"
Person1,"Inventory holding gains for the quarter were a modest $800,000, but the recent rise in steel prices will likely lead to larger gains in the coming quarter or two.
"
Person1,"The business continues to be hampered by weak toll volumes and a return to more normalized spreads in the coated business.
"
Person1,"Engineered Cabs operating income fell $2.3 million to a loss of $4.1 million.
"
Person1,"Higher conversion cost from labor and some underutilized capacity at one of our facilities hampered profitability despite a 15% improvement in sales.
"
Person1,"Volumes in key cab end markets are trending positively, and we're beginning to successfully transition in new business.
"
Person1,"Equity income from our joint ventures during the quarter was down $2.9 million.
"
Person1,"WAVE's contribution fell $1.9 million, driven by higher allocations from the parent companies and lower volumes.
"
Person1,"ClarkDietrich was off $1.3 million, but up sequentially and contributed $1.5 million as competitors began to show pricing discipline.
"
Person1,"Serviacero's business continues to perform well and contributed $1.3 million.
"
Person1,"We received dividends from JVs of $22.6 million for 114% cash conversion on equity income.
"
Person1,"Cash from operations was $100 million for the quarter driven by solid earnings and a reduction in working capital.
"
