Person,Sentence
Person0,"Thanks, <UNK>, and welcome to the ONE Gas team.
"
Person0,"Good morning, everyone, and thank you for joining us.
"
Person0,"Beginning with our financial results.
"
Person0,"Net income was $90.8 million or $1.72 per diluted share compared with $76.5 million or $1.44 per diluted share for the same period last year.
"
Person0,"The strong quarterly results reflect increases from new rates in Texas and Kansas that were approved in 2017.
"
Person0,"Weather-normalization mechanism effects in Kansas and Oklahoma and higher volumes from transportation customers.
"
Person0,"It's important to note that, while weather in the first quarter was 1% warmer than normal, it was 31% colder than the same period last year, resulting in our net margin being positively affected by $2.5 million or $0.05 on an earnings per share basis compared with the prior year.
"
Person0,"Due to the new accounting standard for share-based compensation that we adopted prospectively on January 1, 2017, we recorded a $2.8 million tax benefit in income tax expense, which resulted in a $0.05 per share positive impact to net income in the first quarter of 2018, slightly higher than the $0.04 per share indicated in our guidance in January but below the $0.10 impact we recorded in the first quarter of 2017.
"
Person0,"As we previously indicated, the impact of this new accounting standard will depend on future share performance.
"
Person0,"Operating costs for the first quarter were lower by $1.9 million compared with the same period last year, and capital expenditures increased $16 million compared with the same period last year, as our mix of projects was more heavily weighted to capital spending versus operational spending.
"
Person0,"We continue to invest in technology and infrastructure, which translates into improved efficiencies and reduced operating cost.
"
Person0,"One such example is our investment in AMR or automated meter reading.
"
Person0,"At the end of 2013, AMR penetration was around 65% of our meter assets, and as of the end of Q1, we were over 85%.
"
Person0,"This technology reduces our labor, equipment and other operating costs, helping achieve our goal of reducing expenses to sustainable levels.
"
Person0,"This investment has been beneficial, and we will continue to make additional investments to improve efficiencies and reduce operating cost over the next several years.
"
Person0,"Regarding tax reform.
"
Person0,"In compliance with the Accounting Authority Orders in each of our regulatory jurisdictions, we have established a regulatory liability for the difference in federal taxes included in our rates that have been calculated based on a 35% statutory income tax rate and the new 21% statutory income tax rate.
"
Person0,"The establishment of this regulatory liability resulted in a $12.3 million reduction to our revenues in the first quarter 2018 or $9.3 million net of tax, offset by a $16.2 million reduction in our income tax expense.
"
Person0,"This timing difference between the revenue deferral and the reduction in our income tax expense created a $0.13 positive impact in our results this quarter, but the impact is expected to reverse by year-end.
"
Person0,"While the long-term effect of tax reform is negligible, in the near-term, it will impact the timing and distribution of our quarterly earnings profile.
"
Person0,"Our earnings profile has some seasonality to it, so in quarters where seasonal earnings are higher, the impact of tax reform will be positively accentuated and vice versa.
"
Person0,"Moving on from tax reform.
"
Person0,"Yesterday, the ONE Gas Board of Directors declared a dividend of $0.46 per share, the same as the previous quarter.
"
Person0,"This dividend is consistent with the company's guidance for 2018.
"
Person0,"As we have indicated previously, we expect the average annual dividend increase to be 7% to 9% between 2017 and 2022, with a targeted dividend payout ratio of 55% to 65% of net income.
"
Person0,"We also affirmed our 2018 earnings per share guidance of $2.96 to $3.20 per share.
"
Person0,"However, with the strong first quarter, we believe that the more likely scenario puts us in the upper half of that range.
"
Person0,"At March 31, 2018, our current authorized rate base, defined as the rate base established in our latest regulatory proceedings, including full rate cases and interim rate filings, was approximately $3 billion.
"
Person0,"With additional investments in our system and other changes in the components of our rate base that have occurred since those regulatory filings, we project that our rate base in 2018 will average approximately $3.4 billion, with 42% of that being our rate base in Oklahoma, 32% in Kansas, and 27% in Texas.
"
Person0,"And now I'll turn it over to <UNK> <UNK>, ONE Gas President and Chief Executive Officer.
"
Person0,"<UNK>.
"
Person1,"Thanks, <UNK>, and good morning, everyone.
"
Person1,"I'd like to give you an update on a recent regulatory activity in our service areas.
"
Person1,"So let's begin in Oklahoma.
"
Person1,"In March, we filed our second annual performance-based rate change application since the general rate case that was approved in January of 2016.
"
Person1,"We identified a $5.6 million credit to our base rates associated with the impact of tax reform.
"
Person1,"Our procedural schedule has not yet been approved, but we do anticipate an order in the third quarter of 2018.
"
Person1,"Now on to Kansas.
"
Person1,"In April, the legislative bill expanding the scope of the Gas System Reliability Surcharge mechanism was approved.
"
Person1,"Beginning January 1, 2019, the scope of safety-related capital investments that qualify under the GSRS statute will be expanded to include expenditures to replace, upgrade or modernize obsolete facilities as well as projects that enhance the integrity of pipeline system components or extend the useful life of such assets.
"
Person1,"Safety-related investments will also include expenditures for physical and cybersecurity.
"
Person1,"In addition, the capital, or the cap on the surcharge will be increased to $0.80 per residential per month from $0.40.
"
Person1,"This legislation allows us to begin earning on eligible capital sooner with the expanded definition through GSRS filings, instead of having to wait for the general rate case.
"
Person1,"While the updated scope of GSRS will assist in the timing of recovery for capital spending, we're already spending at accelerated paces in Kansas to support our long-term plan.
"
Person1,"We have only 17 miles of cast iron pipe remaining in Kansas, and are on pace to have all cast iron out of our system by the end of next year.
"
Person1,"After all the cast iron is removed, those capital dollars will be shifted to remove more bare steel pipe.
"
Person1,"We're expecting to file our next general rate case in Kansas before July 2018 based on a 2017 test year.
"
Person1,"The impacts of tax reform will be reflected through our filed cost of service.
"
Person1,"And in Texas, we've made the filings under the Gas System Reliability infrastructure program for all customers in the West Texas Service Area requesting an increase of $3.5 million.
"
Person1,"This increase is offset by $4.7 million request for a decreased rates due to the reduction in the federal income tax rate.
"
Person1,"A onetime refund of $2.4 million is also being requested for changes to the tax rate for the period between January 1, 2018, to the date when the new rates are implemented.
"
Person1,"If approved, both filings for West Texas are expected to become effective July 2018.
"
Person1,"Similar to West Texas, we've also made GRIP filings for all customers in the Central Texas Service Area, requesting a $3.3 million decrease -- increase, which is offset by a $4.9 million request for decreased rates, due to the reduction in the federal income tax rate.
"
Person1,"A onetime refund for $2.5 million is also being requested for changes to the tax rate for the period between January 1, 2018, to the date when the new rates are implemented.
"
Person1,"If approved, both filings for Central Texas are expected to become effective in July 2018.
"
Person1,"Filings to incorporate tax reform into rates were also made in the Rio Grande Valley service area, but are not material to earnings.
"
Person1,"ONE Gas is focused on leading the industry in a safe, reliable provider of natural gas to our customers, an important component of our strategy and why we reinvest in our natural gas distribution systems and facilities.
"
Person1,"In 2018, we expect to spend $375 million on capital expenditures, and we expect to spend approximately $2 billion through 2022, more than 70%, which will be spent on system integrity and pipe replacement projects.
"
Person1,"We continue to take a risk-based approach to analyzing and upgrading our distribution systems, which creates the safest and most reliable system that our customers and regulators expect.
"
Person1,"To close, I'd like to thank all of our 3,500 employees for their engagement, dedication and commitment to safely and reliably delivering our product and for focusing on continuous improvements that benefit all of our stakeholders.
"
Person1,"Operator, we're now ready to answer any questions.
"
Person0,"<UNK>, this is <UNK>.
"
Person0,"And about 70% of our capital will qualify into that program.
"
Person0,"Yes, historically, we've been closer to 30% or 35%.
"
Person1,"Yes, <UNK>, that's a net number.
"
