Person,Sentence
Person0,"Thank you.
"
Person0,"Good afternoon.
"
Person0,"Thank you for joining us for our first quarter 2018 earnings conference call.
"
Person0,"We will discuss the results that were released earlier this morning.
"
Person0,"Joining me today are CEO, Matt <UNK>; and CFO, <UNK> <UNK>.
"
Person0,"To listen online, please go to the stewart.com website to access the link for this conference call.
"
Person0,"I will remind participants that this conference call may contain forward-looking statements that involve a number of risks and uncertainties.
"
Person0,"Because such statements are based on an expectation of future financial operating results and are not statements of facts, actual results may differ materially from those projected.
"
Person0,"The risks and uncertainties with forward-looking statements are subject to include, but are not limited to, the risks and other factors detailed in our press release published this morning and in the statement regarding forward-looking information, risk factors and other sections of the company's Form 10-K and other filings with the SE<UNK>
"
Person0,"Lastly, other than in our prepared remarks, we will not be discussing the regulatory process for our announced transaction with Fidelity National Financial.
"
Person0,"Let me now turn the call over to Matt.
"
Person1,"Thank you, Nat, and good afternoon, everyone.
"
Person1,"We appreciate you all joining us today.
"
Person1,"Obviously, with the announcement of our agreement with Fidelity National Financial, it has been a busy start to 2018.
"
Person1,"And before I begin, I would like to acknowledge the incredible group of associates that make up the Stewart family.
"
Person1,"I'm extremely grateful for their loyalty, not only to each other, but to our customers that rely on their dedication and service.
"
Person1,"And throughout the process, their efforts have been nothing short of amazing.
"
Person1,"Post announcement, we quickly embarked on a national road show with FNF management, meeting with our associates to discuss the transaction as well as the overall strategy to continue growing the Stewart brand with the additional strength of the FNF family behind us.
"
Person1,"I would like to acknowledge the attention and support we have received from FNF management in making this transaction successful.
"
Person1,"The ongoing meetings and conversations have been encouraging as associates can appreciate the enhanced opportunities afforded by the transaction.
"
Person1,"Quickly updating everyone on the regulatory part of the merger process.
"
Person1,"In late March, Stewart and FNF each made Hart-Scott-Rodino filings to the Federal Trade Commission.
"
Person1,"And then recently, the appropriate initial filings were submitted to both Texas and New York, the states where our 2 primary underwriters are domiciled.
"
Person1,"With the process fully commenced, we will be working with all of the appropriate regulators as questions and requests arise.
"
Person1,"Once the transaction is consummated, Stewart will join the FNF family of underwriters, leveraging its resources and financial strength to enhance the services and offerings we can provide to our long-standing customer base.
"
Person1,"So turning to first quarter results.
"
Person1,"Continued commercial strength and a higher fee for file from an improving transaction mix helped offset lower home sales resulting from tighter inventories and continued weakness in the refinancing market tied to rising interest rates.
"
Person1,"While closely monitoring our order count post announcement and entering the selling season, we do believe macro purchase trends are favorable and the outlook for commercial activity remains strong.
"
Person1,"So this time, I'll turn the call over to <UNK>, who'll provide a detailed review of this quarter's financial results.
"
Person2,"Thank you, Matt, and good afternoon, everyone.
"
Person2,"This morning, Stewart reported title revenues of $422 million, overall revenues of $437 million and a net loss of $4 million or $0.16 per diluted share.
"
Person2,"The loss included pretax charges of $2 million related to strategic alternatives third-party advisory expenses and $2 million of net unrealized losses related to changes in fair value of investments and equity securities.
"
Person2,"Due to the adoption of the new accounting standard at the beginning of 2018, changes in the fair value of our equity security investments are now charged to income instead of other comprehensive income where they were previously recorded.
"
Person2,"Overall, revenues were down 1% from last year, primarily due to reduced revenues in our ancillary services business.
"
Person2,"Our title revenues were up slightly, and strong commercial business helped to offset weaker market conditions.
"
Person2,"The title segment generated pretax income of $5 million or 1.2% margin, which included the previously mentioned $2 million market charge on equity securities.
"
Person2,"With respect to the direct title business, commercial revenues were up 12% as the fee for file increased 26% to $7,900.
"
Person2,"Direct residential revenues were up 5% as an 8% increase in the fee for file to $2,100 was more than offset by lower home sales in the quarter and the continuing impact to refinancing of rising rates.
"
Person2,"Compared to the prior year quarter, opened and closed orders in the quarter decreased 9% and 12%, respectively.
"
Person2,"Our closing ratio was 67%.
"
Person2,"With respect to our agency business, gross revenues increased 2% compared to the first quarter 2017, and net agency revenues decreased 1% as a result of geographic mix that resulted in a 17.6% remittance rate this quarter.
"
Person2,"In regard to title losses, as a percent of title revenues, losses were 4.5%, 30 basis points lower than last year's quarter.
"
Person2,"Going forward, we expect our title loss provisioning ratio to range between 4.5% to 4.8%.
"
Person2,"As always, we know title losses are subject to economic and other factors that can vary quarter-to-quarter.
"
Person2,"At quarter end, our total balance sheet policy loss reserves was $480 million.
"
Person2,"Looking at our ancillary services and corporate segment, we reported a segment pretax loss of $8 million for the first quarter 2018 compared with a pretax loss of $6 million in the prior year quarter.
"
