Person,Sentence
Person0,"Thank you, Sonia.
"
Person0,"Good morning, and welcome to the HMS earnings conference call for the first quarter of 2018.
"
Person0,"Joining me are Bill <UNK>, our Chairman and Chief Executive Officer; and Jeff <UNK>, our Chief Financial Officer.
"
Person0,"This call is being webcast and can be accessed by the Investor Relations section of our company website at HM<UNK>com.
"
Person0,"Today's earnings release as well as an investor slide presentation containing supplemental information are posted on our website as well.
"
Person0,"Bill and Jeff will provide their perspective this morning on our first quarter financial results.
"
Person0,"And following their remarks, we will open the line for questions.
"
Person0,"(Operator Instructions) Before we get started, I want to remind you that some of the statements we will make today are forward-looking, based on our current expectations and view of our business as we see it today.
"
Person0,"Such statements, including those related to future performance and future business plans and objectives, are subject to risks and uncertainties that may cause actual results to differ materially.
"
Person0,"As a result, they should be considered in conjunction with the cautionary statements in today's earnings release and risk factors described in the company's most recent SEC filings, including our Form 10-K.
"
Person0,"Financial results in today's earnings release reflect preliminary results, which are not final until our first quarter 2018 Form 10-Q is filed.
"
Person0,"Finally, we may refer to certain non-GAAP measures this morning.
"
Person0,"And a reconciliation of those measures to GAAP is included in both our earnings release and the investor presentation.
"
Person0,"We are now ready to begin.
"
Person0,"Bill.
"
Person1,"Thank you, <UNK>, and good morning, everyone.
"
Person1,"Following a record fourth quarter, we are encouraged by the strong start to 2018, reflected in the financial results we reported today.
"
Person1,"Total revenue, adjusted EBITDA and operating cash flow in the first quarter each exceeded our expectations, which we believe positions us nicely to achieve our full year objectives.
"
Person1,"The significant year-over-year growth in Payment Integrity revenue is an ongoing indication that the initiatives we implemented in 2017 to enhance the analytics and operations supporting PI are continuing to boost savings for our customers and generate added revenue for HM<UNK>
"
Person1,"Having recently passed the 1-year anniversary of our purchase of the Eliza consumer engagement platform, we are intensely focused this year on cross sales to our existing customers, particularly the middle market Medicaid plans, where Essette and Eliza have relatively low penetration.
"
Person1,"We have spoken previously about international target list of customers, which we began to approach at the end of last year, and the positive reaction we have received about the capabilities of our new care management and consumer engagement solutions.
"
Person1,"We have inked several contracts and are in active dialogue with a number of our existing COB and PI customers about purchasing these new solutions.
"
Person1,"More broadly, we continue to use technology to leverage our unparalleled database and analytics to innovate on behalf of our customers and their members.
"
Person1,"As we announced earlier this week, we hired a Chief Technology Officer to assist in that process.
"
Person1,"Jacob Sims has extensive experience leading large-scale healthcare IT organizations and technology-based product development.
"
Person1,"So he is well equipped to ensure that we proactively maximize technology, stay at the forefront of changes impacting a rapidly evolving healthcare IT world.
"
Person1,"A good example of our internal innovation activity is the new population risk intelligence product we have developed.
"
Person1,"This analytics software solution assist with early and accurate identification of health plan members, who will most benefit from effective intervention and personalized engagement designed to change behavior and improve clinical outcomes.
"
Person1,"We had spoken previously about this effort, which began with an experiment in 1 state last year, including both the state fee-for-service population and the Medicaid managed care plans in that state.
"
Person1,"We will have more to say about this important new approach to total population management in the weeks ahead, as we formally launch the product.
"
Person1,"We worked hard during 2017 to overcome execution challenges, particularly with regard to Payment Integrity and related implementations of newly sold PI business.
"
Person1,"We have refined the entire implementation process for both PI and COB to eliminate projects on hold due to HMS-caused delays, improved throughput and reduce the total time required from contract signing to revenue generation.
"
Person1,"Going forward, we believe we now have the people, technology and processes in place to achieve the revenue growth we expect this year.
"
Person1,"There were 3 factors, which contributed to the sequential and year-over-year growth in PI revenue we saw in the first quarter, including revenue from existing COB clients, who bought Payment Integrity products for the first time.
"
Person1,"Scope expansions with existing PI customers, which produced incremental revenue was the second contributor.
"
Person1,"And the last is product yield improvements we put in place in recent months, which continued to expand our audit portfolio, increase audit volume, improve the savings rate per finding and lower the turnaround time for customers for whom we are already doing PI work.
"
Person1,"From a product perspective, data mining and complex clinical reviews were the 2 areas of greatest PI outperformance in the first quarter compared to our expectations.
"
Person1,"More generally, we are seeing Payment Integrity growth that is broad-based and spread across multiple health plans and state Medicaid agencies.
"
Person1,"That should mitigate the risk that any individual customer actions related to provider operation concerns or other network issues, which meaningfully impact PI revenue this year.
"
Person1,"Jeff will now provide added detail on the first quarter performance.
"
Person1,"Jeff.
"
Person2,"Thank you, Bill, and good morning.
"
Person2,"I will begin this morning by reviewing first quarter revenue from both the customer and product perspective.
"
Person2,"Total revenue of $141.4 million included $8.4 million in Medicare RAC revenue due to reversal of a portion of the appeals reserve related to the original contract.
"
Person2,"Following expiration of our old Region D contract on January 31, the requirement to maintain a reserve for open or pending appeals ended and we reversed the associated reserve.
"
Person2,"Excluding the reserve release, normalized revenue for the quarter of $133 million was slightly above our projection.
"
Person2,"The RAC reserve release resulted in a net benefit in the quarter of $0.05 per diluted share such that normalized adjusted EPS was $0.17.
"
Person2,"Eliza revenue was $9.7 million in the quarter.
"
Person2,"Excluding that from the year-over-year comparison, since we did not close on the acquisition until last April, first quarter commercial revenue was up double digits, state government revenue was up low-single digits as those coordination of benefits and total revenue was up over 8% on an organic basis excluding both the Eliza revenue and RAC reserve released in the quarter.
"
Person2,"As always, we expect to see a modest step-up in each of these revenue components in the second quarter followed by a more significant uptick in the second half.
"
Person2,"Coordination of Benefits revenue was approximately 65% of total revenue in the first quarter compared to nearly 78% a year ago.
"
Person2,"That is a positive reflection of the diversification resulting from the addition of our new care management and consumer engagement vertical as well as the relatively faster growth of Payment Integrity revenue in the quarter.
"
Person2,"Adjusted EBITDA of $35 million included a benefit of approximately $6 million from the reserve release, but it was still meaningfully higher than the 2017 first quarter total of $20 million.
"
Person2,"This strong performance reflect both the leverage we get on incremental revenue and ongoing efficiency and cost-savings initiatives.
"
Person2,"Though the effective tax rate in the quarter was approximately 32%, we continue to expect it will be in the range of 28% to 30% on a full year basis.
"
Person2,"As we pointed out in our February call, that projection is based on the new lower federal rate, partially offset by the laws of deductions for subsidizing the state and local taxes, domestic manufacturing and certain executive compensation.
"
Person2,"The rate this quarter was due to a higher level of stock compensation relative to the rest of the year, which was a result of annual equity grants to employees made in the first quarter.
"
Person2,"Equity compensation was $9.5 million in the quarter, just under half of the projected $20 million for the full year, and we expect the balance to flow roughly equally among the remaining 3 quarters of 2018.
"
Person2,"Operating cash flow was relatively strong at $14.7 million despite the usual payment of annual cash bonuses to employees at the beginning of each year.
"
Person2,"We continue to execute on our share buyback authorization, and we purchased another 384,000 shares in the quarter for approximately $6 million.
"
Person2,"Since the current program was put in place last November, we have repurchased approximately 1.25 million shares at a total cost of approximately $20 million, which equates to an average price of just under $16 per diluted share.
"
Person2,"Free cash flow was positive in the first quarter of the year for the first time in 4 years, which further indicates the overall strength of our financial performance to kick off 2018.
"
Person2,"Capital expenditures in the first quarter were $5.8 million, but we do expect the pace to pick up as the year progresses and still anticipate full year expenditures of approximately $33 million.
"
Person2,"The focus of our CapEx continues to be technology-based investments and our growth as well as maintenance of our data security and IT systems.
"
Person2,"We also have an active pipeline of acquisition opportunities, which we continue to monitor and pursue.
"
Person2,"Our primary focus at the moment, however, is strengthening and growing our existing franchise, particularly new care management and consumer engagement vertical.
"
Person2,"In short, we believe our overall performance in the first 3 months of the year creates a solid foundation for achieving our full year 2018 financial objectives.
"
Person2,"Bill will now have concluding remarks, and then we'll be ready to take questions.
"
Person2,"Bill.
"
Person1,"As Jeff just mentioned, the new year is off to a strong start for HM<UNK>
"
Person1,"Looking ahead, we recognize the need for consistent and predictable performance throughout 2018.
"
Person1,"And we are committed to achieving it.
"
Person1,"Reaching our objectives is aided considerably by a favorable environment for sales of our services.
"
Person1,"Macro factors, such as the growth of government programs and aging population with a high incidence of chronic disease, unsustainable cost pressures throughout health care services and an ever increasing focus on the consumer experience provide a positive backdrop for our business.
"
Person1,"We also have the data, the analytics, the customer base, a committed and engaged workforce and a highly leverageable business model, which we believe will support and sustain profitable growth throughout this year and beyond.
"
