Person,Sentence
Person0,"All right.
"
Person0,"Thanks, Brain, and thank you all for joining us this morning.
"
Person0,"Let's run down the plan for this morning's call.
"
Person0,"First, I guess, as they say, the big story.
"
Person0,"Dave <UNK>, our CFO, will be retiring after 32 years at Aqua.
"
Person0,"And so I'll give you a brief rundown on the successor plan and the transitions that we plan.
"
Person0,"Then I'll give you some highlights for the quarter.
"
Person0,"Dave will run down the financial results for the quarter and Dan will bring you up to speed on the rate activity and acquisitions.
"
Person0,"We'll wrap up by reviewing our guidance, and then we'll take some questions.
"
Person0,"So last week, we announced the planned retirement of our longtime friend and executive leadership team member, Dave <UNK>, who's been our Executive Vice President and Chief Financial Officer now for many years.
"
Person0,"Dave will help lead us through the Pennsylvania rate case and then retire in October of this year.
"
Person0,"It's interesting because Dave started in 1986, and he rose to Controller of Pennsylvania, and then Vice President of Rates -- President of Rates and Regulatory for Aqua America, finally, the CFO, and then Executive Vice President in 2012.
"
Person0,"So Dave started doing rate cases and his last duty will be finishing the Pennsylvania rate case as CFO.
"
Person0,"So over the last 32 years, he's really helped shape the Aqua that we all know today.
"
Person0,"He helped propel our regional Pennsylvania water utility into the one that -- one of the largest regulatory utilities in the country.
"
Person0,"And throughout his career, Dave's been committed to not only growing our customer base but investing in infrastructure and then working with regulators to make sure that we get fair recovery of those investments.
"
Person0,"And as you all know, Dave's pragmatic approach to corporate finance has helped us successfully navigate the company's growth from a small company to one that's got now a market cap of in the range of $16 billion -- I'm sorry, $6 billion.
"
Person0,"He has accomplished his work and developed a really strong team around him, and that team is really going to help us with the transition over the next year here or 6 months, and really make it seamless.
"
Person0,"During his decades of service, Dave's leadership has really made an indelible mark on the company.
"
Person0,"So Aqua's largest and most impactful acquisitions were under Dave's leadership, and the Aqua family is grateful for his unwavering commitment to the company.
"
Person0,"And we wish him the best as he enters a new chapter of his life.
"
Person0,"Dave will be on the call -- on the next call, of course, and then we'll work closely with Dan.
"
Person0,"And then Dan will fully take over the call when November comes around.
"
Person0,"Now Dave's strong legacy will be carried on by Dan <UNK>, and I think you all know Dan at this point.
"
Person0,"Dan served as the Executive Vice President of Strategy and Corporate Development since 2015, and we named Dan just recently now, the deputy CFO, while he works with Dave in the coming months toward Dave's retirement in October.
"
Person0,"By way of background, Dan's got his doctorate in engineering from Purdue University and has worked in consulting, banking and now most recently, as a utility executive here at Aqua.
"
Person0,"Before he joined us at Aqua, Dan spent 8 years at JP Morgan in the infrastructure investment group and he's been highly effective at leading our growth strategy here the last 3 years, a period where the company has done more municipal acquisitions in those 3 years than the previous 8 years combined.
"
Person0,"Depth of knowledge in finance, understanding the business and really, his general management capabilities will serve both Dan and the company well in his new role.
"
Person0,"We are very excited about Dan taking over this fall.
"
Person0,"Now taking over for Dan will be Matt Rhodes.
"
Person0,"Matthew Rhodes comes from Goldman Sachs.
"
Person0,"He was the Managing Director in investment bank -- in the Investment Banking Division and Matt was at Goldman for 11 years and had lead coverage for -- lead coverage responsibility for over 25 utility clients.
"
Person0,"So well-known in the utility space, and Matt's going to be a great addition to the team.
"
Person0,"We look forward to having Matt join us in the coming weeks.
"
Person0,"And finally, we also named a new Senior Vice President and Chief Human Resources Officer, Christina Kelly.
"
Person0,"Christina most recently worked as Vice President of HR at AmerisourceBergen, and she brings with her a great amount of experience, 14 years, leading Human Resource departments in organizations and executing on business strategies for corporate organizations.
"
Person0,"So very excited about all these new players joining the company.
"
Person0,"And the combination of strong new players on our management team, along with those who've been with the company for many years, continues to make our workplace really dynamic, fresh and with these fresh ideas from our new executives are grounded with deep knowledge of the business from our longer-term executives, really makes for a very, very strong management team.
"
Person0,"Such a great environment, and we're looking forward to seeing all these new executives join the team.
"
Person0,"So with that background, let's talk a little bit about the quarter.
"
Person0,"We pushed what I call solid growth in revenue and earnings per share, both up about 3.5% from the first quarter of last year.
"
Person0,"We closed 3 acquisitions, one of them in Pennsylvania, that was a water acquisition, and then a water and a wastewater system in Ohio.
"
Person0,"Overall, combining these new acquisitions and organic growth, we added about 2,259 customers during the first quarter, and we're still targeting between 2% and 3% total customer growth for the year.
"
Person0,"Now Dave, you want to take us through the quarterly financials.
"
Person1,"Sure.
"
Person1,"Thanks, Chris.
"
Person1,"Thanks for the kind words.
"
Person1,"Much appreciated.
"
Person1,"I have to admit, I do look forward to working with Dan closely over the next several months as we plan our transition.
"
Person1,"I'm really pleased to be able to pass the torch to a guy like Dan, experienced leadership and one of the smartest guys I know.
"
Person1,"So -- and that's not in the script.
"
Person1,"So it's real.
"
Person1,"But today, I'll review the financial results for the quarter and discuss some of the driving factors that impacted our performance.
"
Person1,"So let's start right off with the numbers.
"
Person1,"We reported revenues of $194.3 million for the quarter, up 3.5% compared to the $187 million in the first quarter of 2017.
"
Person1,"Our O&M expenses were $73.9 million for the first quarter of '18 compared to $67.9 million in the same period of '17.
"
Person1,"I'll provide some color on that in a moment.
"
Person1,"Now we reported net income of $50.8 million compared to $49.1 million in the first quarter of '17, and earnings per share followed that at $0.29 per share, up from the $0.28 per share last year, a 3.6% increase.
"
Person1,"Let's take a look at operating revenue.
"
Person1,"Look at the different components of the 3.5% revenue increase.
"
Person1,"First, if we dissect the rates and surcharge category, we'll find infrastructure surcharges such as DISC and other rate increases contributed $5.1 million, and they were offset by a $2.5 million revenue reserve related to savings from the Tax Cuts and Jobs Act, which is expected to be returned to utility customers as directed by each of the local public utility commissions.
"
Person1,"Higher consumption was also a big driver in the increase in operating revenues at $2.7 million.
"
Person1,"And these items, along with customer growth, a decline in market-based revenue and other items brought the total revenue for the quarter to about $194 million.
"
Person1,"Looking at operating and maintenance expenses.
"
Person1,"O&M expenses were $73.9 million for the first quarter of '18 compared to $67.9 million in the first quarter of '17.
"
Person1,"As we said last quarter, we had an unusually low O&M expense in 2017 due to several onetime events, including a milder winter, and so we expected O&M to be higher this quarter.
"
Person1,"The increase included a number of things.
"
Person1,"First, employee costs.
"
